#Text=Der Vergewaltiger habe zu diesem Zeitpunk't bedingt durch Verletzungen an den Hoden , entkräftet am Boden gelegen .
1-1	0-3	Der	_	_	
1-2	4-17	Vergewaltiger	_	_	
1-3	18-22	habe	_	_	
1-4	23-25	zu	_	_	
1-5	26-32	diesem	_	_	
1-6	33-43	Zeitpunk't	_	_	
1-7	44-51	bedingt	_	_	
1-8	52-57	durch	_	_	
1-9	58-70	Verletzungen	_	_	
1-10	71-73	an	_	_	
1-11	74-77	den	_	_	
1-12	78-83	Hoden	_	_	
1-13	84-85	,	_	_	
1-14	86-96	entkräftet	_	_	
1-15	97-99	am	*->1-1	literal[1]	
1-16	100-105	Boden	*->1-2	*[1]	
1-17	106-113	gelegen	*->1-3	*[1]	
1-18	114-115	.	_	_	

#Text=Der Italiener Paolo klammert sich , nackt am Boden liegend , an eine Amphore .
3-1	1116-1119	Der	_	_	
3-2	1120-1129	Italiener	_	_	
3-3	1130-1135	Paolo	_	_	
3-4	1136-1144	klammert	_	_	
3-5	1145-1149	sich	_	_	
3-6	1150-1151	,	_	_	
3-7	1152-1157	nackt	_	_	
3-8	1158-1160	am	*->2-1	literal[2]	
3-9	1161-1166	Boden	*->2-2	*[2]	
3-10	1167-1174	liegend	*->2-3	*[2]	
3-11	1175-1176	,	_	_	
3-12	1177-1179	an	_	_	
3-13	1180-1184	eine	_	_	
3-14	1185-1192	Amphore	_	_	
3-15	1193-1194	.	_	_	

#Text=Die Kartoffeln fallen ihm aus der Hand , rollen in den Raum , stoßen an am Boden liegende , ineinander verknäulte oder in einen Stuhl eingesperrte Gestalten an : Vincents Umgebung .
5-1	2608-2611	Die	_	_	
5-2	2612-2622	Kartoffeln	_	_	
5-3	2623-2629	fallen	_	_	
5-4	2630-2633	ihm	_	_	
5-5	2634-2637	aus	_	_	
5-6	2638-2641	der	_	_	
5-7	2642-2646	Hand	_	_	
5-8	2647-2648	,	_	_	
5-9	2649-2655	rollen	_	_	
5-10	2656-2658	in	_	_	
5-11	2659-2662	den	_	_	
5-12	2663-2667	Raum	_	_	
5-13	2668-2669	,	_	_	
5-14	2670-2676	stoßen	_	_	
5-15	2677-2679	an	_	_	
5-16	2680-2682	am	*->3-1	literal[3]	
5-17	2683-2688	Boden	*->3-2	*[3]	
5-18	2689-2697	liegende	*->3-3	*[3]	
5-19	2698-2699	,	_	_	
5-20	2700-2710	ineinander	_	_	
5-21	2711-2721	verknäulte	_	_	
5-22	2722-2726	oder	_	_	
