#Text=Das ZDF hat einen besonders dicken Brocken an Land gezogen .
1-1	0-3	Das	_	_	
1-2	4-7	ZDF	_	_	
1-3	8-11	hat	_	_	
1-4	12-17	einen	_	_	
1-5	18-27	besonders	_	_	
1-6	28-34	dicken	_	_	
1-7	35-42	Brocken	_	_	
1-8	43-45	an	*->1-1	non-literal-mwe[1]	
1-9	46-50	Land	*->1-2	*[1]	
1-10	51-58	gezogen	*->1-3	*[1]	
1-11	59-60	.	_	_	

#Text=Seinen dicksten Fisch zog " der Alte " , wie ihn seine Mitarbeiter nannten , 1978 an Land : Ein exklusives Agenturabkommen mit Techsnabexport über Urananreicherungsdienstleistungen in der UdSSR .
3-1	1015-1021	Seinen	_	_	
3-2	1022-1030	dicksten	*->261-1	non-literal[261]	
3-3	1031-1036	Fisch	*->261-2	non-literal-mwe[261]	
3-4	1037-1040	zog	*->2-1	non-literal-mwe[2]	
3-5	1041-1042	"	_	_	
3-6	1043-1046	der	_	_	
3-7	1047-1051	Alte	_	_	
3-8	1052-1053	"	_	_	
3-9	1054-1055	,	_	_	
3-10	1056-1059	wie	_	_	
3-11	1060-1063	ihn	_	_	
3-12	1064-1069	seine	_	_	
3-13	1070-1081	Mitarbeiter	_	_	
3-14	1082-1089	nannten	_	_	
3-15	1090-1091	,	_	_	
3-16	1092-1096	1978	_	_	
3-17	1097-1099	an	*->2-2	*[2]	
3-18	1100-1104	Land	*->2-3	*[2]	
3-19	1105-1106	:	_	_	
3-20	1107-1110	Ein	_	_	
3-21	1111-1121	exklusives	_	_	
3-22	1122-1137	Agenturabkommen	_	_	
3-23	1138-1141	mit	_	_	
3-24	1142-1156	Techsnabexport	_	_	
3-25	1157-1161	über	_	_	
3-26	1162-1195	Urananreicherungsdienstleistungen	_	_	
3-27	1196-1198	in	_	_	
3-28	1199-1202	der	_	_	
3-29	1203-1208	UdSSR	_	_	
3-30	1209-1210	.	_	_	

#Text=Berlin ( taz ) - Wäre ja auch wirklich zu dumm , wenn Amerikas Ölgiganten zig Millionen Dollar einfach nur ins Wasser geworfen hätten , ohne damit einen goldenen Fisch an Land zu ziehen .
5-1	1770-1776	Berlin	_	_	
5-2	1777-1778	(	_	_	
5-3	1779-1782	taz	_	_	
5-4	1783-1784	)	_	_	
5-5	1785-1786	-	_	_	
5-6	1787-1791	Wäre	_	_	
5-7	1792-1794	ja	_	_	
5-8	1795-1799	auch	_	_	
5-9	1800-1808	wirklich	_	_	
5-10	1809-1811	zu	_	_	
5-11	1812-1816	dumm	_	_	
5-12	1817-1818	,	_	_	
5-13	1819-1823	wenn	_	_	
5-14	1824-1832	Amerikas	_	_	
5-15	1833-1843	Ölgiganten	_	_	
5-16	1844-1847	zig	_	_	
5-17	1848-1857	Millionen	_	_	
5-18	1858-1864	Dollar	_	_	
5-19	1865-1872	einfach	_	_	
5-20	1873-1876	nur	_	_	
5-21	1877-1880	ins	*->262-1	non-literal[262]	
5-22	1881-1887	Wasser	*->262-2	non-literal[262]	
5-23	1888-1896	geworfen	*->262-3	non-literal[262]	
5-24	1897-1903	hätten	_	_	
5-25	1904-1905	,	_	_	
5-26	1906-1910	ohne	_	_	
5-27	1911-1916	damit	_	_	
5-28	1917-1922	einen	_	_	
5-29	1923-1931	goldenen	_	_	
5-30	1932-1937	Fisch	_	_	
5-31	1938-1940	an	*->3-1	non-literal-mwe[3]	
5-32	1941-1945	Land	*->3-2	*[3]	
5-33	1946-1948	zu	_	_	
5-34	1949-1955	ziehen	*->3-3	*[3]	
5-35	1956-1957	.	_	_	

#Text=Rund 7.000 Abonnenten will Räuschel-Schulte in den nächsten Monaten an Land ziehen - erst dann trage sich das Unternehmen finanziell .
7-1	2588-2592	Rund	_	_	
7-2	2593-2598	7.000	_	_	
7-3	2599-2609	Abonnenten	_	_	
7-4	2610-2614	will	_	_	
7-5	2615-2631	Räuschel-Schulte	_	_	
7-6	2632-2634	in	_	_	
7-7	2635-2638	den	_	_	
7-8	2639-2647	nächsten	_	_	
7-9	2648-2655	Monaten	_	_	
7-10	2656-2658	an	*->4-1	non-literal-mwe[4]	
7-11	2659-2663	Land	*->4-2	*[4]	
7-12	2664-2670	ziehen	*->4-3	*[4]	
7-13	2671-2672	-	_	_	
7-14	2673-2677	erst	_	_	
7-15	2678-2682	dann	_	_	
7-16	2683-2688	trage	_	_	
7-17	2689-2693	sich	_	_	
7-18	2694-2697	das	_	_	
7-19	2698-2709	Unternehmen	_	_	
7-20	2710-2720	finanziell	_	_	
7-21	2721-2722	.	_	_	

#Text=Indirekt bezuschußt wird dafür der Kohl-Freund Dieter Haupt , dessen Agentur sich den Drei-Millionen-Auftrag zur Organisation der Jubelfeier an Land gezogen hat .
9-1	3269-3277	Indirekt	_	_	
9-2	3278-3288	bezuschußt	_	_	
9-3	3289-3293	wird	_	_	
9-4	3294-3299	dafür	_	_	
9-5	3300-3303	der	_	_	
9-6	3304-3315	Kohl-Freund	_	_	
9-7	3316-3322	Dieter	_	_	
9-8	3323-3328	Haupt	_	_	
9-9	3329-3330	,	_	_	
9-10	3331-3337	dessen	_	_	
9-11	3338-3345	Agentur	_	_	
9-12	3346-3350	sich	_	_	
9-13	3351-3354	den	_	_	
9-14	3355-3377	Drei-Millionen-Auftrag	_	_	
9-15	3378-3381	zur	_	_	
9-16	3382-3394	Organisation	_	_	
9-17	3395-3398	der	_	_	
9-18	3399-3409	Jubelfeier	_	_	
9-19	3410-3412	an	*->5-1	non-literal-mwe[5]	
9-20	3413-3417	Land	*->5-2	*[5]	
9-21	3418-3425	gezogen	*->5-3	*[5]	
9-22	3426-3429	hat	_	_	
9-23	3430-3431	.	_	_	

#Text=Offenbar sollen in das geplante deutsch-sowjetische Joint-venture auch die Exklusivverträge über Urananreicherung in der UdSSR eingebunden werden , die der kürzlich verstorbene Düsseldorfer Atomalienhändler und Schwarzmarktkünstler Alfred Hempel 1978 an Land gezogen hatte .
11-1	3981-3989	Offenbar	_	_	
11-2	3990-3996	sollen	_	_	
11-3	3997-3999	in	_	_	
11-4	4000-4003	das	_	_	
11-5	4004-4012	geplante	_	_	
11-6	4013-4032	deutsch-sowjetische	_	_	
11-7	4033-4046	Joint-venture	_	_	
11-8	4047-4051	auch	_	_	
11-9	4052-4055	die	_	_	
11-10	4056-4072	Exklusivverträge	_	_	
11-11	4073-4077	über	_	_	
11-12	4078-4094	Urananreicherung	_	_	
11-13	4095-4097	in	_	_	
11-14	4098-4101	der	_	_	
11-15	4102-4107	UdSSR	_	_	
11-16	4108-4119	eingebunden	_	_	
11-17	4120-4126	werden	_	_	
11-18	4127-4128	,	_	_	
11-19	4129-4132	die	_	_	
11-20	4133-4136	der	_	_	
11-21	4137-4145	kürzlich	_	_	
11-22	4146-4157	verstorbene	_	_	
11-23	4158-4170	Düsseldorfer	_	_	
11-24	4171-4187	Atomalienhändler	_	_	
11-25	4188-4191	und	_	_	
11-26	4192-4212	Schwarzmarktkünstler	_	_	
11-27	4213-4219	Alfred	_	_	
11-28	4220-4226	Hempel	_	_	
11-29	4227-4231	1978	_	_	
11-30	4232-4234	an	*->6-1	non-literal-mwe[6]	
11-31	4235-4239	Land	*->6-2	*[6]	
11-32	4240-4247	gezogen	*->6-3	*[6]	
11-33	4248-4253	hatte	_	_	
11-34	4254-4255	.	_	_	

#Text=Freilich zog das Kreuzberger Bauamt 140 Millionen Mark Sanierungsmittel jährlich an Land - in Tiergarten waren es mal gerade 20 Millionen .
13-1	5004-5012	Freilich	_	_	
13-2	5013-5016	zog	*->7-1	non-literal-mwe[7]	
13-3	5017-5020	das	_	_	
13-4	5021-5032	Kreuzberger	_	_	
13-5	5033-5039	Bauamt	_	_	
13-6	5040-5043	140	_	_	
13-7	5044-5053	Millionen	_	_	
13-8	5054-5058	Mark	_	_	
13-9	5059-5075	Sanierungsmittel	_	_	
13-10	5076-5084	jährlich	_	_	
13-11	5085-5087	an	*->7-2	*[7]	
13-12	5088-5092	Land	*->7-3	*[7]	
13-13	5093-5094	-	_	_	
13-14	5095-5097	in	_	_	
13-15	5098-5108	Tiergarten	_	_	
13-16	5109-5114	waren	_	_	
13-17	5115-5117	es	_	_	
13-18	5118-5121	mal	_	_	
13-19	5122-5128	gerade	_	_	
13-20	5129-5131	20	_	_	
13-21	5132-5141	Millionen	_	_	
13-22	5142-5143	.	_	_	

#Text=Später soll die Firma Fertigungsaufträge an Land ziehen , die seine Mitglieder dann abarbeiten .
15-1	5890-5896	Später	_	_	
15-2	5897-5901	soll	_	_	
15-3	5902-5905	die	_	_	
15-4	5906-5911	Firma	_	_	
15-5	5912-5930	Fertigungsaufträge	_	_	
15-6	5931-5933	an	*->8-1	non-literal-mwe[8]	
15-7	5934-5938	Land	*->8-2	*[8]	
15-8	5939-5945	ziehen	*->8-3	*[8]	
15-9	5946-5947	,	_	_	
15-10	5948-5951	die	_	_	
15-11	5952-5957	seine	_	_	
15-12	5958-5968	Mitglieder	_	_	
15-13	5969-5973	dann	_	_	
15-14	5974-5984	abarbeiten	_	_	
15-15	5985-5986	.	_	_	

#Text=Nach sicheren Informationen der taz aus Kreisen der Frankfurter Hochfinanz sowie des Bonner Kanzleramtes ist es nun dem Bundeskanzler in seinem Osterurlaub - der ja vor allem der Kabinettsreform dienen sollte - gelungen , den Abs - " Enkel " und heutigen Vorstandsvorsitzenden der Deutschen Bank , Alfred Herrhausen , als neuen Finanzminister am Rhein an Land zu ziehen .
17-1	6648-6652	Nach	_	_	
17-2	6653-6661	sicheren	_	_	
17-3	6662-6675	Informationen	_	_	
17-4	6676-6679	der	_	_	
17-5	6680-6683	taz	_	_	
17-6	6684-6687	aus	_	_	
17-7	6688-6695	Kreisen	_	_	
17-8	6696-6699	der	_	_	
17-9	6700-6711	Frankfurter	_	_	
17-10	6712-6722	Hochfinanz	_	_	
17-11	6723-6728	sowie	_	_	
17-12	6729-6732	des	_	_	
17-13	6733-6739	Bonner	_	_	
17-14	6740-6752	Kanzleramtes	_	_	
17-15	6753-6756	ist	_	_	
