#Text=Auch das Sportpalast-Projekt stünde bei einem SPD/AL-Bündnis nicht auf dem Abstellgleis .
1-1	0-4	Auch	_	_	
1-2	5-8	das	_	_	
1-3	9-28	Sportpalast-Projekt	_	_	
1-4	29-35	stünde	*->1-1	non-literal-mwe[1]	
1-5	36-39	bei	_	_	
1-6	40-45	einem	_	_	
1-7	46-60	SPD/AL-Bündnis	_	_	
1-8	61-66	nicht	_	_	
1-9	67-70	auf	*->1-2	*[1]	
1-10	71-74	dem	_	_	
1-11	75-87	Abstellgleis	*->1-3	*[1]	
1-12	88-89	.	_	_	

#Text=Sieben Waggons mit chemischen Abfällen , die offenbar seit Jahren auf einem Abstellgleis des Bahnhofs von Wriezen im Bezirk Frankfurt / Oder stehen , sollen nach alarmierenden Zeitungsberichten nun schnellstmöglich entsorgt werden .
3-1	934-940	Sieben	_	_	
3-2	941-948	Waggons	_	_	
3-3	949-952	mit	_	_	
3-4	953-963	chemischen	_	_	
3-5	964-972	Abfällen	_	_	
3-6	973-974	,	_	_	
3-7	975-978	die	_	_	
3-8	979-987	offenbar	_	_	
3-9	988-992	seit	_	_	
3-10	993-999	Jahren	_	_	
3-11	1000-1003	auf	*->2-1	literal[2]	
3-12	1004-1009	einem	_	_	
3-13	1010-1022	Abstellgleis	*->2-2	*[2]	
3-14	1023-1026	des	_	_	
3-15	1027-1035	Bahnhofs	_	_	
3-16	1036-1039	von	_	_	
3-17	1040-1047	Wriezen	_	_	
3-18	1048-1050	im	_	_	
3-19	1051-1057	Bezirk	_	_	
3-20	1058-1067	Frankfurt	_	_	
3-21	1068-1069	/	_	_	
3-22	1070-1074	Oder	_	_	
3-23	1075-1081	stehen	*->2-3	*[2]	
3-24	1082-1083	,	_	_	
3-25	1084-1090	sollen	_	_	
3-26	1091-1095	nach	_	_	
3-27	1096-1109	alarmierenden	_	_	
3-28	1110-1127	Zeitungsberichten	_	_	
3-29	1128-1131	nun	_	_	
3-30	1132-1148	schnellstmöglich	_	_	
3-31	1149-1157	entsorgt	_	_	
3-32	1158-1164	werden	_	_	
3-33	1165-1166	.	_	_	

#Text=Viele Güterzüge werden zunächst aber auf den Abstellgleisen stehen bleiben .
5-1	2202-2207	Viele	_	_	
5-2	2208-2217	Güterzüge	_	_	
5-3	2218-2224	werden	_	_	
5-4	2225-2233	zunächst	_	_	
5-5	2234-2238	aber	_	_	
5-6	2239-2242	auf	*->3-1	literal[3]	
5-7	2243-2246	den	_	_	
5-8	2247-2261	Abstellgleisen	*->3-2	*[3]	
5-9	2262-2268	stehen	*->3-3	*[3]	
5-10	2269-2276	bleiben	_	_	
