#Text=Außerdem stehen wir seit Anfang November samstags vor dem U-Bahnhof Wittenbergplatz auf der Straße ( auch bei Regen und Wind , siehe Foto ) , um Geld und Unterschriften von Berlinern zu sammeln .
1-1	0-8	Außerdem	_	_	
1-2	9-15	stehen	*->1-1	literal[1]	
1-3	16-19	wir	_	_	
1-4	20-24	seit	_	_	
1-5	25-31	Anfang	_	_	
1-6	32-40	November	_	_	
1-7	41-49	samstags	_	_	
1-8	50-53	vor	_	_	
1-9	54-57	dem	_	_	
1-10	58-67	U-Bahnhof	_	_	
1-11	68-83	Wittenbergplatz	_	_	
1-12	84-87	auf	*->1-2	*[1]	
1-13	88-91	der	_	_	
1-14	92-98	Straße	*->1-3	*[1]	
1-15	99-100	(	_	_	
1-16	101-105	auch	_	_	
1-17	106-109	bei	_	_	
1-18	110-115	Regen	_	_	
1-19	116-119	und	_	_	
1-20	120-124	Wind	_	_	
1-21	125-126	,	_	_	
1-22	127-132	siehe	_	_	
1-23	133-137	Foto	_	_	
1-24	138-139	)	_	_	
1-25	140-141	,	_	_	
1-26	142-144	um	_	_	
1-27	145-149	Geld	_	_	
1-28	150-153	und	_	_	
1-29	154-168	Unterschriften	_	_	
1-30	169-172	von	_	_	
1-31	173-182	Berlinern	_	_	
1-32	183-185	zu	_	_	
1-33	186-193	sammeln	_	_	
1-34	194-195	.	_	_	

#Text=" Wir stehen auf der Straße und machen Stände , und Metz tut fast nichts .
3-1	617-618	"	_	_	
3-2	619-622	Wir	_	_	
3-3	623-629	stehen	*->2-1	literal[2]	
3-4	630-633	auf	*->2-2	*[2]	
3-5	634-637	der	_	_	
3-6	638-644	Straße	*->2-3	*[2]	
3-7	645-648	und	_	_	
3-8	649-655	machen	_	_	
3-9	656-662	Stände	_	_	
3-10	663-664	,	_	_	
3-11	665-668	und	_	_	
3-12	669-673	Metz	_	_	
3-13	674-677	tut	_	_	
3-14	678-682	fast	_	_	
3-15	683-689	nichts	_	_	
3-16	690-691	.	_	_	

