#Text=Dort , wo noch vor Jahresfrist Hunderte von Hasen bei den Treibjagden auf den Strecken blieben , finden sich allenfalls noch zwei oder drei Exmplare der Gattung " Leporidae " .
1-1	0-4	Dort	_	_	
1-2	5-6	,	_	_	
1-3	7-9	wo	_	_	
1-4	10-14	noch	_	_	
1-5	15-18	vor	_	_	
1-6	19-30	Jahresfrist	_	_	
1-7	31-39	Hunderte	_	_	
1-8	40-43	von	_	_	
1-9	44-49	Hasen	_	_	
1-10	50-53	bei	_	_	
1-11	54-57	den	_	_	
1-12	58-69	Treibjagden	_	_	
1-13	70-73	auf	*->1-1	literal[1]	
1-14	74-77	den	_	_	
1-15	78-86	Strecken	*->1-2	*[1]	
1-16	87-94	blieben	*->1-3	*[1]	
1-17	95-96	,	_	_	
1-18	97-103	finden	_	_	
1-19	104-108	sich	_	_	
1-20	109-119	allenfalls	_	_	
1-21	120-124	noch	_	_	
1-22	125-129	zwei	_	_	
1-23	130-134	oder	_	_	
1-24	135-139	drei	_	_	
1-25	140-148	Exmplare	_	_	
1-26	149-152	der	_	_	
1-27	153-160	Gattung	_	_	
1-28	161-162	"	_	_	
1-29	163-172	Leporidae	_	_	
1-30	173-174	"	_	_	
1-31	175-176	.	_	_	

#Text=So sollen in Bayern , in Niedersachsen und in Baden-Württemberg Hasen ohne Schroteinwirkung auf der Strecke geblieben sein .
3-1	2972-2974	So	_	_	
3-2	2975-2981	sollen	_	_	
3-3	2982-2984	in	_	_	
3-4	2985-2991	Bayern	_	_	
3-5	2992-2993	,	_	_	
3-6	2994-2996	in	_	_	
3-7	2997-3010	Niedersachsen	_	_	
3-8	3011-3014	und	_	_	
3-9	3015-3017	in	_	_	
3-10	3018-3035	Baden-Württemberg	_	_	
3-11	3036-3041	Hasen	_	_	
3-12	3042-3046	ohne	_	_	
3-13	3047-3063	Schroteinwirkung	_	_	
3-14	3064-3067	auf	*->2-1	literal[2]	
3-15	3068-3071	der	_	_	
3-16	3072-3079	Strecke	*->2-2	*[2]	
3-17	3080-3089	geblieben	*->2-3	*[2]	
3-18	3090-3094	sein	_	_	
3-19	3095-3096	.	_	_	

#Text=Hilflose Lehrer / innen Für viele Lehrer / innen , das ist auch die Erfahrung der früheren Pro-Familia-Bundesvorsitzenden Melitta Walter aus Fortbildungsveranstaltungen , steht die Vermittlung biologischer Vorgänge im Vordergrund , und vor allem emotionale Zusammenhänge blieben auf der Strecke .
5-1	5892-5900	Hilflose	_	_	
5-2	5901-5907	Lehrer	_	_	
5-3	5908-5909	/	_	_	
5-4	5910-5915	innen	_	_	
5-5	5916-5919	Für	_	_	
5-6	5920-5925	viele	_	_	
5-7	5926-5932	Lehrer	_	_	
5-8	5933-5934	/	_	_	
5-9	5935-5940	innen	_	_	
5-10	5941-5942	,	_	_	
5-11	5943-5946	das	_	_	
5-12	5947-5950	ist	_	_	
5-13	5951-5955	auch	_	_	
5-14	5956-5959	die	_	_	
5-15	5960-5969	Erfahrung	_	_	
5-16	5970-5973	der	_	_	
5-17	5974-5982	früheren	_	_	
5-18	5983-6013	Pro-Familia-Bundesvorsitzenden	_	_	
5-19	6014-6021	Melitta	_	_	
5-20	6022-6028	Walter	_	_	
5-21	6029-6032	aus	_	_	
5-22	6033-6060	Fortbildungsveranstaltungen	_	_	
5-23	6061-6062	,	_	_	
5-24	6063-6068	steht	_	_	
5-25	6069-6072	die	_	_	
5-26	6073-6084	Vermittlung	_	_	
5-27	6085-6097	biologischer	_	_	
5-28	6098-6106	Vorgänge	_	_	
5-29	6107-6109	im	_	_	
5-30	6110-6121	Vordergrund	_	_	
5-31	6122-6123	,	_	_	
5-32	6124-6127	und	_	_	
5-33	6128-6131	vor	_	_	
5-34	6132-6137	allem	_	_	
5-35	6138-6148	emotionale	_	_	
5-36	6149-6162	Zusammenhänge	_	_	
5-37	6163-6170	blieben	*->3-1	non-literal-mwe[3]	
5-38	6171-6174	auf	*->3-2	*[3]	
5-39	6175-6178	der	_	_	
5-40	6179-6186	Strecke	*->3-3	*[3]	
5-41	6187-6188	.	_	_	

#Text=" Ziele wie Drogenfreiheit und soziale Integration werden absurd , wenn dabei das gesundheitliche Wohlergehen der Drogenabhängigen und ihre Überlebenschancen auf der Strecke bleiben , " schreiben dagegen die Mitarbeiter der Hamburger Übernachtungsstätte " Swartenhorst " .
7-1	13239-13240	"	_	_	
7-2	13241-13246	Ziele	_	_	
7-3	13247-13250	wie	_	_	
7-4	13251-13265	Drogenfreiheit	_	_	
7-5	13266-13269	und	_	_	
7-6	13270-13277	soziale	_	_	
7-7	13278-13289	Integration	_	_	
7-8	13290-13296	werden	_	_	
7-9	13297-13303	absurd	_	_	
7-10	13304-13305	,	_	_	
7-11	13306-13310	wenn	_	_	
7-12	13311-13316	dabei	_	_	
7-13	13317-13320	das	_	_	
7-14	13321-13336	gesundheitliche	_	_	
7-15	13337-13348	Wohlergehen	_	_	
7-16	13349-13352	der	_	_	
7-17	13353-13369	Drogenabhängigen	_	_	
7-18	13370-13373	und	_	_	
7-19	13374-13378	ihre	_	_	
7-20	13379-13396	Überlebenschancen	_	_	
7-21	13397-13400	auf	*->4-1	non-literal-mwe[4]	
7-22	13401-13404	der	_	_	
7-23	13405-13412	Strecke	*->4-2	*[4]	
7-24	13413-13420	bleiben	*->4-3	*[4]	
7-25	13421-13422	,	_	_	
7-26	13423-13424	"	_	_	
7-27	13425-13434	schreiben	_	_	
7-28	13435-13442	dagegen	_	_	
7-29	13443-13446	die	_	_	
7-30	13447-13458	Mitarbeiter	_	_	
7-31	13459-13462	der	_	_	
7-32	13463-13472	Hamburger	_	_	
7-33	13473-13492	Übernachtungsstätte	_	_	
7-34	13493-13494	"	_	_	
7-35	13495-13507	Swartenhorst	_	_	
7-36	13508-13509	"	_	_	
7-37	13510-13511	.	_	_	

#Text=Die Jungen und Mädchen würden , wenn überhaupt , in erster Linie die CDU / CSU wählen ( 19 Prozent ) , aber auch den " Grünen " ein gewichtiges Mandat geben ( 16 Prozent ) ; die FDP bleibt indes auf der Strecke ( 1 Prozent ) .
9-1	20399-20402	Die	_	_	
9-2	20403-20409	Jungen	_	_	
9-3	20410-20413	und	_	_	
9-4	20414-20421	Mädchen	_	_	
9-5	20422-20428	würden	_	_	
9-6	20429-20430	,	_	_	
9-7	20431-20435	wenn	_	_	
9-8	20436-20445	überhaupt	_	_	
9-9	20446-20447	,	_	_	
9-10	20448-20450	in	_	_	
9-11	20451-20457	erster	_	_	
9-12	20458-20463	Linie	_	_	
9-13	20464-20467	die	_	_	
9-14	20468-20471	CDU	_	_	
9-15	20472-20473	/	_	_	
9-16	20474-20477	CSU	_	_	
9-17	20478-20484	wählen	_	_	
9-18	20485-20486	(	_	_	
9-19	20487-20489	19	_	_	
9-20	20490-20497	Prozent	_	_	
9-21	20498-20499	)	_	_	
9-22	20500-20501	,	_	_	
9-23	20502-20506	aber	_	_	
9-24	20507-20511	auch	_	_	
9-25	20512-20515	den	_	_	
9-26	20516-20517	"	_	_	
9-27	20518-20524	Grünen	_	_	
9-28	20525-20526	"	_	_	
9-29	20527-20530	ein	_	_	
9-30	20531-20542	gewichtiges	_	_	
9-31	20543-20549	Mandat	_	_	
9-32	20550-20555	geben	_	_	
9-33	20556-20557	(	_	_	
9-34	20558-20560	16	_	_	
9-35	20561-20568	Prozent	_	_	
9-36	20569-20570	)	_	_	
9-37	20571-20572	;	_	_	
9-38	20573-20576	die	_	_	
9-39	20577-20580	FDP	_	_	
9-40	20581-20587	bleibt	*->5-1	non-literal-mwe[5]	
9-41	20588-20593	indes	_	_	
9-42	20594-20597	auf	*->5-2	*[5]	
9-43	20598-20601	der	_	_	
9-44	20602-20609	Strecke	*->5-3	*[5]	
9-45	20610-20611	(	_	_	
9-46	20612-20613	1	_	_	
9-47	20614-20621	Prozent	_	_	
9-48	20622-20623	)	_	_	
9-49	20624-20625	.	_	_	

#Text=Auf der Strecke bleibt dabei eine einheitliche deutsche Außenpolitik .
11-1	23481-23484	Auf	*->6-1	non-literal-mwe[6]	
11-2	23485-23488	der	_	_	
11-3	23489-23496	Strecke	*->6-2	*[6]	
11-4	23497-23503	bleibt	*->6-3	*[6]	
11-5	23504-23509	dabei	_	_	
11-6	23510-23514	eine	_	_	
11-7	23515-23527	einheitliche	_	_	
11-8	23528-23536	deutsche	_	_	
11-9	23537-23549	Außenpolitik	_	_	
11-10	23550-23551	.	_	_	

#Text=" Die Demokratie bleibt dabei Stück für Stück auf der Strecke " .
