#Text=Köln ( taz ) - Messer , Gabel und Löffel lagen bereits auf dem Tisch , als die " Bundesvereinigung der Deutschen Ernährungsindustrie " ( BVE ) am letzten Mittwoch ihre " 4 . Unternehmertagung " in den Kölner Messehallen eröffnete .
1-1	0-4	Köln	_	_	
1-2	5-6	(	_	_	
1-3	7-10	taz	_	_	
1-4	11-12	)	_	_	
1-5	13-14	-	_	_	
1-6	15-21	Messer	_	_	
1-7	22-23	,	_	_	
1-8	24-29	Gabel	_	_	
1-9	30-33	und	_	_	
1-10	34-40	Löffel	_	_	
1-11	41-46	lagen	*->1-1	literal[1]	
1-12	47-54	bereits	_	_	
1-13	55-58	auf	*->1-2	*[1]	
1-14	59-62	dem	_	_	
1-15	63-68	Tisch	*->1-3	*[1]	
1-16	69-70	,	_	_	
1-17	71-74	als	_	_	
1-18	75-78	die	_	_	
1-19	79-80	"	_	_	
1-20	81-98	Bundesvereinigung	_	_	
1-21	99-102	der	_	_	
1-22	103-112	Deutschen	_	_	
1-23	113-132	Ernährungsindustrie	_	_	
1-24	133-134	"	_	_	
1-25	135-136	(	_	_	
1-26	137-140	BVE	_	_	
1-27	141-142	)	_	_	
1-28	143-145	am	_	_	
1-29	146-153	letzten	_	_	
1-30	154-162	Mittwoch	_	_	
1-31	163-167	ihre	_	_	
1-32	168-169	"	_	_	
1-33	170-171	4	_	_	
1-34	172-173	.	_	_	
1-35	174-191	Unternehmertagung	_	_	
1-36	192-193	"	_	_	
1-37	194-196	in	_	_	
1-38	197-200	den	_	_	
1-39	201-207	Kölner	_	_	
1-40	208-219	Messehallen	_	_	
1-41	220-229	eröffnete	_	_	
1-42	230-231	.	_	_	

#Text=Ganz weit hinten , so daß das Buch im kräftigem Pappeinband nicht richtig auf dem Tisch liegen will .
3-1	3815-3819	Ganz	_	_	
3-2	3820-3824	weit	_	_	
3-3	3825-3831	hinten	_	_	
3-4	3832-3833	,	_	_	
3-5	3834-3836	so	_	_	
3-6	3837-3840	daß	_	_	
3-7	3841-3844	das	_	_	
3-8	3845-3849	Buch	_	_	
3-9	3850-3852	im	_	_	
3-10	3853-3862	kräftigem	_	_	
3-11	3863-3874	Pappeinband	_	_	
3-12	3875-3880	nicht	_	_	
3-13	3881-3888	richtig	_	_	
3-14	3889-3892	auf	*->2-1	literal[2]	
3-15	3893-3896	dem	_	_	
3-16	3897-3902	Tisch	*->2-2	*[2]	
3-17	3903-3909	liegen	*->2-3	*[2]	
3-18	3910-3914	will	_	_	
3-19	3915-3916	.	_	_	

#Text=" Jede Hochschule hat eine Frauenbeauftragte zu bestimmen " , heißt es zu Beginn des " Grundsätze-Erlasses " , der den hessischen Hochschulen seit einigen Tagen auf dem Tisch liegt .
5-1	8541-8542	"	_	_	
5-2	8543-8547	Jede	_	_	
5-3	8548-8558	Hochschule	_	_	
5-4	8559-8562	hat	_	_	
5-5	8563-8567	eine	_	_	
5-6	8568-8585	Frauenbeauftragte	_	_	
5-7	8586-8588	zu	_	_	
5-8	8589-8598	bestimmen	_	_	
5-9	8599-8600	"	_	_	
5-10	8601-8602	,	_	_	
5-11	8603-8608	heißt	_	_	
5-12	8609-8611	es	_	_	
5-13	8612-8614	zu	_	_	
5-14	8615-8621	Beginn	_	_	
5-15	8622-8625	des	_	_	
5-16	8626-8627	"	_	_	
5-17	8628-8647	Grundsätze-Erlasses	_	_	
5-18	8648-8649	"	_	_	
5-19	8650-8651	,	_	_	
5-20	8652-8655	der	_	_	
5-21	8656-8659	den	_	_	
5-22	8660-8670	hessischen	_	_	
5-23	8671-8682	Hochschulen	_	_	
5-24	8683-8687	seit	_	_	
5-25	8688-8695	einigen	_	_	
5-26	8696-8701	Tagen	_	_	
5-27	8702-8705	auf	*->3-1	non-literal-mwe[3]	
5-28	8706-8709	dem	_	_	
5-29	8710-8715	Tisch	*->3-2	*[3]	
5-30	8716-8721	liegt	*->3-3	*[3]	
5-31	8722-8723	.	_	_	

#Text=Lauter rundliche Bürger im Tweedmantel sitzen hier , auf dem Tisch liegen Werbebroschüren der FPÖ einträchtig neben grünen Filzhüten und Damenhandtaschen aus Lederimitat .
7-1	10867-10873	Lauter	_	_	
7-2	10874-10883	rundliche	_	_	
7-3	10884-10890	Bürger	_	_	
7-4	10891-10893	im	_	_	
7-5	10894-10905	Tweedmantel	_	_	
7-6	10906-10912	sitzen	_	_	
7-7	10913-10917	hier	_	_	
7-8	10918-10919	,	_	_	
7-9	10920-10923	auf	*->4-1	literal[4]	
7-10	10924-10927	dem	_	_	
7-11	10928-10933	Tisch	*->4-2	*[4]	
7-12	10934-10940	liegen	*->4-3	*[4]	
7-13	10941-10956	Werbebroschüren	_	_	
7-14	10957-10960	der	_	_	
7-15	10961-10964	FPÖ	_	_	
7-16	10965-10976	einträchtig	_	_	
7-17	10977-10982	neben	_	_	
7-18	10983-10989	grünen	_	_	
7-19	10990-10999	Filzhüten	_	_	
7-20	11000-11003	und	_	_	
7-21	11004-11020	Damenhandtaschen	_	_	
7-22	11021-11024	aus	_	_	
7-23	11025-11036	Lederimitat	_	_	
7-24	11037-11038	.	_	_	

#Text=In einem Interview von Radio Bremen sagte Lohs - er gehört der Forschungsstelle für Toxikologie der Akademie der Wissenschaften der DDR an - das Verhandlungsangebot des DDR- Staatsratvorsitzenden Erich Honecker läge " auf dem Tisch " .
9-1	15272-15274	In	_	_	
9-2	15275-15280	einem	_	_	
9-3	15281-15290	Interview	_	_	
9-4	15291-15294	von	_	_	
9-5	15295-15300	Radio	_	_	
9-6	15301-15307	Bremen	_	_	
9-7	15308-15313	sagte	_	_	
9-8	15314-15318	Lohs	_	_	
9-9	15319-15320	-	_	_	
9-10	15321-15323	er	_	_	
9-11	15324-15330	gehört	_	_	
9-12	15331-15334	der	_	_	
9-13	15335-15351	Forschungsstelle	_	_	
9-14	15352-15355	für	_	_	
9-15	15356-15367	Toxikologie	_	_	
9-16	15368-15371	der	_	_	
9-17	15372-15380	Akademie	_	_	
9-18	15381-15384	der	_	_	
9-19	15385-15399	Wissenschaften	_	_	
9-20	15400-15403	der	_	_	
9-21	15404-15407	DDR	_	_	
9-22	15408-15410	an	_	_	
9-23	15411-15412	-	_	_	
9-24	15413-15416	das	_	_	
9-25	15417-15436	Verhandlungsangebot	_	_	
9-26	15437-15440	des	_	_	
9-27	15441-15445	DDR-	_	_	
9-28	15446-15467	Staatsratvorsitzenden	_	_	
9-29	15468-15473	Erich	_	_	
9-30	15474-15482	Honecker	_	_	
9-31	15483-15487	läge	*->5-1	literal[5]	
9-32	15488-15489	"	_	_	
9-33	15490-15493	auf	*->5-2	*[5]	
9-34	15494-15497	dem	_	_	
9-35	15498-15503	Tisch	*->5-3	*[5]	
9-36	15504-15505	"	_	_	
9-37	15506-15507	.	_	_	

#Text=In Schuldfragen , wo es um Recht geht , kommt man der Wahrheit nur näher , wenn ordentliche Gerichte für ein faires Verfahren sorgen , die Akten auf dem Tisch liegen und nach mündlicher Verhandlung ein begründetes Urteil gefällt wird - das nach rechtsstaatlichen Regeln in nächster Instanz auch revidiert werden kann .
11-1	16000-16002	In	_	_	
11-2	16003-16015	Schuldfragen	_	_	
11-3	16016-16017	,	_	_	
11-4	16018-16020	wo	_	_	
11-5	16021-16023	es	_	_	
11-6	16024-16026	um	_	_	
11-7	16027-16032	Recht	_	_	
11-8	16033-16037	geht	_	_	
11-9	16038-16039	,	_	_	
11-10	16040-16045	kommt	_	_	
11-11	16046-16049	man	_	_	
11-12	16050-16053	der	_	_	
11-13	16054-16062	Wahrheit	_	_	
11-14	16063-16066	nur	_	_	
11-15	16067-16072	näher	_	_	
11-16	16073-16074	,	_	_	
11-17	16075-16079	wenn	_	_	
11-18	16080-16091	ordentliche	_	_	
11-19	16092-16100	Gerichte	_	_	
11-20	16101-16104	für	_	_	
11-21	16105-16108	ein	_	_	
11-22	16109-16115	faires	_	_	
11-23	16116-16125	Verfahren	_	_	
11-24	16126-16132	sorgen	_	_	
11-25	16133-16134	,	_	_	
11-26	16135-16138	die	_	_	
11-27	16139-16144	Akten	_	_	
11-28	16145-16148	auf	*->6-1	non-literal-mwe[6]	
11-29	16149-16152	dem	_	_	
11-30	16153-16158	Tisch	*->6-2	*[6]	
11-31	16159-16165	liegen	*->6-3	*[6]	
11-32	16166-16169	und	_	_	
11-33	16170-16174	nach	_	_	
11-34	16175-16185	mündlicher	_	_	
11-35	16186-16197	Verhandlung	_	_	
11-36	16198-16201	ein	_	_	
11-37	16202-16213	begründetes	_	_	
11-38	16214-16220	Urteil	_	_	
11-39	16221-16228	gefällt	_	_	
11-40	16229-16233	wird	_	_	
11-41	16234-16235	-	_	_	
11-42	16236-16239	das	_	_	
11-43	16240-16244	nach	_	_	
11-44	16245-16262	rechtsstaatlichen	_	_	
11-45	16263-16269	Regeln	_	_	
11-46	16270-16272	in	_	_	
11-47	16273-16281	nächster	_	_	
11-48	16282-16289	Instanz	_	_	
11-49	16290-16294	auch	_	_	
11-50	16295-16304	revidiert	_	_	
11-51	16305-16311	werden	_	_	
11-52	16312-16316	kann	_	_	
11-53	16317-16318	.	_	_	

#Text=Trotzdem liegt noch kein konkreter Vorschlag auf dem Tisch .
13-1	16638-16646	Trotzdem	_	_	
13-2	16647-16652	liegt	*->7-1	non-literal-mwe[7]	
13-3	16653-16657	noch	_	_	
13-4	16658-16662	kein	_	_	
13-5	16663-16672	konkreter	_	_	
13-6	16673-16682	Vorschlag	_	_	
13-7	16683-16686	auf	*->7-2	*[7]	
13-8	16687-16690	dem	_	_	
13-9	16691-16696	Tisch	*->7-3	*[7]	
13-10	16697-16698	.	_	_	

#Text=Eine Alternative zum Tunnelkreuz samt Zentralbahnhof an der Lehrter Straße liegt nun auf dem Tisch : Bausenator Nagel will einen Bahnhof am Gleisdreieck errichten .
15-1	17349-17353	Eine	_	_	
15-2	17354-17365	Alternative	_	_	
15-3	17366-17369	zum	_	_	
15-4	17370-17381	Tunnelkreuz	_	_	
15-5	17382-17386	samt	_	_	
15-6	17387-17401	Zentralbahnhof	_	_	
15-7	17402-17404	an	_	_	
15-8	17405-17408	der	_	_	
15-9	17409-17416	Lehrter	_	_	
15-10	17417-17423	Straße	_	_	
15-11	17424-17429	liegt	*->8-1	non-literal-mwe[8]	
15-12	17430-17433	nun	_	_	
15-13	17434-17437	auf	*->8-2	*[8]	
15-14	17438-17441	dem	_	_	
15-15	17442-17447	Tisch	*->8-3	*[8]	
15-16	17448-17449	:	_	_	
15-17	17450-17460	Bausenator	_	_	
15-18	17461-17466	Nagel	_	_	
15-19	17467-17471	will	_	_	
15-20	17472-17477	einen	_	_	
15-21	17478-17485	Bahnhof	_	_	
15-22	17486-17488	am	_	_	
15-23	17489-17501	Gleisdreieck	_	_	
15-24	17502-17511	errichten	_	_	
15-25	17512-17513	.	_	_	

#Text=Bei der Fülle von Informationen , die auf dem Tisch liegen , sei es jetzt sinnvoller , Menschen , die einen " direkten Bezug miteinander " haben , an den Tisch zu bringen - also " Spitzel und Bespitzelte in Augenhöhe miteinander reden zu lassen " .
17-1	18362-18365	Bei	_	_	
17-2	18366-18369	der	_	_	
17-3	18370-18375	Fülle	_	_	
17-4	18376-18379	von	_	_	
17-5	18380-18393	Informationen	_	_	
17-6	18394-18395	,	_	_	
17-7	18396-18399	die	_	_	
17-8	18400-18403	auf	*->9-1	non-literal-mwe[9]	
17-9	18404-18407	dem	_	_	
17-10	18408-18413	Tisch	*->9-2	*[9]	
17-11	18414-18420	liegen	*->9-3	*[9]	
17-12	18421-18422	,	_	_	
17-13	18423-18426	sei	_	_	
17-14	18427-18429	es	_	_	
17-15	18430-18435	jetzt	_	_	
17-16	18436-18446	sinnvoller	_	_	
17-17	18447-18448	,	_	_	
17-18	18449-18457	Menschen	_	_	
17-19	18458-18459	,	_	_	
17-20	18460-18463	die	_	_	
17-21	18464-18469	einen	_	_	
17-22	18470-18471	"	_	_	
17-23	18472-18480	direkten	_	_	
17-24	18481-18486	Bezug	_	_	
17-25	18487-18498	miteinander	_	_	
17-26	18499-18500	"	_	_	
