#Text=Auch Wolf klinkte sich darin ein : daß soviele ohne Reue auf den Zug in andere Richtung aufspringen , " kann dem Vertrauen nicht zuträglich sein " .
1-1	0-4	Auch	_	_	
1-2	5-9	Wolf	_	_	
1-3	10-17	klinkte	_	_	
1-4	18-22	sich	_	_	
1-5	23-28	darin	_	_	
1-6	29-32	ein	_	_	
1-7	33-34	:	_	_	
1-8	35-38	daß	_	_	
1-9	39-46	soviele	_	_	
1-10	47-51	ohne	_	_	
1-11	52-56	Reue	_	_	
1-12	57-60	auf	*->1-1	non-literal-mwe[1]	
1-13	61-64	den	_	_	
1-14	65-68	Zug	*->1-2	*[1]	
1-15	69-71	in	_	_	
1-16	72-78	andere	_	_	
1-17	79-87	Richtung	_	_	
1-18	88-99	aufspringen	*->1-3	*[1]	
1-19	100-101	,	_	_	
1-20	102-103	"	_	_	
1-21	104-108	kann	_	_	
1-22	109-112	dem	_	_	
1-23	113-122	Vertrauen	_	_	
1-24	123-128	nicht	_	_	
1-25	129-139	zuträglich	_	_	
1-26	140-144	sein	_	_	
1-27	145-146	"	_	_	
1-28	147-148	.	_	_	

#Text=ben sich am Mittwoch auf Bahnschienen gelegt , um auf Züge in Richtung Bayern aufzuspringen .
3-1	850-853	ben	_	_	
3-2	854-858	sich	_	_	
3-3	859-861	am	_	_	
3-4	862-870	Mittwoch	_	_	
3-5	871-874	auf	_	_	
3-6	875-887	Bahnschienen	_	_	
3-7	888-894	gelegt	_	_	
3-8	895-896	,	_	_	
3-9	897-899	um	_	_	
3-10	900-903	auf	*->2-1	literal[2]	
3-11	904-908	Züge	*->2-2	*[2]	
3-12	909-911	in	_	_	
3-13	912-920	Richtung	_	_	
3-14	921-927	Bayern	_	_	
3-15	928-941	aufzuspringen	*->2-3	*[2]	
3-16	942-943	.	_	_	

#Text=Entgegen der Warnung des Redners Thomas Ebermann , die Linken sollten nicht die immergleichen Fehler wiederholen und nun auf einen Zug aufspringen , den andere gerade verlassen , sieht Stürmann Möglichkeiten bei den Grünen .
5-1	1258-1266	Entgegen	_	_	
5-2	1267-1270	der	_	_	
5-3	1271-1278	Warnung	_	_	
5-4	1279-1282	des	_	_	
5-5	1283-1290	Redners	_	_	
5-6	1291-1297	Thomas	_	_	
5-7	1298-1306	Ebermann	_	_	
5-8	1307-1308	,	_	_	
5-9	1309-1312	die	_	_	
5-10	1313-1319	Linken	_	_	
5-11	1320-1327	sollten	_	_	
5-12	1328-1333	nicht	_	_	
5-13	1334-1337	die	_	_	
5-14	1338-1351	immergleichen	_	_	
5-15	1352-1358	Fehler	_	_	
5-16	1359-1370	wiederholen	_	_	
5-17	1371-1374	und	_	_	
5-18	1375-1378	nun	_	_	
5-19	1379-1382	auf	*->3-1	non-literal-mwe[3]	
5-20	1383-1388	einen	_	_	
5-21	1389-1392	Zug	*->3-2	*[3]	
5-22	1393-1404	aufspringen	*->3-3	*[3]	
5-23	1405-1406	,	_	_	
5-24	1407-1410	den	_	_	
5-25	1411-1417	andere	_	_	
5-26	1418-1424	gerade	_	_	
5-27	1425-1434	verlassen	_	_	
5-28	1435-1436	,	_	_	
5-29	1437-1442	sieht	_	_	
5-30	1443-1451	Stürmann	_	_	
5-31	1452-1465	Möglichkeiten	_	_	
5-32	1466-1469	bei	_	_	
5-33	1470-1473	den	_	_	
5-34	1474-1480	Grünen	_	_	
5-35	1481-1482	.	_	_	

#Text=Die lagen offenbar darin , daß zahlreiche DDRler Gleise und Bahnhöfe belagerten , um auf die Züge in den Westen aufspringen zu können .
7-1	2324-2327	Die	_	_	
7-2	2328-2333	lagen	_	_	
7-3	2334-2342	offenbar	_	_	
7-4	2343-2348	darin	_	_	
7-5	2349-2350	,	_	_	
7-6	2351-2354	daß	_	_	
7-7	2355-2365	zahlreiche	_	_	
