#Text=Daß die Militärs kurz vor der Wahl kräftig destabilisieren und ihren nächsten Putsch vorbereiten wollen , sei unwahrscheinlich ; die Fäden an der Inflationsspirale haben andere gezogen , schreibt die liberale Wochenzeitschrift ' Periodista ` : " die Weizenexporteure , die ausländischen Banken und die großen Agroproduzenten " .
1-1	0-3	Daß	_	_	
1-2	4-7	die	_	_	
1-3	8-16	Militärs	_	_	
1-4	17-21	kurz	_	_	
1-5	22-25	vor	_	_	
1-6	26-29	der	_	_	
1-7	30-34	Wahl	_	_	
1-8	35-42	kräftig	_	_	
1-9	43-58	destabilisieren	_	_	
1-10	59-62	und	_	_	
1-11	63-68	ihren	_	_	
1-12	69-77	nächsten	_	_	
1-13	78-84	Putsch	_	_	
1-14	85-96	vorbereiten	_	_	
1-15	97-103	wollen	_	_	
1-16	104-105	,	_	_	
1-17	106-109	sei	_	_	
1-18	110-126	unwahrscheinlich	_	_	
1-19	127-128	;	_	_	
1-20	129-132	die	_	_	
1-21	133-138	Fäden	*->1-1	non-literal-mwe[1]	
1-22	139-141	an	_	_	
1-23	142-145	der	_	_	
1-24	146-163	Inflationsspirale	_	_	
1-25	164-169	haben	_	_	
1-26	170-176	andere	_	_	
1-27	177-184	gezogen	*->1-2	*[1]	
1-28	185-186	,	_	_	
1-29	187-195	schreibt	_	_	
1-30	196-199	die	_	_	
1-31	200-208	liberale	_	_	
1-32	209-226	Wochenzeitschrift	_	_	
1-33	227-228	'	_	_	
1-34	229-239	Periodista	_	_	
1-35	240-241	`	_	_	
1-36	242-243	:	_	_	
1-37	244-245	"	_	_	
1-38	246-249	die	_	_	
1-39	250-266	Weizenexporteure	_	_	
1-40	267-268	,	_	_	
1-41	269-272	die	_	_	
1-42	273-286	ausländischen	_	_	
1-43	287-293	Banken	_	_	
1-44	294-297	und	_	_	
1-45	298-301	die	_	_	
1-46	302-308	großen	_	_	
1-47	309-324	Agroproduzenten	_	_	
1-48	325-326	"	_	_	
1-49	327-328	.	_	_	

#Text=Im März zog gar Hans-Jürgen Wischnewski 1988 die Fäden bei der Herstellung eines Waffenstillstands zwischen Regierung und Contra , und die Sandinisten machten immer mehr Zugeständnisse an die westeuropäischen Demokratievorstellungen .
3-1	818-820	Im	_	_	
3-2	821-825	März	_	_	
3-3	826-829	zog	*->2-1	non-literal-mwe[2]	
3-4	830-833	gar	_	_	
3-5	834-845	Hans-Jürgen	_	_	
3-6	846-857	Wischnewski	_	_	
3-7	858-862	1988	_	_	
3-8	863-866	die	_	_	
3-9	867-872	Fäden	*->2-2	*[2]	
3-10	873-876	bei	_	_	
3-11	877-880	der	_	_	
3-12	881-892	Herstellung	_	_	
3-13	893-898	eines	_	_	
3-14	899-916	Waffenstillstands	_	_	
3-15	917-925	zwischen	_	_	
3-16	926-935	Regierung	_	_	
3-17	936-939	und	_	_	
3-18	940-946	Contra	_	_	
3-19	947-948	,	_	_	
3-20	949-952	und	_	_	
3-21	953-956	die	_	_	
3-22	957-968	Sandinisten	_	_	
3-23	969-976	machten	_	_	
3-24	977-982	immer	_	_	
3-25	983-987	mehr	_	_	
3-26	988-1002	Zugeständnisse	_	_	
3-27	1003-1005	an	_	_	
3-28	1006-1009	die	_	_	
3-29	1010-1026	westeuropäischen	_	_	
3-30	1027-1050	Demokratievorstellungen	_	_	
3-31	1051-1052	.	_	_	

#Text=Hauptfigur bei diesen Telefonverhandlungen : ein gewisser Carlos Ponze , der die Bremer Fäden vom Brüsseler Sheraton-Hotel aus zog .
