#Text=" Bisher hatte sich die intensive Schweinehaltung gelohnt , aber jetzt geht der Preis in den Keller " , legte einer der Bauern , Alois Schwarz , den Sinn des Ganzen of
1-1	0-1	"	_	_	
1-2	2-8	Bisher	_	_	
1-3	9-14	hatte	_	_	
1-4	15-19	sich	_	_	
1-5	20-23	die	_	_	
1-6	24-33	intensive	_	_	
1-7	34-49	Schweinehaltung	_	_	
1-8	50-57	gelohnt	_	_	
1-9	58-59	,	_	_	
1-10	60-64	aber	_	_	
1-11	65-70	jetzt	_	_	
1-12	71-75	geht	*->1-1	non-literal-mwe[1]	
1-13	76-79	der	_	_	
1-14	80-85	Preis	_	_	
1-15	86-88	in	*->1-2	*[1]	
1-16	89-92	den	_	_	
1-17	93-99	Keller	*->1-3	*[1]	
1-18	100-101	"	_	_	
1-19	102-103	,	_	_	
1-20	104-109	legte	_	_	
1-21	110-115	einer	_	_	
1-22	116-119	der	_	_	
1-23	120-126	Bauern	_	_	
1-24	127-128	,	_	_	
1-25	129-134	Alois	_	_	
1-26	135-142	Schwarz	_	_	
1-27	143-144	,	_	_	
1-28	145-148	den	_	_	
1-29	149-153	Sinn	_	_	
1-30	154-157	des	_	_	
1-31	158-164	Ganzen	_	_	
1-32	165-167	of	_	_	

#Text=Hinzu kommt der starke Wettbewerb in der Bürocomputer-Branche - IBM legt die Standards fest , und im scharfen Wettbewerb gehen die Preise in den Keller .
3-1	740-745	Hinzu	_	_	
3-2	746-751	kommt	_	_	
3-3	752-755	der	_	_	
3-4	756-762	starke	_	_	
3-5	763-773	Wettbewerb	_	_	
3-6	774-776	in	_	_	
3-7	777-780	der	_	_	
3-8	781-801	Bürocomputer-Branche	_	_	
3-9	802-803	-	_	_	
3-10	804-807	IBM	_	_	
3-11	808-812	legt	_	_	
3-12	813-816	die	_	_	
3-13	817-826	Standards	_	_	
3-14	827-831	fest	_	_	
3-15	832-833	,	_	_	
3-16	834-837	und	_	_	
3-17	838-840	im	_	_	
3-18	841-849	scharfen	_	_	
3-19	850-860	Wettbewerb	_	_	
3-20	861-866	gehen	*->2-1	non-literal-mwe[2]	
3-21	867-870	die	_	_	
3-22	871-877	Preise	_	_	
3-23	878-880	in	*->2-2	*[2]	
3-24	881-884	den	_	_	
3-25	885-891	Keller	*->2-3	*[2]	
3-26	892-893	.	_	_	

#Text=Geh in den Keller , statt Kaffee zu trinken , wenn du dich langweilst , und grab einen Fluchttunnel .
1	_	Geh	*->3-1	literal[3]	
2	_	in	*->3-2	*[3]	
3	_	den	_	_	
4	_	Keller	*->3-3	*[3]	
5	_	,	_	_	
6	_	statt	_	_	
7	_	Kaffee	_	_	
8	_	zu	_	_	
9	_	trinken	_	_	
10	_	,	_	_	
11	_	wenn	_	_	
12	_	du	_	_	
13	_	dich	_	_	
14	_	langweilst	_	_	
15	_	,	_	_	
16	_	und	_	_	
17	_	grab	_	_	
18	_	einen	_	_	
19	_	Fluchttunnel	_	_	
20	_	.	_	_	

