#Text=Der faulige Geruch des Stadtgases hing auch nach dem Abzug des Gasag - Trupps noch einige Zeit in der Luft .
1-1	0-3	Der	_	_	
1-2	4-11	faulige	_	_	
1-3	12-18	Geruch	_	_	
1-4	19-22	des	_	_	
1-5	23-33	Stadtgases	_	_	
1-6	34-38	hing	*->1-1	literal[1]	
1-7	39-43	auch	_	_	
1-8	44-48	nach	_	_	
1-9	49-52	dem	_	_	
1-10	53-58	Abzug	_	_	
1-11	59-62	des	_	_	
1-12	63-68	Gasag	_	_	
1-13	69-70	-	_	_	
1-14	71-77	Trupps	_	_	
1-15	78-82	noch	_	_	
1-16	83-89	einige	_	_	
1-17	90-94	Zeit	_	_	
1-18	95-97	in	*->1-2	*[1]	
1-19	98-101	der	_	_	
1-20	102-106	Luft	*->1-3	*[1]	
1-21	107-108	.	_	_	

#Text=100.000 Mark sind letzte Woche erstmals von der Umweltdeputation bewilligt worden , der Rest hängt in der Luft .
3-1	558-565	100.000	_	_	
3-2	566-570	Mark	_	_	
3-3	571-575	sind	_	_	
3-4	576-582	letzte	_	_	
3-5	583-588	Woche	_	_	
3-6	589-597	erstmals	_	_	
3-7	598-601	von	_	_	
3-8	602-605	der	_	_	
3-9	606-622	Umweltdeputation	_	_	
3-10	623-632	bewilligt	_	_	
3-11	633-639	worden	_	_	
3-12	640-641	,	_	_	
3-13	642-645	der	_	_	
3-14	646-650	Rest	_	_	
3-15	651-656	hängt	*->2-1	non-literal-mwe[2]	
3-16	657-659	in	*->2-2	*[2]	
3-17	660-663	der	_	_	
3-18	664-668	Luft	*->2-3	*[2]	
3-19	669-670	.	_	_	

#Text=" Wir hängen absolut in der Luft .
5-1	793-794	"	_	_	
5-2	795-798	Wir	_	_	
5-3	799-805	hängen	*->3-1	non-literal-mwe[3]	
5-4	806-813	absolut	_	_	
5-5	814-816	in	*->3-2	*[3]	
5-6	817-820	der	_	_	
5-7	821-825	Luft	*->3-3	*[3]	
5-8	826-827	.	_	_	

#Text=Hier ist nicht das Dörfchen Isfiya bei Haifa , wo wir uns in der ersten Reisewoche unter Pinien- und Oleanderduft in den Schlaf wiegten , hier hängt Spannung in der Luft , selbst das noch so ferne Hundegebell wirkt unheimlich in der Stille .
7-1	1548-1552	Hier	_	_	
7-2	1553-1556	ist	_	_	
7-3	1557-1562	nicht	_	_	
7-4	1563-1566	das	_	_	
7-5	1567-1575	Dörfchen	_	_	
7-6	1576-1582	Isfiya	_	_	
7-7	1583-1586	bei	_	_	
7-8	1587-1592	Haifa	_	_	
7-9	1593-1594	,	_	_	
7-10	1595-1597	wo	_	_	
7-11	1598-1601	wir	_	_	
7-12	1602-1605	uns	_	_	
7-13	1606-1608	in	_	_	
7-14	1609-1612	der	_	_	
7-15	1613-1619	ersten	_	_	
7-16	1620-1630	Reisewoche	_	_	
7-17	1631-1636	unter	_	_	
7-18	1637-1644	Pinien-	_	_	
7-19	1645-1648	und	_	_	
7-20	1649-1661	Oleanderduft	_	_	
7-21	1662-1664	in	_	_	
7-22	1665-1668	den	_	_	
7-23	1669-1675	Schlaf	_	_	
7-24	1676-1683	wiegten	_	_	
7-25	1684-1685	,	_	_	
7-26	1686-1690	hier	_	_	
7-27	1691-1696	hängt	*->4-1	non-literal-mwe[4]	
7-28	1697-1705	Spannung	_	_	
7-29	1706-1708	in	*->4-2	*[4]	
7-30	1709-1712	der	_	_	
7-31	1713-1717	Luft	*->4-3	*[4]	
7-32	1718-1719	,	_	_	
7-33	1720-1726	selbst	_	_	
7-34	1727-1730	das	_	_	
7-35	1731-1735	noch	_	_	
7-36	1736-1738	so	_	_	
7-37	1739-1744	ferne	_	_	
7-38	1745-1756	Hundegebell	_	_	
7-39	1757-1762	wirkt	_	_	
7-40	1763-1773	unheimlich	_	_	
7-41	1774-1776	in	_	_	
7-42	1777-1780	der	_	_	
7-43	1781-1787	Stille	_	_	
7-44	1788-1789	.	_	_	

#Text=Berlin ( taz ) - Die umstrittenen acht Tornado-Kampfflugzeuge , die die Bundesrepublik in Zusammenarbeit mit Großbritannien an das Königreich Jordanien liefern wollte , hängen weiterhin in der Luft .
9-1	2191-2197	Berlin	_	_	
9-2	2198-2199	(	_	_	
9-3	2200-2203	taz	_	_	
9-4	2204-2205	)	_	_	
9-5	2206-2207	-	_	_	
9-6	2208-2211	Die	_	_	
9-7	2212-2224	umstrittenen	_	_	
9-8	2225-2229	acht	_	_	
9-9	2230-2252	Tornado-Kampfflugzeuge	_	_	
9-10	2253-2254	,	_	_	
9-11	2255-2258	die	_	_	
9-12	2259-2262	die	_	_	
9-13	2263-2277	Bundesrepublik	_	_	
9-14	2278-2280	in	_	_	
9-15	2281-2295	Zusammenarbeit	_	_	
9-16	2296-2299	mit	_	_	
9-17	2300-2314	Großbritannien	_	_	
9-18	2315-2317	an	_	_	
9-19	2318-2321	das	_	_	
9-20	2322-2332	Königreich	_	_	
9-21	2333-2342	Jordanien	_	_	
9-22	2343-2350	liefern	_	_	
9-23	2351-2357	wollte	_	_	
9-24	2358-2359	,	_	_	
9-25	2360-2366	hängen	*->5-1	non-literal-mwe[5]	
9-26	2367-2376	weiterhin	_	_	
9-27	2377-2379	in	*->5-2	*[5]	
9-28	2380-2383	der	_	_	
9-29	2384-2388	Luft	*->5-3	*[5]	
9-30	2389-2390	.	_	_	

#Text=Dennoch hing ein großes Fragezeichen in der Luft .
11-1	2591-2598	Dennoch	_	_	
11-2	2599-2603	hing	*->6-1	non-literal-mwe[6]	
11-3	2604-2607	ein	_	_	
11-4	2608-2614	großes	_	_	
11-5	2615-2627	Fragezeichen	_	_	
11-6	2628-2630	in	*->6-2	*[6]	
11-7	2631-2634	der	_	_	
11-8	2635-2639	Luft	*->6-3	*[6]	
11-9	2640-2641	.	_	_	

#Text=Aus allem , auch aus den Fehlern , ist viel zu lernen , und eine sich neu entwickelnde revolutionäre Bewegung braucht ein Bewußtsein davon , sonst hängt sie geschichtslos , bodenlos in der Luft .
13-1	3269-3272	Aus	_	_	
13-2	3273-3278	allem	_	_	
13-3	3279-3280	,	_	_	
13-4	3281-3285	auch	_	_	
13-5	3286-3289	aus	_	_	
13-6	3290-3293	den	_	_	
13-7	3294-3301	Fehlern	_	_	
13-8	3302-3303	,	_	_	
13-9	3304-3307	ist	_	_	
13-10	3308-3312	viel	_	_	
13-11	3313-3315	zu	_	_	
13-12	3316-3322	lernen	_	_	
13-13	3323-3324	,	_	_	
13-14	3325-3328	und	_	_	
13-15	3329-3333	eine	_	_	
13-16	3334-3338	sich	_	_	
13-17	3339-3342	neu	_	_	
13-18	3343-3355	entwickelnde	_	_	
13-19	3356-3369	revolutionäre	_	_	
13-20	3370-3378	Bewegung	_	_	
13-21	3379-3386	braucht	_	_	
13-22	3387-3390	ein	_	_	
13-23	3391-3401	Bewußtsein	_	_	
13-24	3402-3407	davon	_	_	
13-25	3408-3409	,	_	_	
13-26	3410-3415	sonst	_	_	
13-27	3416-3421	hängt	*->7-1	non-literal-mwe[7]	
13-28	3422-3425	sie	_	_	
13-29	3426-3439	geschichtslos	_	_	
13-30	3440-3441	,	_	_	
13-31	3442-3450	bodenlos	_	_	
13-32	3451-3453	in	*->7-2	*[7]	
13-33	3454-3457	der	_	_	
13-34	3458-3462	Luft	*->7-3	*[7]	
13-35	3463-3464	.	_	_	

#Text=Sätze , die nicht allzu ernst zu nehmen sind , für einen Augenblick aber ganz gut in der Luft hängen .
15-1	4147-4152	Sätze	_	_	
15-2	4153-4154	,	_	_	
15-3	4155-4158	die	_	_	
15-4	4159-4164	nicht	_	_	
15-5	4165-4170	allzu	_	_	
15-6	4171-4176	ernst	_	_	
15-7	4177-4179	zu	_	_	
15-8	4180-4186	nehmen	_	_	
15-9	4187-4191	sind	_	_	
15-10	4192-4193	,	_	_	
15-11	4194-4197	für	_	_	
15-12	4198-4203	einen	_	_	
15-13	4204-4214	Augenblick	_	_	
15-14	4215-4219	aber	_	_	
15-15	4220-4224	ganz	_	_	
15-16	4225-4228	gut	_	_	
15-17	4229-4231	in	*->8-1	non-literal-mwe[8]	
15-18	4232-4235	der	_	_	
15-19	4236-4240	Luft	*->8-2	*[8]	
15-20	4241-4247	hängen	*->8-3	*[8]	
15-21	4248-4249	.	_	_	

#Text=Wir sind an diesem Samstagnachmittag - warm ist es und eine Ahnung von Gewitter hängt in der Luft - von seiner Wohnung auf dem hellen Asphaltband gelaufen , bis sich die Landschaft auf beiden Seiten einstülpt wie ein riesiger Flaschenhals und nur noch die Straße übrigbleibt und die Mauer auf beiden Seiten .
17-1	5060-5063	Wir	_	_	
17-2	5064-5068	sind	_	_	
17-3	5069-5071	an	_	_	
17-4	5072-5078	diesem	_	_	
17-5	5079-5096	Samstagnachmittag	_	_	
17-6	5097-5098	-	_	_	
17-7	5099-5103	warm	_	_	
17-8	5104-5107	ist	_	_	
17-9	5108-5110	es	_	_	
17-10	5111-5114	und	_	_	
17-11	5115-5119	eine	_	_	
17-12	5120-5126	Ahnung	_	_	
17-13	5127-5130	von	_	_	
17-14	5131-5139	Gewitter	_	_	
17-15	5140-5145	hängt	*->9-1	non-literal-mwe[9]	
17-16	5146-5148	in	*->9-2	*[9]	
17-17	5149-5152	der	_	_	
17-18	5153-5157	Luft	*->9-3	*[9]	
17-19	5158-5159	-	_	_	
17-20	5160-5163	von	_	_	
17-21	5164-5170	seiner	_	_	
17-22	5171-5178	Wohnung	_	_	
17-23	5179-5182	auf	_	_	
17-24	5183-5186	dem	_	_	
17-25	5187-5193	hellen	_	_	
17-26	5194-5205	Asphaltband	_	_	
17-27	5206-5214	gelaufen	_	_	
17-28	5215-5216	,	_	_	
17-29	5217-5220	bis	_	_	
17-30	5221-5225	sich	_	_	
17-31	5226-5229	die	_	_	
17-32	5230-5240	Landschaft	_	_	
17-33	5241-5244	auf	_	_	
17-34	5245-5251	beiden	_	_	
17-35	5252-5258	Seiten	_	_	
17-36	5259-5268	einstülpt	_	_	
17-37	5269-5272	wie	_	_	
17-38	5273-5276	ein	_	_	
17-39	5277-5285	riesiger	_	_	
17-40	5286-5298	Flaschenhals	_	_	
17-41	5299-5302	und	_	_	
17-42	5303-5306	nur	_	_	
17-43	5307-5311	noch	_	_	
17-44	5312-5315	die	_	_	
17-45	5316-5322	Straße	_	_	
17-46	5323-5334	übrigbleibt	_	_	
17-47	5335-5338	und	_	_	
17-48	5339-5342	die	_	_	
17-49	5343-5348	Mauer	_	_	
17-50	5349-5352	auf	_	_	
17-51	5353-5359	beiden	_	_	
17-52	5360-5366	Seiten	_	_	
17-53	5367-5368	.	_	_	

#Text=Bis der Bebauungsplan beschlossen sein wird , hängt die Zukunft der Maison weiter in der Luft .
19-1	6057-6060	Bis	_	_	
19-2	6061-6064	der	_	_	
19-3	6065-6078	Bebauungsplan	_	_	
19-4	6079-6090	beschlossen	_	_	
19-5	6091-6095	sein	_	_	
19-6	6096-6100	wird	_	_	
19-7	6101-6102	,	_	_	
19-8	6103-6108	hängt	*->10-1	non-literal-mwe[10]	
19-9	6109-6112	die	_	_	
19-10	6113-6120	Zukunft	_	_	
19-11	6121-6124	der	_	_	
19-12	6125-6131	Maison	_	_	
19-13	6132-6138	weiter	_	_	
19-14	6139-6141	in	*->10-2	*[10]	
19-15	6142-6145	der	_	_	
19-16	6146-6150	Luft	*->10-3	*[10]	
19-17	6151-6152	.	_	_	

#Text=Man sieht die in der Bewegung erstarrten Posen , das Kleid , der BH , das Höschen hängen in der Luft .
21-1	7783-7786	Man	_	_	
21-2	7787-7792	sieht	_	_	
21-3	7793-7796	die	_	_	
21-4	7797-7799	in	_	_	
21-5	7800-7803	der	_	_	
21-6	7804-7812	Bewegung	_	_	
21-7	7813-7823	erstarrten	_	_	
21-8	7824-7829	Posen	_	_	
21-9	7830-7831	,	_	_	
21-10	7832-7835	das	_	_	
21-11	7836-7841	Kleid	_	_	
21-12	7842-7843	,	_	_	
21-13	7844-7847	der	_	_	
21-14	7848-7850	BH	_	_	
21-15	7851-7852	,	_	_	
21-16	7853-7856	das	_	_	
21-17	7857-7864	Höschen	_	_	
21-18	7865-7871	hängen	*->11-1	literal[11]	
21-19	7872-7874	in	*->11-2	*[11]	
21-20	7875-7878	der	_	_	
21-21	7879-7883	Luft	*->11-3	*[11]	
21-22	7884-7885	.	_	_	

#Text=In New York hängt ein tiefes " C " mit beeindruckenden 18,5 Tonnen in der Luft .
23-1	8514-8516	In	_	_	
23-2	8517-8520	New	_	_	
23-3	8521-8525	York	_	_	
23-4	8526-8531	hängt	*->12-1	literal[12]	
23-5	8532-8535	ein	_	_	
23-6	8536-8542	tiefes	_	_	
23-7	8543-8544	"	_	_	
23-8	8545-8546	C	_	_	
23-9	8547-8548	"	_	_	
23-10	8549-8552	mit	_	_	
23-11	8553-8568	beeindruckenden	_	_	
23-12	8569-8573	18,5	_	_	
23-13	8574-8580	Tonnen	_	_	
23-14	8581-8583	in	*->12-2	*[12]	
23-15	8584-8587	der	_	_	
23-16	8588-8592	Luft	*->12-3	*[12]	
23-17	8593-8594	.	_	_	

#Text=Denn so hängt die Debatte in der Luft .
25-1	9255-9259	Denn	_	_	
25-2	9260-9262	so	_	_	
25-3	9263-9268	hängt	*->13-1	non-literal-mwe[13]	
25-4	9269-9272	die	_	_	
25-5	9273-9280	Debatte	_	_	
25-6	9281-9283	in	*->13-2	*[13]	
25-7	9284-9287	der	_	_	
25-8	9288-9292	Luft	*->13-3	*[13]	
25-9	9293-9294	.	_	_	

#Text=Viele Tamilen , die in diesem Glauben , ihren Antrag auf Asyl zurückgezogen haben , hängen jedoch - wie zahlreiche andere Flüchtlinge - seit Monaten buchstäblich in der Luft , weil immer noch völlige Unklarheit über Inhalt und Verbindlichkeit dieser Weisung herrscht .
27-1	9426-9431	Viele	_	_	
27-2	9432-9439	Tamilen	_	_	
27-3	9440-9441	,	_	_	
27-4	9442-9445	die	_	_	
27-5	9446-9448	in	_	_	
27-6	9449-9455	diesem	_	_	
27-7	9456-9463	Glauben	_	_	
27-8	9464-9465	,	_	_	
27-9	9466-9471	ihren	_	_	
27-10	9472-9478	Antrag	_	_	
27-11	9479-9482	auf	_	_	
27-12	9483-9487	Asyl	_	_	
27-13	9488-9501	zurückgezogen	_	_	
27-14	9502-9507	haben	_	_	
27-15	9508-9509	,	_	_	
27-16	9510-9516	hängen	*->14-1	non-literal-mwe[14]	
27-17	9517-9523	jedoch	_	_	
27-18	9524-9525	-	_	_	
27-19	9526-9529	wie	_	_	
27-20	9530-9540	zahlreiche	_	_	
27-21	9541-9547	andere	_	_	
27-22	9548-9559	Flüchtlinge	_	_	
27-23	9560-9561	-	_	_	
27-24	9562-9566	seit	_	_	
27-25	9567-9574	Monaten	_	_	
27-26	9575-9587	buchstäblich	_	_	
27-27	9588-9590	in	*->14-2	*[14]	
27-28	9591-9594	der	_	_	
27-29	9595-9599	Luft	*->14-3	*[14]	
27-30	9600-9601	,	_	_	
27-31	9602-9606	weil	_	_	
27-32	9607-9612	immer	_	_	
27-33	9613-9617	noch	_	_	
27-34	9618-9625	völlige	_	_	
27-35	9626-9636	Unklarheit	_	_	
27-36	9637-9641	über	_	_	
27-37	9642-9648	Inhalt	_	_	
27-38	9649-9652	und	_	_	
27-39	9653-9668	Verbindlichkeit	_	_	
27-40	9669-9675	dieser	_	_	
27-41	9676-9683	Weisung	_	_	
27-42	9684-9692	herrscht	_	_	
27-43	9693-9694	.	_	_	

#Text=Momentan hängt das langfristige Schild der schwebenden Bahn freilich in der Luft .
29-1	10413-10421	Momentan	_	_	
29-2	10422-10427	hängt	*->15-1	non-literal-mwe[15]	
29-3	10428-10431	das	_	_	
29-4	10432-10444	langfristige	_	_	
29-5	10445-10451	Schild	_	_	
29-6	10452-10455	der	_	_	
29-7	10456-10467	schwebenden	_	_	
29-8	10468-10472	Bahn	_	_	
29-9	10473-10481	freilich	_	_	
29-10	10482-10484	in	*->15-2	*[15]	
29-11	10485-10488	der	_	_	
29-12	10489-10493	Luft	*->15-3	*[15]	
29-13	10494-10495	.	_	_	

#Text=Der Ex-Sportreporter und Fußballfan Iden beschreibt den Augenblick seiner Begegnung : " So wie es manchmal , bei hohen , auf eine bestimmte Weise angeschnittenen Flanken , scheinen kann , als hinge der Ball reglos in der Luft über dem Strafraum , es ist der Augenblick der Stürmer , die sich hochschrauben , um ihn in das Tor zu rammen mit der Stirn - so hing der Mond , gleich einem riesigen gelben Fußball über dem schwarzen Wald von Bieber an dem Septemberabend , als wir uns kennenlernten .
31-1	11150-11153	Der	_	_	
31-2	11154-11170	Ex-Sportreporter	_	_	
31-3	11171-11174	und	_	_	
31-4	11175-11185	Fußballfan	_	_	
31-5	11186-11190	Iden	_	_	
31-6	11191-11201	beschreibt	_	_	
31-7	11202-11205	den	_	_	
31-8	11206-11216	Augenblick	_	_	
31-9	11217-11223	seiner	_	_	
31-10	11224-11233	Begegnung	_	_	
31-11	11234-11235	:	_	_	
31-12	11236-11237	"	_	_	
31-13	11238-11240	So	_	_	
31-14	11241-11244	wie	_	_	
31-15	11245-11247	es	_	_	
31-16	11248-11256	manchmal	_	_	
31-17	11257-11258	,	_	_	
31-18	11259-11262	bei	_	_	
31-19	11263-11268	hohen	_	_	
31-20	11269-11270	,	_	_	
31-21	11271-11274	auf	_	_	
31-22	11275-11279	eine	_	_	
31-23	11280-11289	bestimmte	_	_	
31-24	11290-11295	Weise	_	_	
31-25	11296-11311	angeschnittenen	_	_	
31-26	11312-11319	Flanken	_	_	
31-27	11320-11321	,	_	_	
31-28	11322-11330	scheinen	_	_	
31-29	11331-11335	kann	_	_	
31-30	11336-11337	,	_	_	
31-31	11338-11341	als	_	_	
31-32	11342-11347	hinge	*->16-1	literal[16]	
31-33	11348-11351	der	_	_	
31-34	11352-11356	Ball	_	_	
31-35	11357-11363	reglos	_	_	
31-36	11364-11366	in	*->16-2	*[16]	
31-37	11367-11370	der	_	_	
31-38	11371-11375	Luft	*->16-3	*[16]	
31-39	11376-11380	über	_	_	
31-40	11381-11384	dem	_	_	
31-41	11385-11394	Strafraum	_	_	
31-42	11395-11396	,	_	_	
31-43	11397-11399	es	_	_	
31-44	11400-11403	ist	_	_	
31-45	11404-11407	der	_	_	
31-46	11408-11418	Augenblick	_	_	
31-47	11419-11422	der	_	_	
31-48	11423-11430	Stürmer	_	_	
31-49	11431-11432	,	_	_	
31-50	11433-11436	die	_	_	
31-51	11437-11441	sich	_	_	
31-52	11442-11455	hochschrauben	_	_	
31-53	11456-11457	,	_	_	
31-54	11458-11460	um	_	_	
31-55	11461-11464	ihn	_	_	
31-56	11465-11467	in	_	_	
31-57	11468-11471	das	_	_	
31-58	11472-11475	Tor	_	_	
31-59	11476-11478	zu	_	_	
31-60	11479-11485	rammen	_	_	
31-61	11486-11489	mit	_	_	
31-62	11490-11493	der	_	_	
31-63	11494-11499	Stirn	_	_	
31-64	11500-11501	-	_	_	
31-65	11502-11504	so	_	_	
31-66	11505-11509	hing	_	_	
31-67	11510-11513	der	_	_	
31-68	11514-11518	Mond	_	_	
31-69	11519-11520	,	_	_	
31-70	11521-11527	gleich	_	_	
31-71	11528-11533	einem	_	_	
31-72	11534-11542	riesigen	_	_	
31-73	11543-11549	gelben	_	_	
31-74	11550-11557	Fußball	_	_	
31-75	11558-11562	über	_	_	
31-76	11563-11566	dem	_	_	
31-77	11567-11576	schwarzen	_	_	
31-78	11577-11581	Wald	_	_	
31-79	11582-11585	von	_	_	
31-80	11586-11592	Bieber	_	_	
31-81	11593-11595	an	_	_	
31-82	11596-11599	dem	_	_	
31-83	11600-11614	Septemberabend	_	_	
31-84	11615-11616	,	_	_	
31-85	11617-11620	als	_	_	
31-86	11621-11624	wir	_	_	
31-87	11625-11628	uns	_	_	
31-88	11629-11642	kennenlernten	_	_	
31-89	11643-11644	.	_	_	

#Text=Dennoch , der Modernisiererflügel der Union hängt in der Luft .
33-1	13018-13025	Dennoch	_	_	
33-2	13026-13027	,	_	_	
33-3	13028-13031	der	_	_	
33-4	13032-13051	Modernisiererflügel	_	_	
33-5	13052-13055	der	_	_	
33-6	13056-13061	Union	_	_	
33-7	13062-13067	hängt	*->17-1	non-literal-mwe[17]	
33-8	13068-13070	in	*->17-2	*[17]	
33-9	13071-13074	der	_	_	
33-10	13075-13079	Luft	*->17-3	*[17]	
33-11	13080-13081	.	_	_	

#Text=Flüchtlinge aus Abschiebestoppländern , die laut ursprünglicher Weisung ebenfalls eine Aufenthaltserlaubnis bekommen müßten , hängen zur Zeit buchstäblich in der Luft .
35-1	15077-15088	Flüchtlinge	_	_	
35-2	15089-15092	aus	_	_	
35-3	15093-15114	Abschiebestoppländern	_	_	
35-4	15115-15116	,	_	_	
35-5	15117-15120	die	_	_	
35-6	15121-15125	laut	_	_	
35-7	15126-15140	ursprünglicher	_	_	
35-8	15141-15148	Weisung	_	_	
35-9	15149-15158	ebenfalls	_	_	
35-10	15159-15163	eine	_	_	
35-11	15164-15184	Aufenthaltserlaubnis	_	_	
35-12	15185-15193	bekommen	_	_	
35-13	15194-15200	müßten	_	_	
35-14	15201-15202	,	_	_	
35-15	15203-15209	hängen	*->18-1	non-literal-mwe[18]	
35-16	15210-15213	zur	_	_	
35-17	15214-15218	Zeit	_	_	
35-18	15219-15231	buchstäblich	_	_	
35-19	15232-15234	in	*->18-2	*[18]	
35-20	15235-15238	der	_	_	
35-21	15239-15243	Luft	*->18-3	*[18]	
35-22	15244-15245	.	_	_	

#Text=Seit einigen Tagen wußte sie , daß da eine Krise in der Luft hängt .
37-1	15987-15991	Seit	_	_	
37-2	15992-15999	einigen	_	_	
37-3	16000-16005	Tagen	_	_	
37-4	16006-16011	wußte	_	_	
37-5	16012-16015	sie	_	_	
37-6	16016-16017	,	_	_	
37-7	16018-16021	daß	_	_	
37-8	16022-16024	da	_	_	
37-9	16025-16029	eine	_	_	
37-10	16030-16035	Krise	_	_	
37-11	16036-16038	in	*->19-1	non-literal-mwe[19]	
37-12	16039-16042	der	_	_	
37-13	16043-16047	Luft	*->19-2	*[19]	
