#Text=Voscheraus Politik treten Michael Sachs , Heinz Liebrecht und Ina Rosemann aus dem Vorstand des Vereins Hafenstraße zurück / Runde läßt seine Staatsrätin im Regen stehen
1-1	0-10	Voscheraus	_	_	
1-2	11-18	Politik	_	_	
1-3	19-25	treten	_	_	
1-4	26-33	Michael	_	_	
1-5	34-39	Sachs	_	_	
1-6	40-41	,	_	_	
1-7	42-47	Heinz	_	_	
1-8	48-57	Liebrecht	_	_	
1-9	58-61	und	_	_	
1-10	62-65	Ina	_	_	
1-11	66-74	Rosemann	_	_	
1-12	75-78	aus	_	_	
1-13	79-82	dem	_	_	
1-14	83-91	Vorstand	_	_	
1-15	92-95	des	_	_	
1-16	96-103	Vereins	_	_	
1-17	104-115	Hafenstraße	_	_	
1-18	116-122	zurück	_	_	
1-19	123-124	/	_	_	
1-20	125-130	Runde	_	_	
1-21	131-135	läßt	_	_	
1-22	136-141	seine	_	_	
1-23	142-153	Staatsrätin	_	_	
1-24	154-156	im	*->1-1	non-literal-mwe[1]	
1-25	157-162	Regen	*->1-2	*[1]	
1-26	163-169	stehen	*->1-3	*[1]	

#Text=Der 76jährige Manager fühlt sich verarscht : Über Jahrzehnte hinweg hätten Politiker aus CDU und FDP ihn und andere Wirtschaftsbosse bedrängt , Gelder locker zu machen , ärgert sich Merkle , und nun lasse man die früheren Geldgeber im Regen stehen .
3-1	345-348	Der	_	_	
3-2	349-358	76jährige	_	_	
3-3	359-366	Manager	_	_	
3-4	367-372	fühlt	_	_	
3-5	373-377	sich	_	_	
3-6	378-387	verarscht	_	_	
3-7	388-389	:	_	_	
3-8	390-394	Über	_	_	
3-9	395-405	Jahrzehnte	_	_	
3-10	406-412	hinweg	_	_	
3-11	413-419	hätten	_	_	
3-12	420-429	Politiker	_	_	
3-13	430-433	aus	_	_	
3-14	434-437	CDU	_	_	
3-15	438-441	und	_	_	
3-16	442-445	FDP	_	_	
3-17	446-449	ihn	_	_	
3-18	450-453	und	_	_	
3-19	454-460	andere	_	_	
3-20	461-477	Wirtschaftsbosse	_	_	
3-21	478-486	bedrängt	_	_	
3-22	487-488	,	_	_	
3-23	489-495	Gelder	_	_	
3-24	496-502	locker	_	_	
3-25	503-505	zu	_	_	
3-26	506-512	machen	_	_	
3-27	513-514	,	_	_	
3-28	515-521	ärgert	_	_	
3-29	522-526	sich	_	_	
3-30	527-533	Merkle	_	_	
3-31	534-535	,	_	_	
3-32	536-539	und	_	_	
3-33	540-543	nun	_	_	
3-34	544-549	lasse	_	_	
3-35	550-553	man	_	_	
3-36	554-557	die	_	_	
3-37	558-566	früheren	_	_	
3-38	567-576	Geldgeber	_	_	
3-39	577-579	im	*->2-1	non-literal-mwe[2]	
3-40	580-585	Regen	*->2-2	*[2]	
3-41	586-592	stehen	*->2-3	*[2]	
3-42	593-594	.	_	_	

#Text=Schließlich sollte der Pfälzer nicht im Bremer Regen stehen .
5-1	1089-1100	Schließlich	_	_	
5-2	1101-1107	sollte	_	_	
5-3	1108-1111	der	_	_	
5-4	1112-1119	Pfälzer	_	_	
5-5	1120-1125	nicht	_	_	
5-6	1126-1128	im	*->3-1	literal[3]	
5-7	1129-1135	Bremer	_	_	
5-8	1136-1141	Regen	*->3-2	*[3]	
5-9	1142-1148	stehen	*->3-3	*[3]	
5-10	1149-1150	.	_	_	

#Text=Natürlich lasse ich meine Gäste nicht im Regen stehen .
7-1	1458-1467	Natürlich	_	_	
7-2	1468-1473	lasse	_	_	
7-3	1474-1477	ich	_	_	
7-4	1478-1483	meine	_	_	
7-5	1484-1489	Gäste	_	_	
7-6	1490-1495	nicht	_	_	
7-7	1496-1498	im	*->4-1	literal[4]	
7-8	1499-1504	Regen	*->4-2	*[4]	
7-9	1505-1511	stehen	*->4-3	*[4]	
7-10	1512-1513	.	_	_	

#Text=Und für die CSSR läge es in ihrem ureigensten Interesse , bei den daraus zu ziehenden Konsequenzen die DDR nicht im Regen stehen zu lassen .
9-1	2695-2698	Und	_	_	
9-2	2699-2702	für	_	_	
9-3	2703-2706	die	_	_	
9-4	2707-2711	CSSR	_	_	
9-5	2712-2716	läge	_	_	
9-6	2717-2719	es	_	_	
9-7	2720-2722	in	_	_	
9-8	2723-2728	ihrem	_	_	
9-9	2729-2740	ureigensten	_	_	
9-10	2741-2750	Interesse	_	_	
9-11	2751-2752	,	_	_	
9-12	2753-2756	bei	_	_	
9-13	2757-2760	den	_	_	
9-14	2761-2767	daraus	_	_	
9-15	2768-2770	zu	_	_	
9-16	2771-2780	ziehenden	_	_	
9-17	2781-2793	Konsequenzen	_	_	
9-18	2794-2797	die	_	_	
9-19	2798-2801	DDR	_	_	
9-20	2802-2807	nicht	_	_	
9-21	2808-2810	im	*->5-1	non-literal-mwe[5]	
9-22	2811-2816	Regen	*->5-2	*[5]	
9-23	2817-2823	stehen	*->5-3	*[5]	
9-24	2824-2826	zu	_	_	
9-25	2827-2833	lassen	_	_	
9-26	2834-2835	.	_	_	

#Text=" Jungs , laßt uns nicht im Regen stehen .
11-1	3713-3714	"	_	_	
11-2	3715-3720	Jungs	_	_	
11-3	3721-3722	,	_	_	
11-4	3723-3727	laßt	_	_	
11-5	3728-3731	uns	_	_	
11-6	3732-3737	nicht	_	_	
11-7	3738-3740	im	*->6-1	non-literal-mwe[6]	
11-8	3741-3746	Regen	*->6-2	*[6]	
11-9	3747-3753	stehen	*->6-3	*[6]	
11-10	3754-3755	.	_	_	

#Text=Das Drehbuch hat sie nun mal vorgesehen , und der Kameramann tut auch sein bestes , um das Paar in einem illuminierten Kinderkarussell beim ersten Kuß zu filmen ; er macht das durchaus unkitschig , aber wenn eine Inszenierung erzählerisch so unentwickelt ist wie diese , bleibt auch eine Liebesgeschichte im Regen stehen .
13-1	4141-4144	Das	_	_	
13-2	4145-4153	Drehbuch	_	_	
13-3	4154-4157	hat	_	_	
13-4	4158-4161	sie	_	_	
13-5	4162-4165	nun	_	_	
13-6	4166-4169	mal	_	_	
13-7	4170-4180	vorgesehen	_	_	
13-8	4181-4182	,	_	_	
13-9	4183-4186	und	_	_	
13-10	4187-4190	der	_	_	
13-11	4191-4201	Kameramann	_	_	
13-12	4202-4205	tut	_	_	
13-13	4206-4210	auch	_	_	
13-14	4211-4215	sein	_	_	
13-15	4216-4222	bestes	_	_	
13-16	4223-4224	,	_	_	
13-17	4225-4227	um	_	_	
13-18	4228-4231	das	_	_	
13-19	4232-4236	Paar	_	_	
13-20	4237-4239	in	_	_	
13-21	4240-4245	einem	_	_	
13-22	4246-4259	illuminierten	_	_	
13-23	4260-4275	Kinderkarussell	_	_	
13-24	4276-4280	beim	_	_	
13-25	4281-4287	ersten	_	_	
13-26	4288-4291	Kuß	_	_	
13-27	4292-4294	zu	_	_	
13-28	4295-4301	filmen	_	_	
13-29	4302-4303	;	_	_	
13-30	4304-4306	er	_	_	
13-31	4307-4312	macht	_	_	
13-32	4313-4316	das	_	_	
13-33	4317-4325	durchaus	_	_	
13-34	4326-4336	unkitschig	_	_	
13-35	4337-4338	,	_	_	
13-36	4339-4343	aber	_	_	
13-37	4344-4348	wenn	_	_	
13-38	4349-4353	eine	_	_	
13-39	4354-4366	Inszenierung	_	_	
13-40	4367-4379	erzählerisch	_	_	
13-41	4380-4382	so	_	_	
13-42	4383-4395	unentwickelt	_	_	
13-43	4396-4399	ist	_	_	
13-44	4400-4403	wie	_	_	
13-45	4404-4409	diese	_	_	
13-46	4410-4411	,	_	_	
13-47	4412-4418	bleibt	_	_	
13-48	4419-4423	auch	_	_	
13-49	4424-4428	eine	_	_	
13-50	4429-4445	Liebesgeschichte	_	_	
13-51	4446-4448	im	*->7-1	non-literal-mwe[7]	
13-52	4449-4454	Regen	*->7-2	*[7]	
13-53	4455-4461	stehen	*->7-3	*[7]	
13-54	4462-4463	.	_	_	

