#Text=Die Sowjets , unter ihnen so prominente Wortführer der Reform wie Jewgenij Ambarzumow und Anatolj Butenko , ließen sich durch solche Einwände nicht davon abbringen , für die Erneuerung ihres in die Sackgasse geratenen Systems radikale Schritte ins Auge zu fassen .
1-1	0-3	Die	_	_	
1-2	4-11	Sowjets	_	_	
1-3	12-13	,	_	_	
1-4	14-19	unter	_	_	
1-5	20-25	ihnen	_	_	
1-6	26-28	so	_	_	
1-7	29-39	prominente	_	_	
1-8	40-50	Wortführer	_	_	
1-9	51-54	der	_	_	
1-10	55-61	Reform	_	_	
1-11	62-65	wie	_	_	
1-12	66-74	Jewgenij	_	_	
1-13	75-85	Ambarzumow	_	_	
1-14	86-89	und	_	_	
1-15	90-97	Anatolj	_	_	
1-16	98-105	Butenko	_	_	
1-17	106-107	,	_	_	
1-18	108-114	ließen	_	_	
1-19	115-119	sich	_	_	
1-20	120-125	durch	_	_	
1-21	126-132	solche	_	_	
1-22	133-141	Einwände	_	_	
1-23	142-147	nicht	_	_	
1-24	148-153	davon	_	_	
1-25	154-163	abbringen	_	_	
1-26	164-165	,	_	_	
1-27	166-169	für	_	_	
1-28	170-173	die	_	_	
1-29	174-184	Erneuerung	_	_	
1-30	185-190	ihres	_	_	
1-31	191-193	in	*->1-1	non-literal-mwe[1]	
1-32	194-197	die	_	_	
1-33	198-207	Sackgasse	*->1-2	*[1]	
1-34	208-217	geratenen	*->1-3	*[1]	
1-35	218-225	Systems	_	_	
1-36	226-234	radikale	_	_	
1-37	235-243	Schritte	_	_	
1-38	244-247	ins	_	_	
1-39	248-252	Auge	_	_	
1-40	253-255	zu	_	_	
1-41	256-262	fassen	_	_	
1-42	263-264	.	_	_	

#Text=Casablanca ( afp ) - Die seit Dienstag in Casablanca tagende Konferenz der Arabischen Liga ist bei der Suche nach einem Kompromiß im Libanon-Konflikt am Donnerstag in eine Sackgasse geraten .
3-1	863-873	Casablanca	_	_	
3-2	874-875	(	_	_	
3-3	876-879	afp	_	_	
3-4	880-881	)	_	_	
3-5	882-883	-	_	_	
3-6	884-887	Die	_	_	
3-7	888-892	seit	_	_	
3-8	893-901	Dienstag	_	_	
3-9	902-904	in	_	_	
3-10	905-915	Casablanca	_	_	
3-11	916-923	tagende	_	_	
3-12	924-933	Konferenz	_	_	
3-13	934-937	der	_	_	
3-14	938-948	Arabischen	_	_	
3-15	949-953	Liga	_	_	
3-16	954-957	ist	_	_	
3-17	958-961	bei	_	_	
3-18	962-965	der	_	_	
3-19	966-971	Suche	_	_	
