#Text=Denn die Konferenz für Sicherheit und Zusammenarbeit in Europa , beim Pariser Gipfel noch von Euphorie getragen , steht jetzt im Schatten der Nato .
1-1	0-4	Denn	_	_	
1-2	5-8	die	_	_	
1-3	9-18	Konferenz	_	_	
1-4	19-22	für	_	_	
1-5	23-33	Sicherheit	_	_	
1-6	34-37	und	_	_	
1-7	38-52	Zusammenarbeit	_	_	
1-8	53-55	in	_	_	
1-9	56-62	Europa	_	_	
1-10	63-64	,	_	_	
1-11	65-69	beim	_	_	
1-12	70-77	Pariser	_	_	
1-13	78-84	Gipfel	_	_	
1-14	85-89	noch	_	_	
1-15	90-93	von	_	_	
1-16	94-102	Euphorie	_	_	
1-17	103-111	getragen	_	_	
1-18	112-113	,	_	_	
1-19	114-119	steht	*->1-1	non-literal-mwe[1]	
1-20	120-125	jetzt	_	_	
1-21	126-128	im	*->1-2	*[1]	
1-22	129-137	Schatten	*->1-3	*[1]	
1-23	138-141	der	_	_	
1-24	142-146	Nato	_	_	
1-25	147-148	.	_	_	

#Text=In der touristischen Bekanntheitsskala steht die Marken weit im Schatten des benachbarten Umbrien oder der Toskana .
3-1	501-503	In	_	_	
3-2	504-507	der	_	_	
3-3	508-521	touristischen	_	_	
3-4	522-539	Bekanntheitsskala	_	_	
3-5	540-545	steht	*->2-1	non-literal-mwe[2]	
3-6	546-549	die	_	_	
3-7	550-556	Marken	_	_	
3-8	557-561	weit	_	_	
3-9	562-564	im	*->2-2	*[2]	
3-10	565-573	Schatten	*->2-3	*[2]	
3-11	574-577	des	_	_	
3-12	578-590	benachbarten	_	_	
3-13	591-598	Umbrien	_	_	
3-14	599-603	oder	_	_	
3-15	604-607	der	_	_	
3-16	608-615	Toskana	_	_	
3-17	616-617	.	_	_	

#Text=Und dort im Schatten der Laterne stand er , den Pinsel mit dunkler Farbe noch in der Hand , das schwarze Lederjöppchen über dem eher schmalen Rücken .
5-1	1616-1619	Und	_	_	
5-2	1620-1624	dort	_	_	
5-3	1625-1627	im	*->3-1	literal[3]	
5-4	1628-1636	Schatten	*->3-2	*[3]	
5-5	1637-1640	der	_	_	
5-6	1641-1648	Laterne	_	_	
5-7	1649-1654	stand	*->3-3	*[3]	
5-8	1655-1657	er	_	_	
5-9	1658-1659	,	_	_	
5-10	1660-1663	den	_	_	
5-11	1664-1670	Pinsel	_	_	
5-12	1671-1674	mit	_	_	
5-13	1675-1682	dunkler	_	_	
5-14	1683-1688	Farbe	_	_	
5-15	1689-1693	noch	_	_	
5-16	1694-1696	in	_	_	
5-17	1697-1700	der	_	_	
5-18	1701-1705	Hand	_	_	
5-19	1706-1707	,	_	_	
5-20	1708-1711	das	_	_	
5-21	1712-1720	schwarze	_	_	
5-22	1721-1734	Lederjöppchen	_	_	
5-23	1735-1739	über	_	_	
5-24	1740-1743	dem	_	_	
5-25	1744-1748	eher	_	_	
5-26	1749-1757	schmalen	_	_	
5-27	1758-1764	Rücken	_	_	
5-28	1765-1766	.	_	_	

#Text=Alle konsumnahen und technischen Bereiche liegen auf der Sonnenseite , während die Vorstufen im Schatten stehen , sagte Wolf Dieter Kruse , Präsident von Gesamttextil , am Montag in Frankfurt .
7-1	2026-2030	Alle	_	_	
7-2	2031-2042	konsumnahen	_	_	
7-3	2043-2046	und	_	_	
7-4	2047-2058	technischen	_	_	
7-5	2059-2067	Bereiche	_	_	
7-6	2068-2074	liegen	_	_	
7-7	2075-2078	auf	_	_	
7-8	2079-2082	der	_	_	
7-9	2083-2094	Sonnenseite	_	_	
7-10	2095-2096	,	_	_	
7-11	2097-2104	während	_	_	
7-12	2105-2108	die	_	_	
7-13	2109-2118	Vorstufen	_	_	
7-14	2119-2121	im	*->4-1	non-literal-mwe[4]	
7-15	2122-2130	Schatten	*->4-2	*[4]	
7-16	2131-2137	stehen	*->4-3	*[4]	
7-17	2138-2139	,	_	_	
7-18	2140-2145	sagte	_	_	
7-19	2146-2150	Wolf	_	_	
7-20	2151-2157	Dieter	_	_	
7-21	2158-2163	Kruse	_	_	
7-22	2164-2165	,	_	_	
7-23	2166-2175	Präsident	_	_	
7-24	2176-2179	von	_	_	
7-25	2180-2192	Gesamttextil	_	_	
7-26	2193-2194	,	_	_	
7-27	2195-2197	am	_	_	
7-28	2198-2204	Montag	_	_	
7-29	2205-2207	in	_	_	
7-30	2208-2217	Frankfurt	_	_	
7-31	2218-2219	.	_	_	

#Text=Wieso denn nicht den Firmen jetzt das Ruder geben , die von vornherein keine oder nur wenig Rüstungsgüter produziert haben , ihnen den Lohn dafür geben , daß sie sich nicht in das schmutzige Geschäft gehängt haben und dafür , daß sie jahre- , jahrzehntelang im Schatten der Rüstungsgiganten standen ?
9-1	2811-2816	Wieso	_	_	
9-2	2817-2821	denn	_	_	
9-3	2822-2827	nicht	_	_	
9-4	2828-2831	den	_	_	
9-5	2832-2838	Firmen	_	_	
9-6	2839-2844	jetzt	_	_	
9-7	2845-2848	das	_	_	
9-8	2849-2854	Ruder	*->61-1	non-literal[61]	
9-9	2855-2860	geben	*->61-2	non-literal[61]	
9-10	2861-2862	,	_	_	
9-11	2863-2866	die	_	_	
9-12	2867-2870	von	_	_	
9-13	2871-2881	vornherein	_	_	
9-14	2882-2887	keine	_	_	
9-15	2888-2892	oder	_	_	
9-16	2893-2896	nur	_	_	
9-17	2897-2902	wenig	_	_	
9-18	2903-2916	Rüstungsgüter	_	_	
9-19	2917-2927	produziert	_	_	
9-20	2928-2933	haben	_	_	
9-21	2934-2935	,	_	_	
9-22	2936-2941	ihnen	_	_	
9-23	2942-2945	den	_	_	
9-24	2946-2950	Lohn	_	_	
9-25	2951-2956	dafür	_	_	
9-26	2957-2962	geben	_	_	
9-27	2963-2964	,	_	_	
9-28	2965-2968	daß	_	_	
9-29	2969-2972	sie	_	_	
9-30	2973-2977	sich	_	_	
9-31	2978-2983	nicht	_	_	
9-32	2984-2986	in	_	_	
9-33	2987-2990	das	_	_	
9-34	2991-3001	schmutzige	_	_	
