#Text=Und die Schiffe tuteten und die Feuerlöschboote spritzten ihre Fontänen und die Fallschirmspringer taten es ihnen nach , wenn sie statt auf die Pontons in der Elbe ins Wasser fielen .
1-1	0-3	Und	_	_	
1-2	4-7	die	_	_	
1-3	8-15	Schiffe	_	_	
1-4	16-23	tuteten	_	_	
1-5	24-27	und	_	_	
1-6	28-31	die	_	_	
1-7	32-47	Feuerlöschboote	_	_	
1-8	48-57	spritzten	_	_	
1-9	58-62	ihre	_	_	
1-10	63-71	Fontänen	_	_	
1-11	72-75	und	_	_	
1-12	76-79	die	_	_	
1-13	80-98	Fallschirmspringer	_	_	
1-14	99-104	taten	_	_	
1-15	105-107	es	_	_	
1-16	108-113	ihnen	_	_	
1-17	114-118	nach	_	_	
1-18	119-120	,	_	_	
1-19	121-125	wenn	_	_	
1-20	126-129	sie	_	_	
1-21	130-135	statt	_	_	
1-22	136-139	auf	_	_	
1-23	140-143	die	_	_	
1-24	144-151	Pontons	_	_	
1-25	152-154	in	_	_	
1-26	155-158	der	_	_	
1-27	159-163	Elbe	_	_	
1-28	164-167	ins	*->1-1	literal[1]	
1-29	168-174	Wasser	*->1-2	*[1]	
1-30	175-181	fielen	*->1-3	*[1]	
1-31	182-183	.	_	_	

#Text=In München fiel der Anti-WAA-Jubel ins Wasser
3-1	903-905	In	_	_	
3-2	906-913	München	_	_	
3-3	914-918	fiel	*->2-1	non-literal-mwe[2]	
3-4	919-922	der	_	_	
3-5	923-937	Anti-WAA-Jubel	_	_	
3-6	938-941	ins	*->2-2	*[2]	
3-7	942-948	Wasser	*->2-3	*[2]	

#Text=Redebeiträge des BUND-Vorsitzenden Hubert Weinzierl und eines Bruders des israelischen Atomspions Meir Vanunu fallen ebenso ins Wasser wie der im Vorfeld der Demonstration heftig umstrittene Beitrag von Ingrid Strobl .
5-1	995-1007	Redebeiträge	_	_	
5-2	1008-1011	des	_	_	
5-3	1012-1029	BUND-Vorsitzenden	_	_	
5-4	1030-1036	Hubert	_	_	
5-5	1037-1046	Weinzierl	_	_	
5-6	1047-1050	und	_	_	
5-7	1051-1056	eines	_	_	
5-8	1057-1064	Bruders	_	_	
5-9	1065-1068	des	_	_	
5-10	1069-1081	israelischen	_	_	
5-11	1082-1092	Atomspions	_	_	
5-12	1093-1097	Meir	_	_	
5-13	1098-1104	Vanunu	_	_	
5-14	1105-1111	fallen	*->3-1	non-literal-mwe[3]	
5-15	1112-1118	ebenso	_	_	
5-16	1119-1122	ins	*->3-2	*[3]	
5-17	1123-1129	Wasser	*->3-3	*[3]	
5-18	1130-1133	wie	_	_	
5-19	1134-1137	der	_	_	
5-20	1138-1140	im	_	_	
5-21	1141-1148	Vorfeld	_	_	
5-22	1149-1152	der	_	_	
5-23	1153-1166	Demonstration	_	_	
5-24	1167-1173	heftig	_	_	
5-25	1174-1185	umstrittene	_	_	
5-26	1186-1193	Beitrag	_	_	
5-27	1194-1197	von	_	_	
5-28	1198-1204	Ingrid	_	_	
5-29	1205-1211	Strobl	_	_	
5-30	1212-1213	.	_	_	

#Text=Doch die freudig vorgefeierte Premiere des Olympiastadions , seit Wochen als wettbewerbsreif gepriesen , fällt nicht nur wegen des nach unten ausschlagenden Barometers buchstäblich ins Wasser .
7-1	2654-2658	Doch	_	_	
7-2	2659-2662	die	_	_	
7-3	2663-2670	freudig	_	_	
7-4	2671-2683	vorgefeierte	_	_	
7-5	2684-2692	Premiere	_	_	
7-6	2693-2696	des	_	_	
7-7	2697-2712	Olympiastadions	_	_	
7-8	2713-2714	,	_	_	
7-9	2715-2719	seit	_	_	
7-10	2720-2726	Wochen	_	_	
7-11	2727-2730	als	_	_	
7-12	2731-2746	wettbewerbsreif	_	_	
7-13	2747-2756	gepriesen	_	_	
7-14	2757-2758	,	_	_	
7-15	2759-2764	fällt	*->4-1	both-mwe[4]	
7-16	2765-2770	nicht	_	_	
7-17	2771-2774	nur	_	_	
7-18	2775-2780	wegen	_	_	
7-19	2781-2784	des	_	_	
7-20	2785-2789	nach	_	_	
7-21	2790-2795	unten	_	_	
7-22	2796-2810	ausschlagenden	_	_	
7-23	2811-2821	Barometers	_	_	
7-24	2822-2834	buchstäblich	_	_	
7-25	2835-2838	ins	*->4-2	*[4]	
7-26	2839-2845	Wasser	*->4-3	*[4]	
7-27	2846-2847	.	_	_	

#Text=" Der Kopf fällt ins Wasser , und die Tiere ertrinken " , sagte Wollenzien , " an Land ersticken sie .
9-1	3447-3448	"	_	_	
9-2	3449-3452	Der	_	_	
9-3	3453-3457	Kopf	_	_	
9-4	3458-3463	fällt	*->5-1	literal[5]	
9-5	3464-3467	ins	*->5-2	*[5]	
9-6	3468-3474	Wasser	*->5-3	*[5]	
9-7	3475-3476	,	_	_	
9-8	3477-3480	und	_	_	
9-9	3481-3484	die	_	_	
9-10	3485-3490	Tiere	_	_	
9-11	3491-3500	ertrinken	_	_	
9-12	3501-3502	"	_	_	
9-13	3503-3504	,	_	_	
9-14	3505-3510	sagte	_	_	
9-15	3511-3521	Wollenzien	_	_	
9-16	3522-3523	,	_	_	
9-17	3524-3525	"	_	_	
9-18	3526-3528	an	_	_	
9-19	3529-3533	Land	_	_	
9-20	3534-3543	ersticken	_	_	
9-21	3544-3547	sie	_	_	
9-22	3548-3549	.	_	_	

#Text=Frankfurt ( taz ) - Weitgehend ins Wasser fiel am Samstag eine Demonstration gegen den Paragraphen 129a , Isolationshaft und für die Zusammenlegung der RAF-Gefangenen .
11-1	4588-4597	Frankfurt	_	_	
11-2	4598-4599	(	_	_	
11-3	4600-4603	taz	_	_	
11-4	4604-4605	)	_	_	
11-5	4606-4607	-	_	_	
11-6	4608-4618	Weitgehend	_	_	
11-7	4619-4622	ins	*->6-1	non-literal-mwe[6]	
11-8	4623-4629	Wasser	*->6-2	*[6]	
11-9	4630-4634	fiel	*->6-3	*[6]	
11-10	4635-4637	am	_	_	
11-11	4638-4645	Samstag	_	_	
11-12	4646-4650	eine	_	_	
11-13	4651-4664	Demonstration	_	_	
11-14	4665-4670	gegen	_	_	
11-15	4671-4674	den	_	_	
11-16	4675-4686	Paragraphen	_	_	
11-17	4687-4691	129a	_	_	
11-18	4692-4693	,	_	_	
11-19	4694-4708	Isolationshaft	_	_	
11-20	4709-4712	und	_	_	
11-21	4713-4716	für	_	_	
11-22	4717-4720	die	_	_	
11-23	4721-4735	Zusammenlegung	_	_	
11-24	4736-4739	der	_	_	
11-25	4740-4754	RAF-Gefangenen	_	_	
11-26	4755-4756	.	_	_	

#Text=Dann würde auch das mit den USA abgesprochene Wahlprojekt ins Wasser fallen .
13-1	5423-5427	Dann	_	_	
13-2	5428-5433	würde	_	_	
13-3	5434-5438	auch	_	_	
13-4	5439-5442	das	_	_	
13-5	5443-5446	mit	_	_	
13-6	5447-5450	den	_	_	
13-7	5451-5454	USA	_	_	
13-8	5455-5468	abgesprochene	_	_	
13-9	5469-5480	Wahlprojekt	_	_	
13-10	5481-5484	ins	*->7-1	non-literal-mwe[7]	
13-11	5485-5491	Wasser	*->7-2	*[7]	
13-12	5492-5498	fallen	*->7-3	*[7]	
13-13	5499-5500	.	_	_	

#Text=Es ist ja gar keine Gefahr , daß der Staat hier zuviel und die Industrie zu wenig macht , denn der Staat tut doch in Bremen so gut wie gar nichts , und ohne Sponsoring wäre die Breminale kläglich ins Wasser gefallen .
15-1	6373-6375	Es	_	_	
15-2	6376-6379	ist	_	_	
15-3	6380-6382	ja	_	_	
15-4	6383-6386	gar	_	_	
15-5	6387-6392	keine	_	_	
15-6	6393-6399	Gefahr	_	_	
15-7	6400-6401	,	_	_	
15-8	6402-6405	daß	_	_	
15-9	6406-6409	der	_	_	
15-10	6410-6415	Staat	_	_	
15-11	6416-6420	hier	_	_	
15-12	6421-6427	zuviel	_	_	
15-13	6428-6431	und	_	_	
15-14	6432-6435	die	_	_	
15-15	6436-6445	Industrie	_	_	
15-16	6446-6448	zu	_	_	
15-17	6449-6454	wenig	_	_	
15-18	6455-6460	macht	_	_	
15-19	6461-6462	,	_	_	
15-20	6463-6467	denn	_	_	
15-21	6468-6471	der	_	_	
15-22	6472-6477	Staat	_	_	
15-23	6478-6481	tut	_	_	
15-24	6482-6486	doch	_	_	
