#Text=Während Genscher sich hinsichtlich der hierzulande üblichen Reformforderungen gegenüber dem Nachbarn etwas zurückhielt , holte die Union nicht mal Luft nach dem Zugeständnis der DDR .
1-1	0-7	Während	_	_	
1-2	8-16	Genscher	_	_	
1-3	17-21	sich	_	_	
1-4	22-34	hinsichtlich	_	_	
1-5	35-38	der	_	_	
1-6	39-50	hierzulande	_	_	
1-7	51-59	üblichen	_	_	
1-8	60-77	Reformforderungen	_	_	
1-9	78-87	gegenüber	_	_	
1-10	88-91	dem	_	_	
1-11	92-100	Nachbarn	_	_	
1-12	101-106	etwas	_	_	
1-13	107-118	zurückhielt	_	_	
1-14	119-120	,	_	_	
1-15	121-126	holte	*->1-1	non-literal-mwe[1]	
1-16	127-130	die	_	_	
1-17	131-136	Union	_	_	
1-18	137-142	nicht	_	_	
1-19	143-146	mal	_	_	
1-20	147-151	Luft	*->1-2	*[1]	
1-21	152-156	nach	_	_	
1-22	157-160	dem	_	_	
1-23	161-173	Zugeständnis	_	_	
1-24	174-177	der	_	_	
1-25	178-181	DDR	_	_	
1-26	182-183	.	_	_	

#Text=" Erstmal tief Luft holen " wollte die AL-Fraktionsvorsitzende Heidi Bischoff-Pflanz , als sie von den gemeinsamen Nacharbeiten von Ausländerbehörde und Innenverwaltung zur Flüchtlingsweisung erfuhr .
3-1	835-836	"	_	_	
3-2	837-844	Erstmal	_	_	
3-3	845-849	tief	_	_	
3-4	850-854	Luft	*->2-1	non-literal-mwe[2]	
3-5	855-860	holen	*->2-2	*[2]	
3-6	861-862	"	_	_	
3-7	863-869	wollte	_	_	
3-8	870-873	die	_	_	
3-9	874-897	AL-Fraktionsvorsitzende	_	_	
3-10	898-903	Heidi	_	_	
3-11	904-919	Bischoff-Pflanz	_	_	
3-12	920-921	,	_	_	
3-13	922-925	als	_	_	
3-14	926-929	sie	_	_	
3-15	930-933	von	_	_	
3-16	934-937	den	_	_	
3-17	938-949	gemeinsamen	_	_	
3-18	950-962	Nacharbeiten	_	_	
3-19	963-966	von	_	_	
3-20	967-983	Ausländerbehörde	_	_	
3-21	984-987	und	_	_	
3-22	988-1003	Innenverwaltung	_	_	
3-23	1004-1007	zur	_	_	
3-24	1008-1026	Flüchtlingsweisung	_	_	
3-25	1027-1033	erfuhr	_	_	
3-26	1034-1035	.	_	_	

#Text=Da saß man nicht gespannt auf der Stuhlkante , man mußte nicht nach virtousen und abenteuerlichen Solo - Exkursionen selber erstmal tief Luft holen , und man war am Ende des Konzerts auch nicht mit grandiosen Eindrücken vollgestopft .
5-1	2353-2355	Da	_	_	
5-2	2356-2359	saß	_	_	
5-3	2360-2363	man	_	_	
5-4	2364-2369	nicht	_	_	
5-5	2370-2378	gespannt	_	_	
5-6	2379-2382	auf	_	_	
5-7	2383-2386	der	_	_	
5-8	2387-2397	Stuhlkante	_	_	
5-9	2398-2399	,	_	_	
5-10	2400-2403	man	_	_	
5-11	2404-2409	mußte	_	_	
5-12	2410-2415	nicht	_	_	
5-13	2416-2420	nach	_	_	
5-14	2421-2430	virtousen	_	_	
5-15	2431-2434	und	_	_	
5-16	2435-2450	abenteuerlichen	_	_	
5-17	2451-2455	Solo	_	_	
5-18	2456-2457	-	_	_	
5-19	2458-2469	Exkursionen	_	_	
5-20	2470-2476	selber	_	_	
5-21	2477-2484	erstmal	_	_	
5-22	2485-2489	tief	_	_	
5-23	2490-2494	Luft	*->3-1	non-literal-mwe[3]	
5-24	2495-2500	holen	*->3-2	*[3]	
5-25	2501-2502	,	_	_	
5-26	2503-2506	und	_	_	
5-27	2507-2510	man	_	_	
5-28	2511-2514	war	_	_	
5-29	2515-2517	am	_	_	
5-30	2518-2522	Ende	_	_	
5-31	2523-2526	des	_	_	
5-32	2527-2535	Konzerts	_	_	
5-33	2536-2540	auch	_	_	
5-34	2541-2546	nicht	_	_	
5-35	2547-2550	mit	_	_	
5-36	2551-2561	grandiosen	_	_	
5-37	2562-2572	Eindrücken	_	_	
5-38	2573-2585	vollgestopft	_	_	
5-39	2586-2587	.	_	_	

#Text=Ich kann ihren Stil nicht ertragen , es verursacht bei mir Beklommenheit , wenn ich diese Sprache lese , dieser Stil ist weder informativ noch aufklärend , er ist ätzend , weil so primitiv , die Schlagwörter kennen wir doch alle aus Tausenden von Flugblättern die immer wieder auf Demos verteilt wurden , mensch nimmt es entgegen , wirft einen Blick darauf , holt tief Luft , seufzt , zerknäult das Flugblatt und sucht den nächsten Papierkorb .
7-1	3237-3240	Ich	_	_	
7-2	3241-3245	kann	_	_	
7-3	3246-3251	ihren	_	_	
7-4	3252-3256	Stil	_	_	
7-5	3257-3262	nicht	_	_	
7-6	3263-3271	ertragen	_	_	
7-7	3272-3273	,	_	_	
7-8	3274-3276	es	_	_	
7-9	3277-3287	verursacht	_	_	
7-10	3288-3291	bei	_	_	
7-11	3292-3295	mir	_	_	
7-12	3296-3309	Beklommenheit	_	_	
7-13	3310-3311	,	_	_	
7-14	3312-3316	wenn	_	_	
7-15	3317-3320	ich	_	_	
7-16	3321-3326	diese	_	_	
7-17	3327-3334	Sprache	_	_	
7-18	3335-3339	lese	_	_	
7-19	3340-3341	,	_	_	
7-20	3342-3348	dieser	_	_	
7-21	3349-3353	Stil	_	_	
7-22	3354-3357	ist	_	_	
7-23	3358-3363	weder	_	_	
