#Text=" Sie haben mit dem Feuer gespielt " , sagte gestern ein PLO-Sprecher in Tunis .
1-1	0-1	"	_	_	
1-2	2-5	Sie	_	_	
1-3	6-11	haben	_	_	
1-4	12-15	mit	*->1-1	non-literal-mwe[1]	
1-5	16-19	dem	_	_	
1-6	20-25	Feuer	*->1-2	*[1]	
1-7	26-34	gespielt	*->1-3	*[1]	
1-8	35-36	"	_	_	
1-9	37-38	,	_	_	
1-10	39-44	sagte	_	_	
1-11	45-52	gestern	_	_	
1-12	53-56	ein	_	_	
1-13	57-69	PLO-Sprecher	_	_	
1-14	70-72	in	_	_	
1-15	73-78	Tunis	_	_	
1-16	79-80	.	_	_	

#Text=Sie spielen also weiter mit dem Feuer , und zwar öffentlich , heute , Mitte 1989 .
3-1	1070-1073	Sie	_	_	
3-2	1074-1081	spielen	*->2-1	non-literal-mwe[2]	
3-3	1082-1086	also	_	_	
3-4	1087-1093	weiter	_	_	
3-5	1094-1097	mit	*->2-2	*[2]	
3-6	1098-1101	dem	_	_	
3-7	1102-1107	Feuer	*->2-3	*[2]	
3-8	1108-1109	,	_	_	
3-9	1110-1113	und	_	_	
3-10	1114-1118	zwar	_	_	
3-11	1119-1129	öffentlich	_	_	
3-12	1130-1131	,	_	_	
3-13	1132-1137	heute	_	_	
3-14	1138-1139	,	_	_	
3-15	1140-1145	Mitte	_	_	
3-16	1146-1150	1989	_	_	
3-17	1151-1152	.	_	_	

#Text=Die Behörden der Zone wissen offenbar nicht , daß sie mit dem Feuer spielen .
5-1	1791-1794	Die	_	_	
5-2	1795-1803	Behörden	_	_	
5-3	1804-1807	der	_	_	
5-4	1808-1812	Zone	_	_	
5-5	1813-1819	wissen	_	_	
5-6	1820-1828	offenbar	_	_	
5-7	1829-1834	nicht	_	_	
5-8	1835-1836	,	_	_	
5-9	1837-1840	daß	_	_	
5-10	1841-1844	sie	_	_	
5-11	1845-1848	mit	*->3-1	non-literal-mwe[3]	
5-12	1849-1852	dem	_	_	
5-13	1853-1858	Feuer	*->3-2	*[3]	
5-14	1859-1866	spielen	*->3-3	*[3]	
5-15	1867-1868	.	_	_	

#Text=Es heißt aufpassen : Mitterrand spielt mit dem Feuer in einer Region , wo die Zündschnüre nur so herumliegen .
7-1	2461-2463	Es	_	_	
7-2	2464-2469	heißt	_	_	
7-3	2470-2479	aufpassen	_	_	
7-4	2480-2481	:	_	_	
7-5	2482-2492	Mitterrand	_	_	
7-6	2493-2499	spielt	*->4-1	non-literal-mwe[4]	
7-7	2500-2503	mit	*->4-2	*[4]	
7-8	2504-2507	dem	_	_	
7-9	2508-2513	Feuer	*->4-3	*[4]	
7-10	2514-2516	in	_	_	
7-11	2517-2522	einer	_	_	
7-12	2523-2529	Region	_	_	
7-13	2530-2531	,	_	_	
7-14	2532-2534	wo	_	_	
7-15	2535-2538	die	_	_	
7-16	2539-2550	Zündschnüre	_	_	
7-17	2551-2554	nur	_	_	
7-18	2555-2557	so	_	_	
7-19	2558-2569	herumliegen	_	_	
7-20	2570-2571	.	_	_	

#Text=Vor allem muß die westliche Allianz begreifen , daß sie einen schrecklichen Fehler machen würde , wenn sie begänne , mit dem Feuer des Nationalismus in Osteuropa zu spielen .
9-1	3700-3703	Vor	_	_	
9-2	3704-3709	allem	_	_	
9-3	3710-3713	muß	_	_	
9-4	3714-3717	die	_	_	
9-5	3718-3727	westliche	_	_	
9-6	3728-3735	Allianz	_	_	
9-7	3736-3745	begreifen	_	_	
9-8	3746-3747	,	_	_	
9-9	3748-3751	daß	_	_	
9-10	3752-3755	sie	_	_	
9-11	3756-3761	einen	_	_	
9-12	3762-3775	schrecklichen	_	_	
9-13	3776-3782	Fehler	_	_	
9-14	3783-3789	machen	_	_	
9-15	3790-3795	würde	_	_	
9-16	3796-3797	,	_	_	
9-17	3798-3802	wenn	_	_	
9-18	3803-3806	sie	_	_	
9-19	3807-3814	begänne	_	_	
9-20	3815-3816	,	_	_	
9-21	3817-3820	mit	*->5-1	non-literal-mwe[5]	
9-22	3821-3824	dem	_	_	
9-23	3825-3830	Feuer	*->5-2	*[5]	
9-24	3831-3834	des	_	_	
9-25	3835-3848	Nationalismus	_	_	
9-26	3849-3851	in	_	_	
9-27	3852-3861	Osteuropa	_	_	
9-28	3862-3864	zu	_	_	
9-29	3865-3872	spielen	*->5-3	*[5]	
9-30	3873-3874	.	_	_	

#Text=Zugleich spielt Ortega aber auch mit dem Feuer , denn die einhellige Sandinistenbeschimpfung durch die Heuchler im US - Kongreß muß er vorhergesehen haben .
11-1	5432-5440	Zugleich	_	_	
11-2	5441-5447	spielt	*->6-1	non-literal-mwe[6]	
11-3	5448-5454	Ortega	_	_	
11-4	5455-5459	aber	_	_	
11-5	5460-5464	auch	_	_	
11-6	5465-5468	mit	*->6-2	*[6]	
11-7	5469-5472	dem	_	_	
11-8	5473-5478	Feuer	*->6-3	*[6]	
11-9	5479-5480	,	_	_	
11-10	5481-5485	denn	_	_	
11-11	5486-5489	die	_	_	
11-12	5490-5500	einhellige	_	_	
11-13	5501-5524	Sandinistenbeschimpfung	_	_	
11-14	5525-5530	durch	_	_	
11-15	5531-5534	die	_	_	
11-16	5535-5543	Heuchler	_	_	
11-17	5544-5546	im	_	_	
11-18	5547-5549	US	_	_	
11-19	5550-5551	-	_	_	
11-20	5552-5559	Kongreß	_	_	
11-21	5560-5563	muß	_	_	
11-22	5564-5566	er	_	_	
11-23	5567-5580	vorhergesehen	_	_	
11-24	5581-5586	haben	_	_	
11-25	5587-5588	.	_	_	

#Text=Eine kürzlich ausgesprochene Drohung : " Die mit Feuer spielen , werden zu Asche verbrannt .
13-1	6185-6189	Eine	_	_	
13-2	6190-6198	kürzlich	_	_	
13-3	6199-6213	ausgesprochene	_	_	
13-4	6214-6221	Drohung	_	_	
13-5	6222-6223	:	_	_	
13-6	6224-6225	"	_	_	
13-7	6226-6229	Die	_	_	
13-8	6230-6233	mit	*->7-1	non-literal[7]	
13-9	6234-6239	Feuer	*->7-2	*[7]	
13-10	6240-6247	spielen	*->7-3	*[7]	
13-11	6248-6249	,	_	_	
13-12	6250-6256	werden	_	_	
13-13	6257-6259	zu	_	_	
13-14	6260-6265	Asche	_	_	
13-15	6266-6275	verbrannt	_	_	
13-16	6276-6277	.	_	_	

#Text=Der Schweinehirt Ho-ti , der eines Morgens in die Wälder gegangen war , um Mastfutter für seine Schweine zu sammeln , hatte seine Hütte in der Obhut seines Sohnes Bo-bo zurückgelassen , eines großen Lümmels , der wie alle Jungen seines Alters zu gerne mit Feuer spielte .
15-1	6982-6985	Der	_	_	
15-2	6986-6998	Schweinehirt	_	_	
15-3	6999-7004	Ho-ti	_	_	
15-4	7005-7006	,	_	_	
15-5	7007-7010	der	_	_	
15-6	7011-7016	eines	_	_	
15-7	7017-7024	Morgens	_	_	
15-8	7025-7027	in	_	_	
15-9	7028-7031	die	_	_	
15-10	7032-7038	Wälder	_	_	
15-11	7039-7047	gegangen	_	_	
15-12	7048-7051	war	_	_	
15-13	7052-7053	,	_	_	
15-14	7054-7056	um	_	_	
15-15	7057-7067	Mastfutter	_	_	
15-16	7068-7071	für	_	_	
15-17	7072-7077	seine	_	_	
15-18	7078-7086	Schweine	_	_	
15-19	7087-7089	zu	_	_	
15-20	7090-7097	sammeln	_	_	
15-21	7098-7099	,	_	_	
15-22	7100-7105	hatte	_	_	
15-23	7106-7111	seine	_	_	
15-24	7112-7117	Hütte	_	_	
15-25	7118-7120	in	_	_	
15-26	7121-7124	der	_	_	
15-27	7125-7130	Obhut	_	_	
15-28	7131-7137	seines	_	_	
15-29	7138-7144	Sohnes	_	_	
15-30	7145-7150	Bo-bo	_	_	
15-31	7151-7165	zurückgelassen	_	_	
15-32	7166-7167	,	_	_	
15-33	7168-7173	eines	_	_	
15-34	7174-7180	großen	_	_	
15-35	7181-7188	Lümmels	_	_	
15-36	7189-7190	,	_	_	
15-37	7191-7194	der	_	_	
15-38	7195-7198	wie	_	_	
15-39	7199-7203	alle	_	_	
15-40	7204-7210	Jungen	_	_	
15-41	7211-7217	seines	_	_	
15-42	7218-7224	Alters	_	_	
15-43	7225-7227	zu	_	_	
15-44	7228-7233	gerne	_	_	
15-45	7234-7237	mit	*->8-1	non-literal-mwe[8]	
15-46	7238-7243	Feuer	*->8-2	*[8]	
15-47	7244-7251	spielte	*->8-3	*[8]	
15-48	7252-7253	.	_	_	

#Text=Karawahn spielt mit dem Feuer und zeigt sowohl Schrecken als auch Schönheit , die diesem Element eigen sind .
17-1	9088-9096	Karawahn	_	_	
17-2	9097-9103	spielt	*->9-1	literal[9]	
17-3	9104-9107	mit	*->9-2	*[9]	
17-4	9108-9111	dem	_	_	
17-5	9112-9117	Feuer	*->9-3	*[9]	
17-6	9118-9121	und	_	_	
17-7	9122-9127	zeigt	_	_	
17-8	9128-9134	sowohl	_	_	
17-9	9135-9144	Schrecken	_	_	
17-10	9145-9148	als	_	_	
17-11	9149-9153	auch	_	_	
17-12	9154-9163	Schönheit	_	_	
17-13	9164-9165	,	_	_	
17-14	9166-9169	die	_	_	
17-15	9170-9176	diesem	_	_	
17-16	9177-9184	Element	_	_	
17-17	9185-9190	eigen	_	_	
17-18	9191-9195	sind	_	_	
17-19	9196-9197	.	_	_	

#Text=Die Bürgerinitiativen gegen geplante Verbrennungsanlagen protestierten energisch , auch die Grünen würden mit dem Feuer spielen .
19-1	9728-9731	Die	_	_	
19-2	9732-9749	Bürgerinitiativen	_	_	
19-3	9750-9755	gegen	_	_	
19-4	9756-9764	geplante	_	_	
19-5	9765-9784	Verbrennungsanlagen	_	_	
19-6	9785-9798	protestierten	_	_	
19-7	9799-9808	energisch	_	_	
19-8	9809-9810	,	_	_	
19-9	9811-9815	auch	_	_	
19-10	9816-9819	die	_	_	
19-11	9820-9826	Grünen	_	_	
19-12	9827-9833	würden	_	_	
19-13	9834-9837	mit	*->10-1	non-literal[10]	
19-14	9838-9841	dem	_	_	
19-15	9842-9847	Feuer	*->10-2	*[10]	
