#Text=Und sicherlich treffen auch diejenigen einen empfindlichen Nerv , die den grundsätzlichen Widerspruch von Gorbatschows Machtzuwachs und der Perestroika beseitigen möchten .
1-1	0-3	Und	_	_	
1-2	4-14	sicherlich	_	_	
1-3	15-22	treffen	*->1-1	non-literal-mwe[1]	
1-4	23-27	auch	_	_	
1-5	28-38	diejenigen	_	_	
1-6	39-44	einen	_	_	
1-7	45-58	empfindlichen	_	_	
1-8	59-63	Nerv	*->1-2	*[1]	
1-9	64-65	,	_	_	
1-10	66-69	die	_	_	
1-11	70-73	den	_	_	
1-12	74-89	grundsätzlichen	_	_	
1-13	90-101	Widerspruch	_	_	
1-14	102-105	von	_	_	
1-15	106-118	Gorbatschows	_	_	
1-16	119-131	Machtzuwachs	_	_	
1-17	132-135	und	_	_	
1-18	136-139	der	_	_	
1-19	140-151	Perestroika	_	_	
1-20	152-162	beseitigen	_	_	
1-21	163-170	möchten	_	_	
1-22	171-172	.	_	_	

#Text=Ihre Forderungen sind Funken , die einen Flächenbrand auslösten , weil sie den Nerv der chinesischen Gesellschaft getroffen haben .
3-1	525-529	Ihre	_	_	
3-2	530-541	Forderungen	_	_	
3-3	542-546	sind	_	_	
3-4	547-553	Funken	_	_	
3-5	554-555	,	_	_	
3-6	556-559	die	_	_	
3-7	560-565	einen	_	_	
3-8	566-578	Flächenbrand	_	_	
3-9	579-588	auslösten	_	_	
3-10	589-590	,	_	_	
3-11	591-595	weil	_	_	
3-12	596-599	sie	_	_	
3-13	600-603	den	_	_	
3-14	604-608	Nerv	*->2-1	non-literal-mwe[2]	
3-15	609-612	der	_	_	
3-16	613-625	chinesischen	_	_	
3-17	626-638	Gesellschaft	_	_	
3-18	639-648	getroffen	*->2-2	*[2]	
3-19	649-654	haben	_	_	
3-20	655-656	.	_	_	

#Text=Sie traf damit den Nerv der meisten anwesenden Studenten , die wiederholt forderten : " Wir brauchen auch eigene Bereiche , in denen es Professoren schlicht nicht gibt .
5-1	1940-1943	Sie	_	_	
5-2	1944-1948	traf	*->3-1	non-literal-mwe[3]	
5-3	1949-1954	damit	_	_	
5-4	1955-1958	den	_	_	
5-5	1959-1963	Nerv	*->3-2	*[3]	
5-6	1964-1967	der	_	_	
5-7	1968-1975	meisten	_	_	
5-8	1976-1986	anwesenden	_	_	
5-9	1987-1996	Studenten	_	_	
5-10	1997-1998	,	_	_	
5-11	1999-2002	die	_	_	
5-12	2003-2013	wiederholt	_	_	
5-13	2014-2023	forderten	_	_	
5-14	2024-2025	:	_	_	
5-15	2026-2027	"	_	_	
5-16	2028-2031	Wir	_	_	
5-17	2032-2040	brauchen	_	_	
5-18	2041-2045	auch	_	_	
5-19	2046-2052	eigene	_	_	
5-20	2053-2061	Bereiche	_	_	
5-21	2062-2063	,	_	_	
5-22	2064-2066	in	_	_	
5-23	2067-2072	denen	_	_	
5-24	2073-2075	es	_	_	
5-25	2076-2087	Professoren	_	_	
5-26	2088-2096	schlicht	_	_	
5-27	2097-2102	nicht	_	_	
5-28	2103-2107	gibt	_	_	
5-29	2108-2109	.	_	_	

#Text=Den wirklichen Nerv des organisierten Drogengeschäftes zu treffen , hieße in der Kosequenz die Aufgabe der Illegalität , die Freigabe der Drogen .
7-1	2454-2457	Den	_	_	
