#Text=Nachdem Informationen über das geplante Symposium unterderhand an die Öffentlichkeit gelangten - entgegen ihrer üblichen Praxis , jede kleine Veranstaltung publik zu machen , informierte die " Lebenshilfe"-Zentrale über den Kongreß nur einen erlauchten Kreis - , zog das Familienministerium jetzt die Notbremse : Sie drängte auf Singers Ausladung , um einem öffentlichen Skandal vorzubeugen .
1-1	0-7	Nachdem	_	_	
1-2	8-21	Informationen	_	_	
1-3	22-26	über	_	_	
1-4	27-30	das	_	_	
1-5	31-39	geplante	_	_	
1-6	40-49	Symposium	_	_	
1-7	50-62	unterderhand	*->327-1	non-literal[327]	
1-8	63-65	an	_	_	
1-9	66-69	die	_	_	
1-10	70-84	Öffentlichkeit	_	_	
1-11	85-94	gelangten	_	_	
1-12	95-96	-	_	_	
1-13	97-105	entgegen	_	_	
1-14	106-111	ihrer	_	_	
1-15	112-120	üblichen	_	_	
1-16	121-127	Praxis	_	_	
1-17	128-129	,	_	_	
1-18	130-134	jede	_	_	
1-19	135-141	kleine	_	_	
1-20	142-155	Veranstaltung	_	_	
1-21	156-162	publik	_	_	
1-22	163-165	zu	_	_	
1-23	166-172	machen	_	_	
1-24	173-174	,	_	_	
1-25	175-186	informierte	_	_	
1-26	187-190	die	_	_	
1-27	191-192	"	_	_	
1-28	193-214	Lebenshilfe"-Zentrale	_	_	
1-29	215-219	über	_	_	
1-30	220-223	den	_	_	
1-31	224-231	Kongreß	_	_	
1-32	232-235	nur	_	_	
1-33	236-241	einen	_	_	
1-34	242-252	erlauchten	_	_	
1-35	253-258	Kreis	_	_	
1-36	259-260	-	_	_	
1-37	261-262	,	_	_	
1-38	263-266	zog	*->1-1	non-literal-mwe[1]	
1-39	267-270	das	_	_	
1-40	271-290	Familienministerium	_	_	
1-41	291-296	jetzt	_	_	
1-42	297-300	die	_	_	
1-43	301-310	Notbremse	*->1-2	*[1]	
1-44	311-312	:	_	_	
1-45	313-316	Sie	_	_	
1-46	317-324	drängte	_	_	
1-47	325-328	auf	_	_	
1-48	329-336	Singers	_	_	
1-49	337-346	Ausladung	_	_	
1-50	347-348	,	_	_	
1-51	349-351	um	_	_	
1-52	352-357	einem	_	_	
1-53	358-370	öffentlichen	_	_	
1-54	371-378	Skandal	_	_	
1-55	379-390	vorzubeugen	_	_	
1-56	391-392	.	_	_	

#Text=In einer klassischen Aktion zog der Verlag vor einem Jahr die Notbremse und schaßte Chef-Redakteur Dirk Maxeiner .
3-1	1140-1142	In	_	_	
3-2	1143-1148	einer	_	_	
3-3	1149-1160	klassischen	_	_	
3-4	1161-1167	Aktion	_	_	
3-5	1168-1171	zog	*->2-1	non-literal-mwe[2]	
3-6	1172-1175	der	_	_	
3-7	1176-1182	Verlag	_	_	
3-8	1183-1186	vor	_	_	
3-9	1187-1192	einem	_	_	
3-10	1193-1197	Jahr	_	_	
3-11	1198-1201	die	_	_	
3-12	1202-1211	Notbremse	*->2-2	*[2]	
3-13	1212-1215	und	_	_	
3-14	1216-1223	schaßte	_	_	
3-15	1224-1238	Chef-Redakteur	_	_	
3-16	1239-1243	Dirk	_	_	
3-17	1244-1252	Maxeiner	_	_	
3-18	1253-1254	.	_	_	

#Text=Zum Zuge kam damals nur die allererste Welle : Die Aufträge in das Ausland schnellten so stark in die Höhe , das Handelsdefizit nahm so schnell zu , daß die Regierung die Notbremse zog und die Einfuhren wieder heftig zurückschraubte .
5-1	1493-1496	Zum	_	_	
5-2	1497-1501	Zuge	_	_	
5-3	1502-1505	kam	_	_	
5-4	1506-1512	damals	_	_	
5-5	1513-1516	nur	_	_	
5-6	1517-1520	die	_	_	
5-7	1521-1531	allererste	_	_	
5-8	1532-1537	Welle	_	_	
5-9	1538-1539	:	_	_	
5-10	1540-1543	Die	_	_	
5-11	1544-1552	Aufträge	_	_	
5-12	1553-1555	in	_	_	
5-13	1556-1559	das	_	_	
5-14	1560-1567	Ausland	_	_	
5-15	1568-1578	schnellten	*->328-1	non-literal[328]	
5-16	1579-1581	so	_	_	
5-17	1582-1587	stark	_	_	
5-18	1588-1590	in	*->328-2	non-literal[328]	
5-19	1591-1594	die	_	_	
5-20	1595-1599	Höhe	*->328-3	non-literal[328]	
5-21	1600-1601	,	_	_	
5-22	1602-1605	das	_	_	
5-23	1606-1620	Handelsdefizit	_	_	
5-24	1621-1625	nahm	_	_	
5-25	1626-1628	so	_	_	
5-26	1629-1636	schnell	_	_	
5-27	1637-1639	zu	_	_	
5-28	1640-1641	,	_	_	
5-29	1642-1645	daß	_	_	
5-30	1646-1649	die	_	_	
5-31	1650-1659	Regierung	_	_	
5-32	1660-1663	die	_	_	
5-33	1664-1673	Notbremse	*->3-1	non-literal-mwe[3]	
5-34	1674-1677	zog	*->3-2	*[3]	
5-35	1678-1681	und	_	_	
5-36	1682-1685	die	_	_	
5-37	1686-1695	Einfuhren	_	_	
5-38	1696-1702	wieder	_	_	
5-39	1703-1709	heftig	_	_	
5-40	1710-1725	zurückschraubte	_	_	
5-41	1726-1727	.	_	_	

#Text=Die Österreicher hätten die Notbremse gezogen , und viele Bürger aus der Bundesrepublik würden sie darum beneiden .
7-1	2907-2910	Die	_	_	
7-2	2911-2923	Österreicher	_	_	
7-3	2924-2930	hätten	_	_	
7-4	2931-2934	die	_	_	
7-5	2935-2944	Notbremse	*->4-1	non-literal-mwe[4]	
7-6	2945-2952	gezogen	*->4-2	*[4]	
7-7	2953-2954	,	_	_	
7-8	2955-2958	und	_	_	
7-9	2959-2964	viele	_	_	
7-10	2965-2971	Bürger	_	_	
7-11	2972-2975	aus	_	_	
7-12	2976-2979	der	_	_	
7-13	2980-2994	Bundesrepublik	_	_	
7-14	2995-3001	würden	_	_	
7-15	3002-3005	sie	_	_	
7-16	3006-3011	darum	_	_	
7-17	3012-3020	beneiden	_	_	
7-18	3021-3022	.	_	_	

#Text=Jahrestag der Republik zog Erich Honecker damit die Notbremse und stoppte die Reisewelle in die Prager Botschaft der Bundesrepublik Deutschland .
9-1	3504-3513	Jahrestag	_	_	
9-2	3514-3517	der	_	_	
9-3	3518-3526	Republik	_	_	
9-4	3527-3530	zog	*->5-1	non-literal-mwe[5]	
9-5	3531-3536	Erich	_	_	
9-6	3537-3545	Honecker	_	_	
9-7	3546-3551	damit	_	_	
9-8	3552-3555	die	_	_	
9-9	3556-3565	Notbremse	*->5-2	*[5]	
9-10	3566-3569	und	_	_	
9-11	3570-3577	stoppte	_	_	
9-12	3578-3581	die	_	_	
9-13	3582-3592	Reisewelle	_	_	
9-14	3593-3595	in	_	_	
9-15	3596-3599	die	_	_	
9-16	3600-3606	Prager	_	_	
9-17	3607-3616	Botschaft	_	_	
9-18	3617-3620	der	_	_	
9-19	3621-3635	Bundesrepublik	_	_	
9-20	3636-3647	Deutschland	_	_	
9-21	3648-3649	.	_	_	

#Text=Nachdem ein sichtlich bewegter Oberbürgermeister - Levi war selbst von den Nationalsozialisten ins Exil getrieben worden und hatte " freiwillig und ganz bewußt " fünf Jahre lang in der englischen Kriegsindustrie gearbeitet - mit seinem Vorschlag auf erneutes Händeheben nicht durchkam und niemand so richtig wußte , was Stand der Beschlußlage war , zog SPD - Fraktionschef und Amtsrichter Meyer die Notbremse .
11-1	4203-4210	Nachdem	_	_	
11-2	4211-4214	ein	_	_	
11-3	4215-4224	sichtlich	_	_	
11-4	4225-4233	bewegter	_	_	
11-5	4234-4251	Oberbürgermeister	_	_	
11-6	4252-4253	-	_	_	
11-7	4254-4258	Levi	_	_	
11-8	4259-4262	war	_	_	
11-9	4263-4269	selbst	_	_	
11-10	4270-4273	von	_	_	
11-11	4274-4277	den	_	_	
11-12	4278-4297	Nationalsozialisten	_	_	
11-13	4298-4301	ins	_	_	
11-14	4302-4306	Exil	_	_	
11-15	4307-4316	getrieben	_	_	
11-16	4317-4323	worden	_	_	
11-17	4324-4327	und	_	_	
11-18	4328-4333	hatte	_	_	
11-19	4334-4335	"	_	_	
11-20	4336-4346	freiwillig	_	_	
11-21	4347-4350	und	_	_	
11-22	4351-4355	ganz	_	_	
11-23	4356-4362	bewußt	_	_	
11-24	4363-4364	"	_	_	
11-25	4365-4369	fünf	_	_	
11-26	4370-4375	Jahre	_	_	
11-27	4376-4380	lang	_	_	
11-28	4381-4383	in	_	_	
11-29	4384-4387	der	_	_	
11-30	4388-4398	englischen	_	_	
11-31	4399-4414	Kriegsindustrie	_	_	
11-32	4415-4425	gearbeitet	_	_	
11-33	4426-4427	-	_	_	
11-34	4428-4431	mit	_	_	
11-35	4432-4438	seinem	_	_	
11-36	4439-4448	Vorschlag	_	_	
11-37	4449-4452	auf	_	_	
11-38	4453-4461	erneutes	_	_	
11-39	4462-4472	Händeheben	_	_	
11-40	4473-4478	nicht	_	_	
11-41	4479-4487	durchkam	_	_	
11-42	4488-4491	und	_	_	
11-43	4492-4499	niemand	_	_	
11-44	4500-4502	so	_	_	
11-45	4503-4510	richtig	_	_	
11-46	4511-4516	wußte	_	_	
11-47	4517-4518	,	_	_	
11-48	4519-4522	was	_	_	
11-49	4523-4528	Stand	_	_	
11-50	4529-4532	der	_	_	
11-51	4533-4545	Beschlußlage	_	_	
11-52	4546-4549	war	_	_	
11-53	4550-4551	,	_	_	
11-54	4552-4555	zog	*->6-1	non-literal-mwe[6]	
11-55	4556-4559	SPD	_	_	
11-56	4560-4561	-	_	_	
11-57	4562-4575	Fraktionschef	_	_	
11-58	4576-4579	und	_	_	
11-59	4580-4591	Amtsrichter	_	_	
11-60	4592-4597	Meyer	_	_	
11-61	4598-4601	die	_	_	
11-62	4602-4611	Notbremse	*->6-2	*[6]	
11-63	4612-4613	.	_	_	

#Text=Bonn zog die Notbremse , schickte Sparbefehl auf Sparbefehl nach Nürnberg , und die Versicherung - von den jetzt Arbeitslosen oft jahrelang gefüttert - reagierte .
13-1	5338-5342	Bonn	_	_	
13-2	5343-5346	zog	*->7-1	non-literal-mwe[7]	
13-3	5347-5350	die	_	_	
13-4	5351-5360	Notbremse	*->7-2	*[7]	
13-5	5361-5362	,	_	_	
13-6	5363-5371	schickte	_	_	
13-7	5372-5382	Sparbefehl	_	_	
13-8	5383-5386	auf	_	_	
13-9	5387-5397	Sparbefehl	_	_	
13-10	5398-5402	nach	_	_	
13-11	5403-5411	Nürnberg	_	_	
13-12	5412-5413	,	_	_	
13-13	5414-5417	und	_	_	
13-14	5418-5421	die	_	_	
13-15	5422-5434	Versicherung	_	_	
13-16	5435-5436	-	_	_	
13-17	5437-5440	von	_	_	
13-18	5441-5444	den	_	_	
13-19	5445-5450	jetzt	_	_	
13-20	5451-5463	Arbeitslosen	_	_	
13-21	5464-5467	oft	_	_	
13-22	5468-5477	jahrelang	_	_	
13-23	5478-5487	gefüttert	_	_	
13-24	5488-5489	-	_	_	
13-25	5490-5499	reagierte	_	_	
13-26	5500-5501	.	_	_	

#Text=Die Notbremse gezogen hat die Regierung der Republik Zypern : Seit drei Wochen werden keine Genehmigungen für den Neubau von Hotels mehr erteilt .
15-1	5929-5932	Die	_	_	
15-2	5933-5942	Notbremse	*->8-1	non-literal-mwe[8]	
15-3	5943-5950	gezogen	*->8-2	*[8]	
15-4	5951-5954	hat	_	_	
15-5	5955-5958	die	_	_	
15-6	5959-5968	Regierung	_	_	
15-7	5969-5972	der	_	_	
15-8	5973-5981	Republik	_	_	
15-9	5982-5988	Zypern	_	_	
15-10	5989-5990	:	_	_	
15-11	5991-5995	Seit	_	_	
15-12	5996-6000	drei	_	_	
15-13	6001-6007	Wochen	_	_	
15-14	6008-6014	werden	_	_	
15-15	6015-6020	keine	_	_	
15-16	6021-6034	Genehmigungen	_	_	
15-17	6035-6038	für	_	_	
15-18	6039-6042	den	_	_	
15-19	6043-6049	Neubau	_	_	
15-20	6050-6053	von	_	_	
15-21	6054-6060	Hotels	_	_	
15-22	6061-6065	mehr	_	_	
15-23	6066-6073	erteilt	_	_	
15-24	6074-6075	.	_	_	

#Text=Oberbürgermeister Kronawitter ( SPD ) wollte deshalb jetzt auch die Notbremse ziehen und den städtischen Zuschuß stoppen .
17-1	6482-6499	Oberbürgermeister	_	_	
17-2	6500-6511	Kronawitter	_	_	
17-3	6512-6513	(	_	_	
17-4	6514-6517	SPD	_	_	
17-5	6518-6519	)	_	_	
17-6	6520-6526	wollte	_	_	
17-7	6527-6534	deshalb	_	_	
17-8	6535-6540	jetzt	_	_	
17-9	6541-6545	auch	_	_	
17-10	6546-6549	die	_	_	
17-11	6550-6559	Notbremse	*->9-1	non-literal-mwe[9]	
17-12	6560-6566	ziehen	*->9-2	*[9]	
17-13	6567-6570	und	_	_	
17-14	6571-6574	den	_	_	
17-15	6575-6586	städtischen	_	_	
17-16	6587-6594	Zuschuß	_	_	
17-17	6595-6602	stoppen	_	_	
17-18	6603-6604	.	_	_	

#Text=Schließlich zog der Detmolder Regierungspräsident die Notbremse .
19-1	7369-7380	Schließlich	_	_	
19-2	7381-7384	zog	*->10-1	non-literal-mwe[10]	
19-3	7385-7388	der	_	_	
19-4	7389-7398	Detmolder	_	_	
19-5	7399-7418	Regierungspräsident	_	_	
19-6	7419-7422	die	_	_	
19-7	7423-7432	Notbremse	*->10-2	*[10]	
19-8	7433-7434	.	_	_	

#Text=Bundesbahn will die Notbremse ziehen
21-1	7980-7990	Bundesbahn	_	_	
21-2	7991-7995	will	_	_	
21-3	7996-7999	die	_	_	
21-4	8000-8009	Notbremse	*->11-1	non-literal-mwe[11]	
21-5	8010-8016	ziehen	*->11-2	*[11]	

#Text=Frankfurt ( ap ) - Wenn der Vorstand der Deutschen Bundesbahn am kommenden Montag in Frankfurt zusammentritt , muß er die Notbremse vor dem drohenden Kollaps des eigenen Unternehmens ziehen .
23-1	8054-8063	Frankfurt	_	_	
23-2	8064-8065	(	_	_	
23-3	8066-8068	ap	_	_	
23-4	8069-8070	)	_	_	
23-5	8071-8072	-	_	_	
23-6	8073-8077	Wenn	_	_	
23-7	8078-8081	der	_	_	
23-8	8082-8090	Vorstand	_	_	
23-9	8091-8094	der	_	_	
23-10	8095-8104	Deutschen	_	_	
23-11	8105-8115	Bundesbahn	_	_	
23-12	8116-8118	am	_	_	
23-13	8119-8128	kommenden	_	_	
23-14	8129-8135	Montag	_	_	
23-15	8136-8138	in	_	_	
23-16	8139-8148	Frankfurt	_	_	
23-17	8149-8162	zusammentritt	_	_	
23-18	8163-8164	,	_	_	
23-19	8165-8168	muß	_	_	
23-20	8169-8171	er	_	_	
23-21	8172-8175	die	_	_	
23-22	8176-8185	Notbremse	*->12-1	non-literal-mwe[12]	
23-23	8186-8189	vor	_	_	
23-24	8190-8193	dem	_	_	
23-25	8194-8203	drohenden	_	_	
23-26	8204-8211	Kollaps	_	_	
23-27	8212-8215	des	_	_	
23-28	8216-8223	eigenen	_	_	
23-29	8224-8236	Unternehmens	_	_	
23-30	8237-8243	ziehen	*->12-2	*[12]	
23-31	8244-8245	.	_	_	

#Text=Die erfahrenen Militärs müssen , wie sich das in unreifen Demokratien gehört , " die Notbremse ziehen " , da hat Lummer recht .
25-1	8970-8973	Die	_	_	
25-2	8974-8984	erfahrenen	_	_	
25-3	8985-8993	Militärs	_	_	
25-4	8994-9000	müssen	_	_	
25-5	9001-9002	,	_	_	
25-6	9003-9006	wie	_	_	
25-7	9007-9011	sich	_	_	
25-8	9012-9015	das	_	_	
25-9	9016-9018	in	_	_	
25-10	9019-9027	unreifen	_	_	
25-11	9028-9039	Demokratien	_	_	
25-12	9040-9046	gehört	_	_	
25-13	9047-9048	,	_	_	
25-14	9049-9050	"	_	_	
25-15	9051-9054	die	_	_	
25-16	9055-9064	Notbremse	*->13-1	non-literal-mwe[13]	
25-17	9065-9071	ziehen	*->13-2	*[13]	
25-18	9072-9073	"	_	_	
25-19	9074-9075	,	_	_	
25-20	9076-9078	da	_	_	
25-21	9079-9082	hat	_	_	
25-22	9083-9089	Lummer	_	_	
25-23	9090-9095	recht	_	_	
25-24	9096-9097	.	_	_	

#Text=Der frühere Innensenator Heinrich Lummer appellierte an die drei westlichen Alliierten , notfalls " die Notbremse zu ziehen " .
27-1	9782-9785	Der	_	_	
27-2	9786-9793	frühere	_	_	
27-3	9794-9806	Innensenator	_	_	
27-4	9807-9815	Heinrich	_	_	
27-5	9816-9822	Lummer	_	_	
27-6	9823-9834	appellierte	_	_	
27-7	9835-9837	an	_	_	
27-8	9838-9841	die	_	_	
27-9	9842-9846	drei	_	_	
27-10	9847-9857	westlichen	_	_	
27-11	9858-9868	Alliierten	_	_	
27-12	9869-9870	,	_	_	
27-13	9871-9879	notfalls	_	_	
27-14	9880-9881	"	_	_	
27-15	9882-9885	die	_	_	
27-16	9886-9895	Notbremse	*->14-1	non-literal-mwe[14]	
27-17	9896-9898	zu	_	_	
27-18	9899-9905	ziehen	*->14-2	*[14]	
27-19	9906-9907	"	_	_	
27-20	9908-9909	.	_	_	

#Text=Mehrfach wurde die Notbremse gezogen .
29-1	10157-10165	Mehrfach	_	_	
29-2	10166-10171	wurde	_	_	
29-3	10172-10175	die	_	_	
29-4	10176-10185	Notbremse	*->15-1	literal[15]	
29-5	10186-10193	gezogen	*->15-2	*[15]	
29-6	10194-10195	.	_	_	

#Text=Kein Wunder , daß Gunnar Sauer ausgerechnet gegen Smith nach 35 Minuten die Notbremse ziehen muß : o rigore , o inganno !
31-1	10932-10936	Kein	_	_	
31-2	10937-10943	Wunder	_	_	
31-3	10944-10945	,	_	_	
31-4	10946-10949	daß	_	_	
31-5	10950-10956	Gunnar	_	_	
31-6	10957-10962	Sauer	_	_	
31-7	10963-10975	ausgerechnet	_	_	
31-8	10976-10981	gegen	_	_	
31-9	10982-10987	Smith	_	_	
31-10	10988-10992	nach	_	_	
31-11	10993-10995	35	_	_	
31-12	10996-11003	Minuten	_	_	
31-13	11004-11007	die	_	_	
31-14	11008-11017	Notbremse	*->16-1	non-literal-mwe[16]	
31-15	11018-11024	ziehen	*->16-2	*[16]	
31-16	11025-11028	muß	_	_	
31-17	11029-11030	:	_	_	
31-18	11031-11032	o	_	_	
31-19	11033-11039	rigore	_	_	
31-20	11040-11041	,	_	_	
31-21	11042-11043	o	_	_	
31-22	11044-11051	inganno	_	_	
