#Text=Mit Karla , seinem sowjetischen Widersacher , hat er noch eine alte Rechnung zu begleichen .
1-1	0-3	Mit	_	_	
1-2	4-9	Karla	_	_	
1-3	10-11	,	_	_	
1-4	12-18	seinem	_	_	
1-5	19-31	sowjetischen	_	_	
1-6	32-43	Widersacher	_	_	
1-7	44-45	,	_	_	
1-8	46-49	hat	_	_	
1-9	50-52	er	_	_	
1-10	53-57	noch	_	_	
1-11	58-62	eine	_	_	
1-12	63-67	alte	_	_	
1-13	68-76	Rechnung	*->1-1	non-literal[1]	
1-14	77-79	zu	_	_	
1-15	80-90	begleichen	*->1-2	*[1]	
1-16	91-92	.	_	_	

#Text=Nach Angaben aus Palästinenserkreisen wird innerhalb der El Fatah seit zwei Wochen ein Machtkampf ausgetragen , bei dem rivalisierende Arafat-Anhänger " Rechnungen begleichen " .
3-1	892-896	Nach	_	_	
3-2	897-904	Angaben	_	_	
3-3	905-908	aus	_	_	
3-4	909-929	Palästinenserkreisen	_	_	
3-5	930-934	wird	_	_	
3-6	935-944	innerhalb	_	_	
3-7	945-948	der	_	_	
3-8	949-951	El	_	_	
3-9	952-957	Fatah	_	_	
3-10	958-962	seit	_	_	
3-11	963-967	zwei	_	_	
3-12	968-974	Wochen	_	_	
3-13	975-978	ein	_	_	
3-14	979-989	Machtkampf	_	_	
3-15	990-1001	ausgetragen	_	_	
3-16	1002-1003	,	_	_	
3-17	1004-1007	bei	_	_	
3-18	1008-1011	dem	_	_	
3-19	1012-1026	rivalisierende	_	_	
3-20	1027-1042	Arafat-Anhänger	_	_	
3-21	1043-1044	"	_	_	
3-22	1045-1055	Rechnungen	*->2-1	non-literal[2]	
3-23	1056-1066	begleichen	*->2-2	*[2]	
3-24	1067-1068	"	_	_	
3-25	1069-1070	.	_	_	

#Text=Die Rechnung begleicht de facto die Zentralbank .
5-1	1877-1880	Die	_	_	
5-2	1881-1889	Rechnung	*->3-1	non-literal-mwe[3]	
5-3	1890-1899	begleicht	*->3-2	*[3]	
5-4	1900-1902	de	_	_	
5-5	1903-1908	facto	_	_	
5-6	1909-1912	die	_	_	
5-7	1913-1924	Zentralbank	_	_	
5-8	1925-1926	.	_	_	

#Text=Doch der Gastwirt Burghard Klettke setzte sich selbst auf die Spur des ehrenwerten Amtmanns und kam schnell zu einem wichtigen Faustpfand : die eidesstattliche Versicherung einer Bardame des " Inkognito " , die vergeblich versucht hatte , Kunze zum Begleichen seiner Rechnung von über 500 Mark zu bewegen .
1	_	Doch	_	_	
2	_	der	_	_	
3	_	Gastwirt	_	_	
4	_	Burghard	_	_	
5	_	Klettke	_	_	
6	_	setzte	_	_	
7	_	sich	_	_	
8	_	selbst	_	_	
9	_	auf	_	_	
10	_	die	_	_	
11	_	Spur	_	_	
12	_	des	_	_	
13	_	ehrenwerten	_	_	
14	_	Amtmanns	_	_	
15	_	und	_	_	
16	_	kam	_	_	
17	_	schnell	_	_	
