#Text=Deshalb also ließ ich Emin Beys Mantelärmel nicht mehr los , als wir endlich von Bord gingen .
1-1	0-7	Deshalb	_	_	
1-2	8-12	also	_	_	
1-3	13-17	ließ	_	_	
1-4	18-21	ich	_	_	
1-5	22-26	Emin	_	_	
1-6	27-31	Beys	_	_	
1-7	32-43	Mantelärmel	_	_	
1-8	44-49	nicht	_	_	
1-9	50-54	mehr	_	_	
1-10	55-58	los	_	_	
1-11	59-60	,	_	_	
1-12	61-64	als	_	_	
1-13	65-68	wir	_	_	
1-14	69-76	endlich	_	_	
1-15	77-80	von	*->1-1	literal[1]	
1-16	81-85	Bord	*->1-2	*[1]	
1-17	86-92	gingen	*->1-3	*[1]	
1-18	93-94	.	_	_	

#Text=" Wenn die Kollegen nicht von Bord gegangen wären , hätten die Philippinos in der Messe auf dem Boden schlafen müssen " .
3-1	653-654	"	_	_	
3-2	655-659	Wenn	_	_	
3-3	660-663	die	_	_	
3-4	664-672	Kollegen	_	_	
3-5	673-678	nicht	_	_	
3-6	679-682	von	*->2-1	literal[2]	
3-7	683-687	Bord	*->2-2	*[2]	
3-8	688-696	gegangen	*->2-3	*[2]	
3-9	697-702	wären	_	_	
3-10	703-704	,	_	_	
3-11	705-711	hätten	_	_	
3-12	712-715	die	_	_	
3-13	716-727	Philippinos	_	_	
3-14	728-730	in	_	_	
3-15	731-734	der	_	_	
3-16	735-740	Messe	_	_	
3-17	741-744	auf	_	_	
3-18	745-748	dem	_	_	
3-19	749-754	Boden	_	_	
3-20	755-763	schlafen	_	_	
3-21	764-770	müssen	_	_	
3-22	771-772	"	_	_	
3-23	773-774	.	_	_	

#Text=Dietze konnte noch keine Auskunft darüber geben , ob alle verpackten Giftfässer auf einmal umgepackt werden sollen oder an diesem Montag der erste Sammelcontainer von Bord gehen wird .
5-1	1799-1805	Dietze	_	_	
5-2	1806-1812	konnte	_	_	
5-3	1813-1817	noch	_	_	
5-4	1818-1823	keine	_	_	
5-5	1824-1832	Auskunft	_	_	
5-6	1833-1840	darüber	_	_	
5-7	1841-1846	geben	_	_	
5-8	1847-1848	,	_	_	
5-9	1849-1851	ob	_	_	
5-10	1852-1856	alle	_	_	
5-11	1857-1867	verpackten	_	_	
5-12	1868-1878	Giftfässer	_	_	
5-13	1879-1882	auf	_	_	
5-14	1883-1889	einmal	_	_	
5-15	1890-1899	umgepackt	_	_	
5-16	1900-1906	werden	_	_	
5-17	1907-1913	sollen	_	_	
5-18	1914-1918	oder	_	_	
5-19	1919-1921	an	_	_	
5-20	1922-1928	diesem	_	_	
5-21	1929-1935	Montag	_	_	
5-22	1936-1939	der	_	_	
5-23	1940-1945	erste	_	_	
5-24	1946-1961	Sammelcontainer	_	_	
5-25	1962-1965	von	*->3-1	literal[3]	
5-26	1966-1970	Bord	*->3-2	*[3]	
5-27	1971-1976	gehen	*->3-3	*[3]	
5-28	1977-1981	wird	_	_	
5-29	1982-1983	.	_	_	

#Text=Berlin ( taz ) - Um 12 Uhr 16 war es soweit : Der Lotse mit Lenins Kompaß ging von Bord .
7-1	2515-2521	Berlin	_	_	
7-2	2522-2523	(	_	_	
7-3	2524-2527	taz	_	_	
7-4	2528-2529	)	_	_	
7-5	2530-2531	-	_	_	
7-6	2532-2534	Um	_	_	
7-7	2535-2537	12	_	_	
7-8	2538-2541	Uhr	_	_	
7-9	2542-2544	16	_	_	
7-10	2545-2548	war	_	_	
7-11	2549-2551	es	_	_	
7-12	2552-2558	soweit	_	_	
7-13	2559-2560	:	_	_	
7-14	2561-2564	Der	_	_	
7-15	2565-2570	Lotse	_	_	
7-16	2571-2574	mit	_	_	
7-17	2575-2581	Lenins	_	_	
7-18	2582-2588	Kompaß	_	_	
7-19	2589-2593	ging	*->4-1	non-literal-mwe[4]	
7-20	2594-2597	von	*->4-2	*[4]	
7-21	2598-2602	Bord	*->4-3	*[4]	
7-22	2603-2604	.	_	_	

#Text=Als das Schiff Tahiti verließ , sah die Besatzung ganz anders aus als vorher : 14 Mann waren von Bord gegangen .
9-1	3354-3357	Als	_	_	
9-2	3358-3361	das	_	_	
9-3	3362-3368	Schiff	_	_	
9-4	3369-3375	Tahiti	_	_	
9-5	3376-3383	verließ	_	_	
9-6	3384-3385	,	_	_	
9-7	3386-3389	sah	_	_	
9-8	3390-3393	die	_	_	
9-9	3394-3403	Besatzung	_	_	
9-10	3404-3408	ganz	_	_	
9-11	3409-3415	anders	_	_	
9-12	3416-3419	aus	_	_	
9-13	3420-3423	als	_	_	
9-14	3424-3430	vorher	_	_	
9-15	3431-3432	:	_	_	
9-16	3433-3435	14	_	_	
9-17	3436-3440	Mann	_	_	
9-18	3441-3446	waren	_	_	
9-19	3447-3450	von	*->5-1	literal[5]	
9-20	3451-3455	Bord	*->5-2	*[5]	
9-21	3456-3464	gegangen	*->5-3	*[5]	
9-22	3465-3466	.	_	_	

#Text=Die Stauer gehen dann eben einfach von Bord , mögen der Boß und der Kapitän sich noch so die Haare raufen .
11-1	4355-4358	Die	_	_	
11-2	4359-4365	Stauer	_	_	
11-3	4366-4371	gehen	*->6-1	literal[6]	
11-4	4372-4376	dann	_	_	
11-5	4377-4381	eben	_	_	
11-6	4382-4389	einfach	_	_	
11-7	4390-4393	von	*->6-2	*[6]	
11-8	4394-4398	Bord	*->6-3	*[6]	
11-9	4399-4400	,	_	_	
11-10	4401-4406	mögen	_	_	
11-11	4407-4410	der	_	_	
11-12	4411-4414	Boß	_	_	
11-13	4415-4418	und	_	_	
11-14	4419-4422	der	_	_	
11-15	4423-4430	Kapitän	_	_	
11-16	4431-4435	sich	_	_	
11-17	4436-4440	noch	_	_	
11-18	4441-4443	so	_	_	
11-19	4444-4447	die	_	_	
11-20	4448-4453	Haare	_	_	
11-21	4454-4460	raufen	_	_	
11-22	4461-4462	.	_	_	

#Text=Ich denke , anstatt ganz herumzufahren , werde ich in Portsmouth von Bord gehen .
13-1	4987-4990	Ich	_	_	
13-2	4991-4996	denke	_	_	
13-3	4997-4998	,	_	_	
13-4	4999-5006	anstatt	_	_	
13-5	5007-5011	ganz	_	_	
13-6	5012-5025	herumzufahren	_	_	
13-7	5026-5027	,	_	_	
13-8	5028-5033	werde	_	_	
13-9	5034-5037	ich	_	_	
13-10	5038-5040	in	_	_	
13-11	5041-5051	Portsmouth	_	_	
13-12	5052-5055	von	*->7-1	literal[7]	
13-13	5056-5060	Bord	*->7-2	*[7]	
13-14	5061-5066	gehen	*->7-3	*[7]	
13-15	5067-5068	.	_	_	

#Text=Einer unserer Zwischendeckpassagiere ist mit dem Lotsenboot von Bord gegangen .
15-1	5474-5479	Einer	_	_	
15-2	5480-5487	unserer	_	_	
15-3	5488-5510	Zwischendeckpassagiere	_	_	
15-4	5511-5514	ist	_	_	
15-5	5515-5518	mit	_	_	
15-6	5519-5522	dem	_	_	
15-7	5523-5533	Lotsenboot	_	_	
15-8	5534-5537	von	*->8-1	literal[8]	
15-9	5538-5542	Bord	*->8-2	*[8]	
15-10	5543-5551	gegangen	*->8-3	*[8]	
15-11	5552-5553	.	_	_	

#Text=Wer in der Akadamie von Bord geht , durfte ein Konzept sehen , das mit wenigen Zeichnungen und ohne erklärenden Text auskommt und eine Methode der Präsentation vorgibt , die für die 1993 stattfindende Retrospektive zum 100 .
17-1	5839-5842	Wer	_	_	
17-2	5843-5845	in	_	_	
17-3	5846-5849	der	_	_	
17-4	5850-5858	Akadamie	_	_	
17-5	5859-5862	von	*->9-1	non-literal-mwe[9]	
17-6	5863-5867	Bord	*->9-2	*[9]	
17-7	5868-5872	geht	*->9-3	*[9]	
17-8	5873-5874	,	_	_	
17-9	5875-5881	durfte	_	_	
17-10	5882-5885	ein	_	_	
17-11	5886-5893	Konzept	_	_	
17-12	5894-5899	sehen	_	_	
17-13	5900-5901	,	_	_	
17-14	5902-5905	das	_	_	
17-15	5906-5909	mit	_	_	
17-16	5910-5917	wenigen	_	_	
17-17	5918-5929	Zeichnungen	_	_	
17-18	5930-5933	und	_	_	
17-19	5934-5938	ohne	_	_	
17-20	5939-5950	erklärenden	_	_	
17-21	5951-5955	Text	_	_	
17-22	5956-5964	auskommt	_	_	
17-23	5965-5968	und	_	_	
17-24	5969-5973	eine	_	_	
17-25	5974-5981	Methode	_	_	
17-26	5982-5985	der	_	_	
17-27	5986-5998	Präsentation	_	_	
17-28	5999-6006	vorgibt	_	_	
17-29	6007-6008	,	_	_	
17-30	6009-6012	die	_	_	
17-31	6013-6016	für	_	_	
17-32	6017-6020	die	_	_	
17-33	6021-6025	1993	_	_	
17-34	6026-6039	stattfindende	_	_	
17-35	6040-6053	Retrospektive	_	_	
17-36	6054-6057	zum	_	_	
17-37	6058-6061	100	_	_	
17-38	6062-6063	.	_	_	

#Text=Aufsichtsratsvorsitzender Bernhard Servatius lobte den " von Bord gehenden Lotsen " für seinen " Widerstand gegen die Auswüchse des Zeitgeistes nach 1968 " .
