#Text=Der Kollege Willi Hoss , Grüner Fraktionssprecher stand unterdessen vor der Tür des Versammlungsraums , im Gespräch vertieft - und bereicherte diesen ersten Parteiabend der Grünen trotz Aufforderung der Versammlungsleitung auch im weiteren Diskussionsverlauf nicht durch Anwesenheit " im " Saal .
1-1	0-3	Der	_	_	
1-2	4-11	Kollege	_	_	
1-3	12-17	Willi	_	_	
1-4	18-22	Hoss	_	_	
1-5	23-24	,	_	_	
1-6	25-31	Grüner	_	_	
1-7	32-49	Fraktionssprecher	_	_	
1-8	50-55	stand	*->1-1	literal[1]	
1-9	56-67	unterdessen	_	_	
1-10	68-71	vor	*->1-2	*[1]	
1-11	72-75	der	_	_	
1-12	76-79	Tür	*->1-3	*[1]	
1-13	80-83	des	_	_	
1-14	84-101	Versammlungsraums	_	_	
1-15	102-103	,	_	_	
1-16	104-106	im	_	_	
1-17	107-115	Gespräch	_	_	
1-18	116-124	vertieft	_	_	
1-19	125-126	-	_	_	
1-20	127-130	und	_	_	
1-21	131-142	bereicherte	_	_	
1-22	143-149	diesen	_	_	
1-23	150-156	ersten	_	_	
1-24	157-168	Parteiabend	_	_	
1-25	169-172	der	_	_	
1-26	173-179	Grünen	_	_	
1-27	180-185	trotz	_	_	
1-28	186-198	Aufforderung	_	_	
1-29	199-202	der	_	_	
1-30	203-222	Versammlungsleitung	_	_	
1-31	223-227	auch	_	_	
1-32	228-230	im	_	_	
1-33	231-239	weiteren	_	_	
1-34	240-258	Diskussionsverlauf	_	_	
1-35	259-264	nicht	_	_	
1-36	265-270	durch	_	_	
1-37	271-282	Anwesenheit	_	_	
1-38	283-284	"	_	_	
1-39	285-287	im	_	_	
1-40	288-289	"	_	_	
1-41	290-294	Saal	_	_	
1-42	295-296	.	_	_	

#Text=Unterschrieben von dem angeblichen Verbindungsoffizier T. H. Geoffrey vom " 1st Armored Division Bde Bamberg " wurde den " lieben Bambergerinnen und Bambergern " ein weihnachtliches Freundschaftsangebot gemacht : " Weihnachten steht vor der Tür !
3-1	5065-5079	Unterschrieben	_	_	
3-2	5080-5083	von	_	_	
3-3	5084-5087	dem	_	_	
3-4	5088-5099	angeblichen	_	_	
3-5	5100-5119	Verbindungsoffizier	_	_	
3-6	5120-5122	T.	_	_	
3-7	5123-5125	H.	_	_	
3-8	5126-5134	Geoffrey	_	_	
3-9	5135-5138	vom	_	_	
3-10	5139-5140	"	_	_	
3-11	5141-5144	1st	_	_	
3-12	5145-5152	Armored	_	_	
3-13	5153-5161	Division	_	_	
3-14	5162-5165	Bde	_	_	
3-15	5166-5173	Bamberg	_	_	
3-16	5174-5175	"	_	_	
3-17	5176-5181	wurde	_	_	
3-18	5182-5185	den	_	_	
3-19	5186-5187	"	_	_	
3-20	5188-5194	lieben	_	_	
3-21	5195-5209	Bambergerinnen	_	_	
3-22	5210-5213	und	_	_	
3-23	5214-5224	Bambergern	_	_	
3-24	5225-5226	"	_	_	
3-25	5227-5230	ein	_	_	
3-26	5231-5246	weihnachtliches	_	_	
3-27	5247-5267	Freundschaftsangebot	_	_	
3-28	5268-5275	gemacht	_	_	
3-29	5276-5277	:	_	_	
3-30	5278-5279	"	_	_	
3-31	5280-5291	Weihnachten	_	_	
3-32	5292-5297	steht	*->2-1	non-literal-mwe[2]	
3-33	5298-5301	vor	*->2-2	*[2]	
3-34	5302-5305	der	_	_	
3-35	5306-5309	Tür	*->2-3	*[2]	
3-36	5310-5311	!	_	_	

#Text=" Man merkt schon , daß Weihnachten vor der Tür steht , " zieht sein Kollege Bernd Lehmann Bilanz der ersten Meßtage .
5-1	7034-7035	"	_	_	
5-2	7036-7039	Man	_	_	
5-3	7040-7045	merkt	_	_	
5-4	7046-7051	schon	_	_	
5-5	7052-7053	,	_	_	
5-6	7054-7057	daß	_	_	
5-7	7058-7069	Weihnachten	_	_	
5-8	7070-7073	vor	*->3-1	non-literal-mwe[3]	
5-9	7074-7077	der	_	_	
5-10	7078-7081	Tür	*->3-2	*[3]	
5-11	7082-7087	steht	*->3-3	*[3]	
5-12	7088-7089	,	_	_	
5-13	7090-7091	"	_	_	
5-14	7092-7097	zieht	_	_	
5-15	7098-7102	sein	_	_	
5-16	7103-7110	Kollege	_	_	
5-17	7111-7116	Bernd	_	_	
5-18	7117-7124	Lehmann	_	_	
5-19	7125-7131	Bilanz	_	_	
5-20	7132-7135	der	_	_	
5-21	7136-7142	ersten	_	_	
5-22	7143-7150	Meßtage	_	_	
5-23	7151-7152	.	_	_	

#Text=Er stand meist im Flur herum , überwiegend vor der Tür der behandelnden Ärztin , der er immer wieder die gleichen Fragen stellte .
7-1	12543-12545	Er	_	_	
7-2	12546-12551	stand	*->4-1	literal[4]	
7-3	12552-12557	meist	_	_	
7-4	12558-12560	im	_	_	
7-5	12561-12565	Flur	_	_	
7-6	12566-12571	herum	_	_	
7-7	12572-12573	,	_	_	
7-8	12574-12585	überwiegend	_	_	
7-9	12586-12589	vor	*->4-2	*[4]	
7-10	12590-12593	der	_	_	
7-11	12594-12597	Tür	*->4-3	*[4]	
7-12	12598-12601	der	_	_	
7-13	12602-12614	behandelnden	_	_	
7-14	12615-12621	Ärztin	_	_	
7-15	12622-12623	,	_	_	
7-16	12624-12627	der	_	_	
7-17	12628-12630	er	_	_	
7-18	12631-12636	immer	_	_	
7-19	12637-12643	wieder	_	_	
7-20	12644-12647	die	_	_	
7-21	12648-12656	gleichen	_	_	
7-22	12657-12663	Fragen	_	_	
7-23	12664-12671	stellte	_	_	
7-24	12672-12673	.	_	_	

#Text=Beamte von der Esslinger Kripo standen mit einem Durchsuchungsbefehl vor der Tür .
9-1	18751-18757	Beamte	_	_	
9-2	18758-18761	von	_	_	
9-3	18762-18765	der	_	_	
9-4	18766-18775	Esslinger	_	_	
9-5	18776-18781	Kripo	_	_	
9-6	18782-18789	standen	*->5-1	literal[5]	
9-7	18790-18793	mit	_	_	
9-8	18794-18799	einem	_	_	
9-9	18800-18819	Durchsuchungsbefehl	_	_	
9-10	18820-18823	vor	*->5-2	*[5]	
9-11	18824-18827	der	_	_	
9-12	18828-18831	Tür	*->5-3	*[5]	
9-13	18832-18833	.	_	_	

#Text=Daß der Kollaps dicht vor der Tür stand , wurde spätestens im November vergangenen Jahres deutlich .
11-1	21046-21049	Daß	_	_	
11-2	21050-21053	der	_	_	
11-3	21054-21061	Kollaps	_	_	
11-4	21062-21067	dicht	_	_	
11-5	21068-21071	vor	*->6-1	non-literal-mwe[6]	
11-6	21072-21075	der	_	_	
11-7	21076-21079	Tür	*->6-2	*[6]	
11-8	21080-21085	stand	*->6-3	*[6]	
11-9	21086-21087	,	_	_	
11-10	21088-21093	wurde	_	_	
11-11	21094-21104	spätestens	_	_	
11-12	21105-21107	im	_	_	
11-13	21108-21116	November	_	_	
11-14	21117-21128	vergangenen	_	_	
11-15	21129-21135	Jahres	_	_	
11-16	21136-21144	deutlich	_	_	
11-17	21145-21146	.	_	_	

#Text=Während vor wenigen Jahren das Gespenst noch groß und drohend vor der Tür stand , behauptet Klaus Laermann jetzt , es sei in Gestalt bestimmter Professoren in den Wissenschaftsbetrieb eingedrungen , und wo es zu Werke gehe , breite sich " Dunkelheit " aus : Fiat nox !
13-1	22064-22071	Während	_	_	
13-2	22072-22075	vor	_	_	
13-3	22076-22083	wenigen	_	_	
13-4	22084-22090	Jahren	_	_	
13-5	22091-22094	das	_	_	
13-6	22095-22103	Gespenst	*->600-1	non-literal[600]	
13-7	22104-22108	noch	_	_	
13-8	22109-22113	groß	_	_	
13-9	22114-22117	und	_	_	
13-10	22118-22125	drohend	_	_	
13-11	22126-22129	vor	*->7-1	non-literal-mwe[7]	
13-12	22130-22133	der	_	_	
13-13	22134-22137	Tür	*->7-2	*[7]	
13-14	22138-22143	stand	*->7-3	*[7]	
13-15	22144-22145	,	_	_	
13-16	22146-22155	behauptet	_	_	
13-17	22156-22161	Klaus	_	_	
13-18	22162-22170	Laermann	_	_	
13-19	22171-22176	jetzt	_	_	
13-20	22177-22178	,	_	_	
13-21	22179-22181	es	_	_	
13-22	22182-22185	sei	_	_	
13-23	22186-22188	in	_	_	
13-24	22189-22196	Gestalt	_	_	
13-25	22197-22207	bestimmter	_	_	
13-26	22208-22219	Professoren	_	_	
13-27	22220-22222	in	_	_	
13-28	22223-22226	den	_	_	
13-29	22227-22247	Wissenschaftsbetrieb	_	_	
13-30	22248-22260	eingedrungen	_	_	
13-31	22261-22262	,	_	_	
13-32	22263-22266	und	_	_	
13-33	22267-22269	wo	_	_	
13-34	22270-22272	es	_	_	
13-35	22273-22275	zu	_	_	
13-36	22276-22281	Werke	_	_	
13-37	22282-22286	gehe	_	_	
13-38	22287-22288	,	_	_	
13-39	22289-22295	breite	_	_	
13-40	22296-22300	sich	_	_	
13-41	22301-22302	"	_	_	
13-42	22303-22313	Dunkelheit	_	_	
13-43	22314-22315	"	_	_	
13-44	22316-22319	aus	_	_	
13-45	22320-22321	:	_	_	
13-46	22322-22326	Fiat	_	_	
13-47	22327-22330	nox	_	_	
13-48	22331-22332	!	_	_	

#Text=Schon im Dezember hatte die ÖTV in Brandenburg vor einem » Finanzkollaps « der Betriebe gewarnt , der nun vor der Tür steht .
15-1	23500-23505	Schon	_	_	
15-2	23506-23508	im	_	_	
15-3	23509-23517	Dezember	_	_	
15-4	23518-23523	hatte	_	_	
