#Text=Über Bord gegangen ist damit die allgemeine Erklärung der Menschenrechte , nicht als unmittelbar praktikable Vorstellung , die sie im übrigen nie war , sondern sogar als Ideal - ohne die jedoch die vollentwickelte Apartheid weltweit der einzig logische Schluß sein kann : eine Vorstellung , die Khomeini bestimmt freudig begrüßen würde .
1-1	0-4	Über	*->1-1	non-literal-mwe[1]	
1-2	5-9	Bord	*->1-2	*[1]	
1-3	10-18	gegangen	*->1-3	*[1]	
1-4	19-22	ist	_	_	
1-5	23-28	damit	_	_	
1-6	29-32	die	_	_	
1-7	33-43	allgemeine	_	_	
1-8	44-53	Erklärung	_	_	
1-9	54-57	der	_	_	
1-10	58-72	Menschenrechte	_	_	
1-11	73-74	,	_	_	
1-12	75-80	nicht	_	_	
1-13	81-84	als	_	_	
1-14	85-96	unmittelbar	_	_	
1-15	97-108	praktikable	_	_	
1-16	109-120	Vorstellung	_	_	
1-17	121-122	,	_	_	
1-18	123-126	die	_	_	
1-19	127-130	sie	_	_	
1-20	131-133	im	_	_	
1-21	134-141	übrigen	_	_	
1-22	142-145	nie	_	_	
1-23	146-149	war	_	_	
1-24	150-151	,	_	_	
1-25	152-159	sondern	_	_	
1-26	160-165	sogar	_	_	
1-27	166-169	als	_	_	
1-28	170-175	Ideal	_	_	
1-29	176-177	-	_	_	
1-30	178-182	ohne	_	_	
1-31	183-186	die	_	_	
1-32	187-193	jedoch	_	_	
1-33	194-197	die	_	_	
1-34	198-213	vollentwickelte	_	_	
1-35	214-223	Apartheid	_	_	
1-36	224-232	weltweit	_	_	
1-37	233-236	der	_	_	
1-38	237-243	einzig	_	_	
1-39	244-252	logische	_	_	
1-40	253-259	Schluß	_	_	
1-41	260-264	sein	_	_	
1-42	265-269	kann	_	_	
1-43	270-271	:	_	_	
1-44	272-276	eine	_	_	
1-45	277-288	Vorstellung	_	_	
1-46	289-290	,	_	_	
1-47	291-294	die	_	_	
1-48	295-303	Khomeini	_	_	
1-49	304-312	bestimmt	_	_	
1-50	313-320	freudig	_	_	
1-51	321-329	begrüßen	_	_	
1-52	330-335	würde	_	_	
1-53	336-337	.	_	_	

#Text=Dies allerdings nur , wenn baurechtliche Beschränkungen und bürokratische Hemmnisse über Bord gehen .
3-1	909-913	Dies	_	_	
3-2	914-924	allerdings	_	_	
3-3	925-928	nur	_	_	
3-4	929-930	,	_	_	
3-5	931-935	wenn	_	_	
3-6	936-949	baurechtliche	_	_	
3-7	950-964	Beschränkungen	_	_	
3-8	965-968	und	_	_	
3-9	969-982	bürokratische	_	_	
3-10	983-992	Hemmnisse	_	_	
3-11	993-997	über	*->2-1	non-literal-mwe[2]	
3-12	998-1002	Bord	*->2-2	*[2]	
3-13	1003-1008	gehen	*->2-3	*[2]	
3-14	1009-1010	.	_	_	

#Text=Jetzt ist auch Krenz mitsamt dem Politbüro und dem ZK über Bord gegangen .
5-1	1969-1974	Jetzt	_	_	
5-2	1975-1978	ist	_	_	
5-3	1979-1983	auch	_	_	
5-4	1984-1989	Krenz	_	_	
5-5	1990-1997	mitsamt	_	_	
5-6	1998-2001	dem	_	_	
5-7	2002-2011	Politbüro	_	_	
5-8	2012-2015	und	_	_	
5-9	2016-2019	dem	_	_	
5-10	2020-2022	ZK	_	_	
5-11	2023-2027	über	*->3-1	non-literal-mwe[3]	
5-12	2028-2032	Bord	*->3-2	*[3]	
5-13	2033-2041	gegangen	*->3-3	*[3]	
5-14	2042-2043	.	_	_	

#Text=Der Container war über Bord gegangenen , als ein panamaischer Frachter am Montag vergangener Woche Schiffbruch erlitt .
7-1	3339-3342	Der	_	_	
7-2	3343-3352	Container	_	_	
7-3	3353-3356	war	_	_	
7-4	3357-3361	über	*->4-1	non-literal[4]	
7-5	3362-3366	Bord	*->4-2	*[4]	
7-6	3367-3377	gegangenen	*->4-3	*[4]	
7-7	3378-3379	,	_	_	
7-8	3380-3383	als	_	_	
7-9	3384-3387	ein	_	_	
7-10	3388-3400	panamaischer	_	_	
7-11	3401-3409	Frachter	_	_	
7-12	3410-3412	am	_	_	
7-13	3413-3419	Montag	_	_	
7-14	3420-3431	vergangener	_	_	
7-15	3432-3437	Woche	_	_	
7-16	3438-3449	Schiffbruch	_	_	
7-17	3450-3456	erlitt	_	_	
7-18	3457-3458	.	_	_	

#Text=Der rund 12 Meter lange Container , in dem sich das hochgiftige Holzschutzmittel in zehn Fiberglasfässern befindet , war nach einem Schiffbruch des unter panamaischer Flagge fahrenden Frachters " Perintis " auf der Reise von Hamburg nach Jakarta am vergangenen Montag bei schwerem Sturm mit vier weiteren Lindan-Containern über Bord gegangen .
9-1	3673-3676	Der	_	_	
9-2	3677-3681	rund	_	_	
9-3	3682-3684	12	_	_	
9-4	3685-3690	Meter	_	_	
9-5	3691-3696	lange	_	_	
9-6	3697-3706	Container	_	_	
9-7	3707-3708	,	_	_	
9-8	3709-3711	in	_	_	
9-9	3712-3715	dem	_	_	
9-10	3716-3720	sich	_	_	
9-11	3721-3724	das	_	_	
9-12	3725-3736	hochgiftige	_	_	
9-13	3737-3753	Holzschutzmittel	_	_	
9-14	3754-3756	in	_	_	
9-15	3757-3761	zehn	_	_	
9-16	3762-3778	Fiberglasfässern	_	_	
9-17	3779-3787	befindet	_	_	
9-18	3788-3789	,	_	_	
9-19	3790-3793	war	_	_	
9-20	3794-3798	nach	_	_	
9-21	3799-3804	einem	_	_	
9-22	3805-3816	Schiffbruch	_	_	
9-23	3817-3820	des	_	_	
9-24	3821-3826	unter	_	_	
9-25	3827-3839	panamaischer	_	_	
9-26	3840-3846	Flagge	_	_	
9-27	3847-3856	fahrenden	_	_	
9-28	3857-3866	Frachters	_	_	
9-29	3867-3868	"	_	_	
9-30	3869-3877	Perintis	_	_	
9-31	3878-3879	"	_	_	
9-32	3880-3883	auf	_	_	
9-33	3884-3887	der	_	_	
9-34	3888-3893	Reise	_	_	
9-35	3894-3897	von	_	_	
9-36	3898-3905	Hamburg	_	_	
9-37	3906-3910	nach	_	_	
9-38	3911-3918	Jakarta	_	_	
9-39	3919-3921	am	_	_	
9-40	3922-3933	vergangenen	_	_	
9-41	3934-3940	Montag	_	_	
9-42	3941-3944	bei	_	_	
9-43	3945-3953	schwerem	_	_	
9-44	3954-3959	Sturm	_	_	
9-45	3960-3963	mit	_	_	
9-46	3964-3968	vier	_	_	
