#Text=Kulturrelativismus und die Erkenntnis der Grenzen eines eurozentristischen Weltbildes sind wichtige Ergebnisse radikalen Denkens und der Arbeiten der Kulturanthropologen im letzten Jahrhundert gewesen , und sie sollten nicht einfach über Bord geworfen werden .
1-1	0-18	Kulturrelativismus	_	_	
1-2	19-22	und	_	_	
1-3	23-26	die	_	_	
1-4	27-37	Erkenntnis	_	_	
1-5	38-41	der	_	_	
1-6	42-49	Grenzen	_	_	
1-7	50-55	eines	_	_	
1-8	56-74	eurozentristischen	_	_	
1-9	75-85	Weltbildes	_	_	
1-10	86-90	sind	_	_	
1-11	91-99	wichtige	_	_	
1-12	100-110	Ergebnisse	_	_	
1-13	111-120	radikalen	_	_	
1-14	121-128	Denkens	_	_	
1-15	129-132	und	_	_	
1-16	133-136	der	_	_	
1-17	137-145	Arbeiten	_	_	
1-18	146-149	der	_	_	
1-19	150-169	Kulturanthropologen	_	_	
1-20	170-172	im	_	_	
1-21	173-180	letzten	_	_	
1-22	181-192	Jahrhundert	_	_	
1-23	193-200	gewesen	_	_	
1-24	201-202	,	_	_	
1-25	203-206	und	_	_	
1-26	207-210	sie	_	_	
1-27	211-218	sollten	_	_	
1-28	219-224	nicht	_	_	
1-29	225-232	einfach	_	_	
1-30	233-237	über	*->1-1	non-literal-mwe[1]	
1-31	238-242	Bord	*->1-2	*[1]	
1-32	243-251	geworfen	*->1-3	*[1]	
1-33	252-258	werden	_	_	
1-34	259-260	.	_	_	

#Text=Das war eine Zeit , in der alle die jahrhundertalten Werte gerade erst erfunden wurden , die circa 500 Jahre später über Bord geworfen werden würden .
3-1	688-691	Das	_	_	
3-2	692-695	war	_	_	
3-3	696-700	eine	_	_	
3-4	701-705	Zeit	_	_	
3-5	706-707	,	_	_	
3-6	708-710	in	_	_	
3-7	711-714	der	_	_	
3-8	715-719	alle	_	_	
3-9	720-723	die	_	_	
3-10	724-740	jahrhundertalten	_	_	
3-11	741-746	Werte	_	_	
3-12	747-753	gerade	_	_	
3-13	754-758	erst	_	_	
3-14	759-767	erfunden	_	_	
3-15	768-774	wurden	_	_	
3-16	775-776	,	_	_	
3-17	777-780	die	_	_	
3-18	781-786	circa	_	_	
3-19	787-790	500	_	_	
3-20	791-796	Jahre	_	_	
3-21	797-803	später	_	_	
3-22	804-808	über	*->2-1	non-literal-mwe[2]	
3-23	809-813	Bord	*->2-2	*[2]	
3-24	814-822	geworfen	*->2-3	*[2]	
3-25	823-829	werden	_	_	
3-26	830-836	würden	_	_	
3-27	837-838	.	_	_	

#Text=Scheußlich , ja , moralzerrüttend ist der ekle Sommer : die Kreuzberger Kämpfenden Truppen , die Alt-Einundachtziger und Klassenkampfstreber , sie schmurgeln im Prinzenbad , als wäre die Resolution schon erledigt ; Kerle , die ihr Schuldenkonto ohnehin schon mit den drei Todsünden Goldkettchen , Vollbart und Stinkepfeife über Gebühr belastet haben , fügen jetzt noch Schiesser Feinripp , Kurzbehostheit und Lochsandalette hinzu , riechen unter den Achselhöhlen wie das Tote Meer , und überhaupt ist der Sommer ein nur zu willkommener Vorwand , die letzten Rudimente von Selbstrespekt freudig über Bord zu werfen .
5-1	1569-1579	Scheußlich	_	_	
5-2	1580-1581	,	_	_	
5-3	1582-1584	ja	_	_	
5-4	1585-1586	,	_	_	
5-5	1587-1602	moralzerrüttend	_	_	
5-6	1603-1606	ist	_	_	
5-7	1607-1610	der	_	_	
5-8	1611-1615	ekle	_	_	
5-9	1616-1622	Sommer	_	_	
5-10	1623-1624	:	_	_	
5-11	1625-1628	die	_	_	
5-12	1629-1640	Kreuzberger	_	_	
5-13	1641-1651	Kämpfenden	_	_	
5-14	1652-1659	Truppen	_	_	
5-15	1660-1661	,	_	_	
5-16	1662-1665	die	_	_	
5-17	1666-1685	Alt-Einundachtziger	_	_	
5-18	1686-1689	und	_	_	
5-19	1690-1709	Klassenkampfstreber	_	_	
5-20	1710-1711	,	_	_	
5-21	1712-1715	sie	_	_	
5-22	1716-1726	schmurgeln	_	_	
5-23	1727-1729	im	_	_	
5-24	1730-1740	Prinzenbad	_	_	
5-25	1741-1742	,	_	_	
5-26	1743-1746	als	_	_	
5-27	1747-1751	wäre	_	_	
5-28	1752-1755	die	_	_	
5-29	1756-1766	Resolution	_	_	
5-30	1767-1772	schon	_	_	
5-31	1773-1781	erledigt	_	_	
5-32	1782-1783	;	_	_	
5-33	1784-1789	Kerle	_	_	
5-34	1790-1791	,	_	_	
5-35	1792-1795	die	_	_	
5-36	1796-1799	ihr	_	_	
5-37	1800-1813	Schuldenkonto	_	_	
5-38	1814-1821	ohnehin	_	_	
5-39	1822-1827	schon	_	_	
5-40	1828-1831	mit	_	_	
5-41	1832-1835	den	_	_	
5-42	1836-1840	drei	_	_	
5-43	1841-1850	Todsünden	_	_	
5-44	1851-1863	Goldkettchen	_	_	
5-45	1864-1865	,	_	_	
5-46	1866-1874	Vollbart	_	_	
5-47	1875-1878	und	_	_	
5-48	1879-1891	Stinkepfeife	_	_	
5-49	1892-1896	über	_	_	
5-50	1897-1903	Gebühr	_	_	
5-51	1904-1912	belastet	_	_	
5-52	1913-1918	haben	_	_	
5-53	1919-1920	,	_	_	
5-54	1921-1926	fügen	_	_	
5-55	1927-1932	jetzt	_	_	
5-56	1933-1937	noch	_	_	
5-57	1938-1947	Schiesser	_	_	
5-58	1948-1956	Feinripp	_	_	
