#Text=Vor allem dann , als Kosugi einmal über die Bühne geht als wäre er der Geiger im Cafe .
1-1	0-3	Vor	_	_	
1-2	4-9	allem	_	_	
1-3	10-14	dann	_	_	
1-4	15-16	,	_	_	
1-5	17-20	als	_	_	
1-6	21-27	Kosugi	_	_	
1-7	28-34	einmal	_	_	
1-8	35-39	über	*->1-1	literal[1]	
1-9	40-43	die	_	_	
1-10	44-49	Bühne	*->1-2	*[1]	
1-11	50-54	geht	*->1-3	*[1]	
1-12	55-58	als	_	_	
1-13	59-63	wäre	_	_	
1-14	64-66	er	_	_	
1-15	67-70	der	_	_	
1-16	71-77	Geiger	_	_	
1-17	78-80	im	_	_	
1-18	81-85	Cafe	_	_	
1-19	86-87	.	_	_	

#Text=" Daß der Ärztetag neun Jahre nach der Geburtsstunde der Gesundheitsbewegung relativ unbehelligt von Kontrastprogrammen über die Bühne gehen kann , hängt jedoch nicht nur mit einer zunehmenden Einbindung der kritischen Ärzteschaft in den Standesgremien zusammen , sondern auch mit einem Abflauen der Gesundheitsbewegung selber , die sich auf dem letzten " Gesundheitstag " in Kassel zusätzlich noch zu intern behakte .
3-1	512-513	"	_	_	
3-2	514-517	Daß	_	_	
3-3	518-521	der	_	_	
3-4	522-530	Ärztetag	_	_	
3-5	531-535	neun	_	_	
3-6	536-541	Jahre	_	_	
3-7	542-546	nach	_	_	
3-8	547-550	der	_	_	
3-9	551-564	Geburtsstunde	_	_	
3-10	565-568	der	_	_	
3-11	569-588	Gesundheitsbewegung	_	_	
3-12	589-596	relativ	_	_	
3-13	597-608	unbehelligt	_	_	
3-14	609-612	von	_	_	
3-15	613-631	Kontrastprogrammen	_	_	
3-16	632-636	über	*->2-1	non-literal-mwe[2]	
3-17	637-640	die	_	_	
3-18	641-646	Bühne	*->2-2	*[2]	
3-19	647-652	gehen	*->2-3	*[2]	
3-20	653-657	kann	_	_	
3-21	658-659	,	_	_	
3-22	660-665	hängt	_	_	
3-23	666-672	jedoch	_	_	
3-24	673-678	nicht	_	_	
3-25	679-682	nur	_	_	
3-26	683-686	mit	_	_	
3-27	687-692	einer	_	_	
3-28	693-704	zunehmenden	_	_	
3-29	705-715	Einbindung	_	_	
3-30	716-719	der	_	_	
3-31	720-730	kritischen	_	_	
3-32	731-742	Ärzteschaft	_	_	
3-33	743-745	in	_	_	
3-34	746-749	den	_	_	
3-35	750-764	Standesgremien	_	_	
3-36	765-773	zusammen	_	_	
3-37	774-775	,	_	_	
3-38	776-783	sondern	_	_	
3-39	784-788	auch	_	_	
3-40	789-792	mit	_	_	
3-41	793-798	einem	_	_	
3-42	799-807	Abflauen	_	_	
3-43	808-811	der	_	_	
3-44	812-831	Gesundheitsbewegung	_	_	
3-45	832-838	selber	_	_	
3-46	839-840	,	_	_	
3-47	841-844	die	_	_	
3-48	845-849	sich	_	_	
3-49	850-853	auf	_	_	
3-50	854-857	dem	_	_	
3-51	858-865	letzten	_	_	
3-52	866-867	"	_	_	
3-53	868-882	Gesundheitstag	_	_	
3-54	883-884	"	_	_	
3-55	885-887	in	_	_	
3-56	888-894	Kassel	_	_	
3-57	895-905	zusätzlich	_	_	
3-58	906-910	noch	_	_	
3-59	911-913	zu	_	_	
3-60	914-920	intern	_	_	
3-61	921-928	behakte	_	_	
3-62	929-930	.	_	_	

#Text=Wer meint , das neuerliche G-7-Treffen ( USA , Kanada , Italien , Frankreich , Großbritannien , Japan und die Bundesrepublik ) auf Staatssekretärsebene , das Montag und Dienstag in New York über die Bühne ging , habe sich wie angekündigt vor allem über die Pläne des US-Finanzministers Nicholas Brady zur Entschuldung der Dritten Welt unterhalten , der irrt .
5-1	2038-2041	Wer	_	_	
5-2	2042-2047	meint	_	_	
5-3	2048-2049	,	_	_	
5-4	2050-2053	das	_	_	
5-5	2054-2064	neuerliche	_	_	
5-6	2065-2076	G-7-Treffen	_	_	
5-7	2077-2078	(	_	_	
5-8	2079-2082	USA	_	_	
5-9	2083-2084	,	_	_	
5-10	2085-2091	Kanada	_	_	
5-11	2092-2093	,	_	_	
5-12	2094-2101	Italien	_	_	
5-13	2102-2103	,	_	_	
5-14	2104-2114	Frankreich	_	_	
5-15	2115-2116	,	_	_	
5-16	2117-2131	Großbritannien	_	_	
5-17	2132-2133	,	_	_	
5-18	2134-2139	Japan	_	_	
